NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	JUN	NA	0	5.9753289222717285	0.104004495	Yes	
row_1	CCNB1	NA	11	2.5125181674957275	0.1472558	Yes	
row_2	ARL17A	NA	27	2.237311363220215	0.18547657	Yes	
row_3	ALDH1A2	NA	157	1.523078203201294	0.20578541	Yes	
row_4	PLK4	NA	216	1.3667426109313965	0.22678627	Yes	
row_5	NXT2	NA	297	1.2482926845550537	0.24466783	Yes	
row_6	CKS1B	NA	380	1.1592609882354736	0.2609036	Yes	
row_7	MORN2	NA	512	1.0388041734695435	0.2726872	Yes	
row_8	PRCP	NA	550	1.0174486637115479	0.28861788	Yes	
row_9	SPC25	NA	620	0.9675333499908447	0.30214143	Yes	
row_10	CHD2	NA	668	0.9344679117202759	0.31614706	Yes	
row_11	NUCKS1	NA	754	0.8958136439323425	0.32765314	Yes	
row_12	ID4	NA	819	0.8653111457824707	0.33963782	Yes	
row_13	DHX57	NA	834	0.8611727952957153	0.35395408	Yes	
row_14	CFAP36	NA	865	0.847384512424469	0.36726117	Yes	
row_15	ING4	NA	878	0.8453873991966248	0.38139883	Yes	
row_16	POLR3GL	NA	993	0.8041699528694153	0.3899157	Yes	
row_17	STARD4	NA	1013	0.7984753847122192	0.4029003	Yes	
row_18	PRADC1	NA	1041	0.7888305187225342	0.41533247	Yes	
row_19	TTC9C	NA	1078	0.7756849527359009	0.42710316	Yes	
row_20	GNAI2	NA	1451	0.6629782319068909	0.42075983	Yes	
row_21	GRIA3	NA	1475	0.657525897026062	0.43109885	Yes	
row_22	SP2	NA	1628	0.6255388259887695	0.43467975	Yes	
row_23	PDS5B	NA	1641	0.6232224702835083	0.4449505	Yes	
row_24	DDIAS	NA	1892	0.5728826522827148	0.44290382	Yes	
row_25	PIGT	NA	1960	0.5625998973846436	0.44947538	Yes	
row_26	CYTH2	NA	1983	0.5585223436355591	0.45813924	Yes	
row_27	RAB6A	NA	2195	0.5320708155632019	0.45725703	Yes	
row_28	LDB2	NA	2227	0.5281857252120972	0.4649602	Yes	
row_29	FOXP2	NA	2240	0.5268425941467285	0.47355336	Yes	
row_30	ZNRF2	NA	2253	0.5246345400810242	0.48210812	Yes	
row_31	PPM1B	NA	2411	0.5029317736625671	0.4833146	Yes	
row_32	PPP2R2A	NA	2433	0.5011255741119385	0.4910275	Yes	
row_33	MECOM	NA	2915	0.44404202699661255	0.47563356	No	
row_34	GOLPH3L	NA	3167	0.41948115825653076	0.47086877	No	
row_35	TMTC1	NA	3184	0.41714298725128174	0.47736025	No	
row_36	MYH14	NA	3359	0.39911434054374695	0.47594252	No	
row_37	RHOB	NA	3445	0.3897518813610077	0.47864026	No	
row_38	TPGS2	NA	3598	0.37516579031944275	0.47786328	No	
row_39	SH3RF1	NA	4140	0.3314761519432068	0.45762572	No	
row_40	DAAM1	NA	4202	0.32738474011421204	0.46039167	No	
row_41	BCL6	NA	4230	0.32445037364959717	0.46474096	No	
row_42	ZFY	NA	4333	0.31654056906700134	0.4653472	No	
row_43	HHEX	NA	4413	0.3105085492134094	0.46695408	No	
row_44	SHC1	NA	4538	0.30231454968452454	0.4662551	No	
row_45	RBMS1	NA	4903	0.27672991156578064	0.45357347	No	
row_46	CACNG8	NA	4992	0.2709500789642334	0.45405915	No	
row_47	HLA-DQA1	NA	5191	0.2591421604156494	0.44905138	No	
row_48	LRRC41	NA	5203	0.2580091953277588	0.4530134	No	
row_49	NRXN1	NA	5313	0.2531227469444275	0.45217928	No	
row_50	TMED10	NA	5345	0.2513050436973572	0.45506316	No	
row_51	IL6ST	NA	5398	0.2487325519323349	0.45689276	No	
row_52	CYRIA	NA	5557	0.23994219303131104	0.4534737	No	
row_53	ARL4C	NA	5586	0.2383357435464859	0.45627606	No	
row_54	USP2	NA	5656	0.23432058095932007	0.45703757	No	
row_55	NR3C2	NA	5754	0.22975941002368927	0.45637366	No	
row_56	LINC00173	NA	5900	0.22130149602890015	0.4532551	No	
row_57	SZT2	NA	5943	0.219346821308136	0.45505393	No	
row_58	APH1A	NA	6044	0.21472316980361938	0.45398408	No	
row_59	SCUBE3	NA	6410	0.19653703272342682	0.43985856	No	
row_60	PCNA	NA	6737	0.18284296989440918	0.42736948	No	
row_61	GAN	NA	6842	0.17787207663059235	0.42546594	No	
row_62	TESK2	NA	6871	0.17705193161964417	0.42720163	No	
row_63	ARHGAP33	NA	6964	0.17330460250377655	0.42579547	No	
row_64	FOXN3	NA	7069	0.16974429786205292	0.42375043	No	
row_65	EIF2AK3	NA	7090	0.16896075010299683	0.42572987	No	
row_66	EDA	NA	7237	0.16265077888965607	0.42154235	No	
row_67	SLC22A17	NA	7385	0.15707115828990936	0.41720966	No	
row_68	KPNB1	NA	7442	0.1546727418899536	0.41720977	No	
row_69	EIF1	NA	7475	0.1534879356622696	0.41834304	No	
row_70	RLN1	NA	7576	0.150194451212883	0.41615003	No	
row_71	LINC01312	NA	7729	0.14418089389801025	0.4113526	No	
row_72	MACC1	NA	7873	0.13920418918132782	0.4069012	No	
row_73	H2AW	NA	8020	0.1340295672416687	0.4022155	No	
row_74	DMD	NA	8296	0.12383577972650528	0.39115107	No	
row_75	ADCY8	NA	8331	0.12196415662765503	0.3916395	No	
