NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RFX4	NA	792	0.8779802918434143	-0.008386068	No	
row_1	ELOVL4	NA	859	0.849199652671814	0.017064841	No	
row_2	CACNG2	NA	1396	0.6752493977546692	0.0141208945	No	
row_3	SREK1	NA	2211	0.5307504534721375	-0.007020398	No	
row_4	FOXP2	NA	2240	0.5268425941467285	0.0093900105	No	
row_5	TEF	NA	2656	0.4707444906234741	0.0053560683	No	
row_6	TMPRSS3	NA	2779	0.45740416646003723	0.01491997	No	
row_7	SUGP1	NA	2782	0.4566047191619873	0.030210122	No	
row_8	VPS50	NA	3157	0.42014697194099426	0.026436888	No	
row_9	ARX	NA	3544	0.3793376386165619	0.020713199	No	
row_10	KCNA6	NA	3678	0.3697425425052643	0.026795823	No	
row_11	SHOX2	NA	3721	0.36659517884254456	0.03713523	No	
row_12	AGO1	NA	4090	0.3350919485092163	0.030783586	No	
row_13	ZADH2	NA	4106	0.33365389704704285	0.04130745	No	
row_14	CYFIP2	NA	4269	0.32103532552719116	0.04435845	No	
row_15	SLC6A4	NA	4478	0.3064214289188385	0.044711627	No	
row_16	CAPRIN1	NA	4680	0.29220816493034363	0.04492147	No	
row_17	TBX3	NA	4693	0.2917088568210602	0.054175753	No	
row_18	NR1D1	NA	4730	0.28924381732940674	0.062196337	No	
row_19	MAP2K7	NA	4811	0.28347471356391907	0.06791302	No	
row_20	HDAC7	NA	5898	0.22156797349452972	0.02331276	No	
row_21	GNA14	NA	5974	0.21811334788799286	0.027066702	No	
row_22	CLINT1	NA	6029	0.2158486396074295	0.031751137	No	
row_23	ATXN7L2	NA	6103	0.21122956275939941	0.035369005	No	
row_24	JADE1	NA	6172	0.20793797075748444	0.039115675	No	
row_25	ZHX2	NA	6176	0.20788346230983734	0.045976814	No	
row_26	PAX2	NA	6262	0.20351886749267578	0.04875954	No	
row_27	ABCA1	NA	6777	0.1807793229818344	0.03020837	No	
row_28	HOXA13	NA	7619	0.1488664746284485	-0.0050955922	No	
row_29	NOVA2	NA	7645	0.1480003446340561	-0.001307061	No	
row_30	MYCL	NA	8205	0.12691867351531982	-0.023830598	No	
row_31	SLC2A4	NA	8516	0.1160670816898346	-0.034781933	No	
row_32	MINK1	NA	8965	0.10233190655708313	-0.05281226	No	
row_33	ARHGAP6	NA	9349	0.09180532395839691	-0.06808099	No	
row_34	CTCF	NA	9384	0.09104789793491364	-0.06664305	No	
row_35	LRFN5	NA	9916	0.07524225115776062	-0.0895655	No	
row_36	SLC31A1	NA	10095	0.06980133056640625	-0.09574733	No	
row_37	ADRA1A	NA	10776	0.05177321285009384	-0.12660414	No	
row_38	REPS2	NA	11072	0.043868303298950195	-0.13926919	No	
row_39	IL1RAPL1	NA	11271	0.03946671262383461	-0.14743204	No	
row_40	SMPD3	NA	11355	0.03748241439461708	-0.1501483	No	
row_41	FGF4	NA	11378	0.036496639251708984	-0.14997324	No	
row_42	AQP5	NA	11462	0.03472653776407242	-0.15278237	No	
row_43	PHF8	NA	11570	0.032144695520401	-0.15682912	No	
row_44	HHIP	NA	11656	0.03021431528031826	-0.15988618	No	
row_45	CITED2	NA	12336	0.01712401770055294	-0.19186261	No	
row_46	ABR	NA	12453	0.015266021713614464	-0.19690962	No	
row_47	MAX	NA	13049	0.002293552737683058	-0.22535856	No	
row_48	LRATD2	NA	13433	-0.004320373293012381	-0.24357523	No	
row_49	CKB	NA	14055	-0.017977850511670113	-0.27274218	No	
row_50	MIR137HG	NA	14148	-0.020165758207440376	-0.27647343	No	
row_51	FRMD6	NA	14192	-0.0211564302444458	-0.2778221	No	
