NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RGS5	NA	40	2.058136224746704	0.022341318	No	
row_1	SDCBP2-AS1	NA	45	2.036482810974121	0.046163157	No	
row_2	NUF2	NA	75	1.833182454109192	0.06638216	No	
row_3	UBE2B	NA	182	1.4430897235870361	0.078288294	No	
row_4	RPL35A	NA	424	1.1252611875534058	0.07993703	No	
row_5	WTAP	NA	603	0.9792986512184143	0.082902305	No	
row_6	CCDC88A	NA	618	0.9692491292953491	0.093656875	No	
row_7	CALM3	NA	633	0.9585010409355164	0.1042847	No	
row_8	STX8	NA	692	0.9221509695053101	0.112362266	No	
row_9	AURKB	NA	961	0.814009964466095	0.10903876	No	
row_10	MAPKAPK5-AS1	NA	1025	0.7953988909721375	0.11538055	No	
row_11	AP4B1	NA	1108	0.7634609341621399	0.12042956	No	
row_12	BRWD1	NA	1117	0.7614302039146423	0.12902279	No	
row_13	TOB2	NA	1146	0.7531948089599609	0.13655454	No	
row_14	GABPB1-AS1	NA	1402	0.6727333664894104	0.1321919	No	
row_15	PDXK	NA	1419	0.6678075194358826	0.13929535	No	
row_16	SCNM1	NA	1527	0.6471256613731384	0.14176707	No	
row_17	ZNF518A	NA	1528	0.6470865607261658	0.14939767	No	
row_18	MYADM	NA	1738	0.6011262536048889	0.14640866	No	
row_19	GARS1-DT	NA	1992	0.5567077398300171	0.14077426	No	
row_20	CLTC	NA	2129	0.5386178493499756	0.14056809	No	
row_21	NFKB2	NA	2284	0.5200337767601013	0.13927484	No	
row_22	LYSMD1	NA	2380	0.5073057413101196	0.14067636	No	
row_23	TMEM39A	NA	2403	0.5043147206306458	0.14556256	No	
row_24	CROCCP2	NA	2837	0.45112180709838867	0.13000377	No	
row_25	KDM5C	NA	2959	0.4410077929496765	0.12936983	No	
row_26	LARP7	NA	3065	0.43037450313568115	0.12938198	No	
row_27	FNTA	NA	3293	0.4063178598880768	0.12322782	No	
row_28	ZSCAN12	NA	3311	0.40425676107406616	0.1271752	No	
row_29	ZNHIT1	NA	3369	0.3979422152042389	0.1291194	No	
