NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CENPA	NA	10	2.518873453140259	0.03190464	Yes	
row_1	HMGCS1	NA	18	2.38143253326416	0.06218695	Yes	
row_2	ANKRD28	NA	35	2.111476421356201	0.08856354	Yes	
row_3	MARCKS	NA	213	1.3721375465393066	0.09765859	Yes	
row_4	TCF12	NA	222	1.3645806312561035	0.11481797	Yes	
row_5	BMPR1B	NA	228	1.3493130207061768	0.13192591	Yes	
row_6	SPART	NA	298	1.2477526664733887	0.14463726	Yes	
row_7	PKN2	NA	357	1.1884589195251465	0.15711743	Yes	
row_8	PKIB	NA	359	1.1883643865585327	0.17234907	Yes	
row_9	NCAM2	NA	364	1.1782861948013306	0.18730626	Yes	
row_10	UACA	NA	504	1.0431630611419678	0.19400649	Yes	
row_11	HMGN5	NA	510	1.04073965549469	0.20714682	Yes	
row_12	ABCC9	NA	526	1.0282244682312012	0.2196433	Yes	
row_13	TCAIM	NA	559	1.0114424228668213	0.231103	Yes	
row_14	EPHA4	NA	562	1.0091872215270996	0.24398251	Yes	
row_15	NRCAM	NA	631	0.9590368270874023	0.25302985	Yes	
row_16	CP	NA	653	0.9420931339263916	0.2641291	Yes	
row_17	ITGB8	NA	690	0.923736035823822	0.2742679	Yes	
row_18	ARHGEF12	NA	762	0.8933836817741394	0.2823262	Yes	
row_19	CXCR4	NA	842	0.8565343022346497	0.28952435	Yes	
row_20	DNAJB4	NA	848	0.852839469909668	0.30024865	Yes	
row_21	STARD4	NA	1013	0.7984753847122192	0.3025954	Yes	
row_22	NEDD9	NA	1081	0.7746574282646179	0.30932027	Yes	
row_23	KLHL4	NA	1082	0.7745557427406311	0.3192795	Yes	
row_24	CRACD	NA	1085	0.7723432779312134	0.32911366	Yes	
row_25	ZNF280D	NA	1161	0.7452638149261475	0.33507428	Yes	
row_26	MEF2A	NA	1237	0.7208808064460754	0.34072137	Yes	
row_27	RGS12	NA	1469	0.6591996550559998	0.33804166	Yes	
row_28	ZC3H6	NA	1485	0.6559616923332214	0.3457516	Yes	
row_29	ZNF518A	NA	1528	0.6470865607261658	0.3520435	Yes	
row_30	TRDMT1	NA	1543	0.6452747583389282	0.35966432	Yes	
row_31	ARHGAP24	NA	1665	0.6185928583145142	0.36177474	Yes	
row_32	CDK12	NA	1760	0.5967612266540527	0.36490834	Yes	
row_33	LINC01069	NA	1801	0.5879578590393066	0.37053657	Yes	
row_34	CSRNP3	NA	1835	0.5827060341835022	0.3764353	Yes	
row_35	RBPMS	NA	1911	0.5706302523612976	0.3801505	Yes	
row_36	SLC10A2	NA	2356	0.5103663802146912	0.36527073	Yes	
row_37	SLC44A1	NA	2600	0.47828373312950134	0.35968533	Yes	
row_38	NCAM1	NA	2643	0.4724161922931671	0.36373132	Yes	
row_39	C10orf67	NA	2663	0.469875305891037	0.36885542	Yes	
row_40	MAP1B	NA	2699	0.46568557620048523	0.3731529	Yes	
row_41	C12orf57	NA	2730	0.4627505838871002	0.37765417	Yes	
row_42	MYO6	NA	2747	0.4616657495498657	0.38281757	Yes	
row_43	SOX5	NA	2804	0.45433807373046875	0.385955	Yes	
row_44	LTBP1	NA	2814	0.4532955586910248	0.39134884	Yes	
row_45	SMARCA2	NA	2855	0.4484843611717224	0.3951837	Yes	
row_46	CACNB2	NA	2939	0.44223982095718384	0.3968617	Yes	
row_47	CDK6	NA	2947	0.4415113627910614	0.40220058	Yes	
row_48	ANKRD40	NA	2985	0.4397938549518585	0.4060686	Yes	
row_49	LARP7	NA	3065	0.43037450313568115	0.4077872	Yes	
row_50	NFAT5	NA	3077	0.4289492070674896	0.4127714	Yes	
row_51	DIAPH1	NA	3145	0.4214751720428467	0.41495508	Yes	
row_52	CDH2	NA	3174	0.41834744811058044	0.41898197	Yes	
row_53	C2orf42	NA	3304	0.4046342372894287	0.41795498	Yes	
row_54	SCHIP1	NA	3325	0.40276291966438293	0.42216784	Yes	
row_55	NBN	NA	3346	0.40053626894950867	0.42635205	Yes	
row_56	TNKS	NA	3462	0.3874509036540985	0.4257802	Yes	
row_57	GPX8	NA	3523	0.3821948170661926	0.42779687	Yes	
row_58	MAML2	NA	3566	0.3780277669429779	0.43062922	Yes	
row_59	COX6A1	NA	3641	0.3716350197792053	0.43183404	Yes	
row_60	MDGA2	NA	3690	0.36924463510513306	0.4342637	Yes	
row_61	ASF1A	NA	3757	0.36440005898475647	0.4357618	Yes	
row_62	CTNND2	NA	3848	0.3583568334579468	0.4360232	Yes	
row_63	GABBR1	NA	4129	0.33256828784942627	0.42677736	Yes	
row_64	TMEM71	NA	4167	0.32970646023750305	0.42922986	Yes	
row_65	STAT1	NA	4193	0.3278939127922058	0.43223858	Yes	
row_66	B4GALT4	NA	4217	0.3255133330821991	0.43531328	Yes	
row_67	CYFIP2	NA	4269	0.32103532552719116	0.43697822	Yes	
row_68	JMJD1C	NA	4329	0.316615492105484	0.43819997	Yes	
row_69	MIR99AHG	NA	4341	0.31580430269241333	0.44172934	Yes	
row_70	ANKRD6	NA	4349	0.31496816873550415	0.44544113	Yes	
row_71	PTPRZ1	NA	4465	0.30715304613113403	0.44383684	No	
row_72	RHOBTB3	NA	4612	0.2967359125614166	0.4406015	No	
row_73	RBMS1	NA	4903	0.27672991156578064	0.43015474	No	
row_74	CXXC4	NA	4936	0.2741483747959137	0.43213436	No	
row_75	SLF1	NA	5412	0.2481311708688736	0.4123857	No	
row_76	ATP6V0A1	NA	5594	0.23803161084651947	0.40670532	No	
row_77	PRTG	NA	5605	0.23748640716075897	0.40927598	No	
row_78	GTF3C3	NA	5836	0.22403842210769653	0.4010493	No	
row_79	RPL23AP53	NA	5873	0.223069429397583	0.40217897	No	
row_80	PDE4B	NA	5949	0.2191278636455536	0.40137455	No	
row_81	RGMB	NA	5950	0.2191278636455536	0.4041921	No	
row_82	STAT3	NA	6140	0.20923471450805664	0.39775506	No	
row_83	KCTD1	NA	6196	0.20713204145431519	0.39776224	No	
row_84	ADGRA2	NA	6416	0.19632048904895782	0.3897104	No	
row_85	GNAL	NA	6487	0.19247514009475708	0.38880473	No	
row_86	TENM2	NA	6716	0.18339937925338745	0.3801521	No	
row_87	MIR3681HG	NA	6734	0.18295465409755707	0.38168356	No	
row_88	EYA1	NA	6875	0.17681387066841125	0.377196	No	
row_89	QKI	NA	6910	0.17497365176677704	0.37780386	No	
row_90	PHIP	NA	6942	0.173816978931427	0.3785417	No	
row_91	RBMS3-AS3	NA	6977	0.17247235774993896	0.3791174	No	
row_92	SPATA13	NA	7011	0.17144083976745605	0.3797281	No	
row_93	INTS5	NA	7108	0.16783449053764343	0.37725002	No	
row_94	ZNF341	NA	7112	0.16783110797405243	0.3792631	No	
row_95	TAPT1	NA	7132	0.16713395714759827	0.38049453	No	
row_96	LEF1-AS1	NA	7234	0.1627638041973114	0.37770978	No	
row_97	NR2F1	NA	7343	0.15924172103405	0.37454167	No	
row_98	CAPS2	NA	7353	0.15828163921833038	0.3761422	No	
row_99	TRAM1	NA	7370	0.15752623975276947	0.37739497	No	
