NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TRPS1	NA	63	1.9218424558639526	0.02004362	Yes	
row_1	MYO1C	NA	97	1.7271451950073242	0.03919839	Yes	
row_2	SGIP1	NA	178	1.4499050378799438	0.05275031	Yes	
row_3	SORBS1	NA	230	1.3473416566848755	0.06647194	Yes	
row_4	CDC42EP3	NA	334	1.208325982093811	0.076009646	Yes	
row_5	FST	NA	363	1.1782861948013306	0.08881209	Yes	
row_6	DENND1B	NA	409	1.132298231124878	0.10024022	Yes	
row_7	DDR2	NA	495	1.0486334562301636	0.10872953	Yes	
row_8	PTPRG	NA	542	1.0194518566131592	0.11875357	Yes	
row_9	BTG2	NA	593	0.9896204471588135	0.12822585	Yes	
row_10	ITGB3BP	NA	599	0.986441433429718	0.13983533	Yes	
row_11	KIZ	NA	736	0.9062141180038452	0.14414816	Yes	
row_12	RUNX2	NA	739	0.9059301018714905	0.15493537	Yes	
row_13	ELAVL4	NA	882	0.8417829871177673	0.15818408	Yes	
row_14	KDM6A	NA	913	0.8303460478782654	0.16670966	Yes	
row_15	CTNNA3	NA	935	0.8212760090827942	0.17556135	Yes	
row_16	LSAMP	NA	971	0.8100382089614868	0.18360125	Yes	
row_17	ERG	NA	976	0.8095333576202393	0.19313368	Yes	
row_18	ECHDC2	NA	1111	0.7625032663345337	0.19581664	Yes	
row_19	HOXA1	NA	1112	0.7620244026184082	0.20497166	Yes	
row_20	ETV6	NA	1124	0.759100079536438	0.21355978	Yes	
row_21	DSPP	NA	1174	0.7413893938064575	0.22009814	Yes	
row_22	LIMS1	NA	1176	0.7412921190261841	0.22895573	Yes	
row_23	APMAP	NA	1203	0.7314141988754272	0.2364861	Yes	
row_24	SRGAP1	NA	1227	0.7245022654533386	0.24407847	Yes	
row_25	ECT2	NA	1233	0.7227389216423035	0.25251982	Yes	
row_26	MASP1	NA	1275	0.7111057043075562	0.25908107	Yes	
row_27	TPH2	NA	1277	0.7104547023773193	0.26756817	Yes	
row_28	UBE2H	NA	1303	0.7032016515731812	0.27480796	Yes	
row_29	KCNH5	NA	1329	0.6981130838394165	0.2819866	Yes	
row_30	KRT23	NA	1413	0.6693041920661926	0.28601527	Yes	
row_31	MID1	NA	1638	0.6240750551223755	0.2826844	Yes	
row_32	NECTIN2	NA	1674	0.6166766285896301	0.28840122	Yes	
row_33	SKIL	NA	1706	0.6093697547912598	0.29422364	Yes	
row_34	REG4	NA	1708	0.6092678904533386	0.30149508	Yes	
row_35	GPBP1	NA	1714	0.6072364449501038	0.30854875	Yes	
row_36	ANGPT2	NA	1759	0.5968776345252991	0.31359264	Yes	
row_37	LYL1	NA	1870	0.5760387182235718	0.31519562	Yes	
row_38	RBPMS	NA	1911	0.5706302523612976	0.32011753	Yes	
row_39	DIAPH3	NA	1955	0.5637041330337524	0.32481122	Yes	
row_40	PLXNA2	NA	2001	0.555824339389801	0.32931355	Yes	
row_41	PDZD2	NA	2022	0.5529278516769409	0.33498964	Yes	
row_42	TLE4	NA	2140	0.5377065539360046	0.33579367	Yes	
row_43	ZBTB7B	NA	2149	0.5370476245880127	0.34185907	Yes	
row_44	FOXP1	NA	2232	0.5274089574813843	0.34423137	Yes	
row_45	CREB5	NA	2305	0.5174587368965149	0.34696755	Yes	
row_46	PNLIPRP1	NA	2316	0.5160466432571411	0.35268396	Yes	
row_47	CIAO2A	NA	2337	0.5128352642059326	0.35787836	Yes	
row_48	VIT	NA	2339	0.5127208232879639	0.3639899	Yes	
row_49	SLC10A2	NA	2356	0.5103663802146912	0.369348	Yes	
row_50	PCDH9	NA	2449	0.4986359179019928	0.37089118	Yes	
row_51	CNTLN	NA	2691	0.46762749552726746	0.3648589	Yes	
row_52	PIP5K1B	NA	2703	0.4656248092651367	0.3699212	Yes	
row_53	SOX5	NA	2804	0.45433807373046875	0.37054545	Yes	
row_54	LECT2	NA	2850	0.4499969184398651	0.37377638	Yes	
row_55	COL4A4	NA	2881	0.4462747275829315	0.3776877	Yes	
row_56	TACC1	NA	2895	0.4449118673801422	0.38240445	Yes	
row_57	SMAD5	NA	2909	0.44424155354499817	0.38711315	Yes	
row_58	CACNB2	NA	2939	0.44223982095718384	0.39102435	Yes	
row_59	GREB1	NA	3015	0.4369575083255768	0.39264834	Yes	
row_60	ANKS1B	NA	3049	0.43256402015686035	0.39624992	Yes	
row_61	CDH2	NA	3174	0.41834744811058044	0.39528158	Yes	
row_62	ITPR1	NA	3175	0.41824227571487427	0.40030637	Yes	
row_63	MOGAT2	NA	3186	0.4168711006641388	0.4048313	Yes	
row_64	RBFOX1	NA	3260	0.40853655338287354	0.4062105	Yes	
row_65	TSPAN32	NA	3273	0.40746840834617615	0.41052577	Yes	
row_66	POU4F2	NA	3334	0.402047723531723	0.4124555	Yes	
row_67	WNT11	NA	3387	0.39656397700309753	0.41470605	Yes	
row_68	CARD6	NA	3434	0.39044687151908875	0.4171732	Yes	
row_69	VSNL1	NA	3529	0.38167956471443176	0.41721457	Yes	
row_70	FMO1	NA	3548	0.37900152802467346	0.42089778	Yes	
row_71	SFRP5	NA	3554	0.3787805736064911	0.42520678	Yes	
row_72	MOS	NA	3591	0.375421404838562	0.42797682	Yes	
row_73	ATP2A3	NA	3675	0.3697924315929413	0.42840716	Yes	
