NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ANAPC10	NA	323	1.2146557569503784	0.03882134	No	
row_1	ATG5	NA	629	0.9590368270874023	0.06708043	No	
row_2	CCDC191	NA	980	0.8085732460021973	0.08646073	No	
row_3	PHF5A	NA	1300	0.7036787867546082	0.10263725	No	
row_4	AOPEP	NA	1694	0.6105612516403198	0.11110951	No	
row_5	AK8	NA	2867	0.4471975564956665	0.07498666	No	
row_6	NEK1	NA	3266	0.4079889953136444	0.07416629	No	
row_7	RCE1	NA	4183	0.3291134834289551	0.045021925	No	
row_8	LCMT1	NA	6055	0.2141987532377243	-0.034978177	No	
row_9	PHF20L1	NA	6796	0.1799902468919754	-0.06236119	No	
row_10	ZNF644	NA	7334	0.15948374569416046	-0.08094217	No	
row_11	SENP2	NA	7560	0.15103492140769958	-0.084963925	No	
row_12	BCL2L2	NA	7603	0.14932109415531158	-0.08030127	No	
row_13	RNF141	NA	7713	0.1450224220752716	-0.07903831	No	
row_14	RFC1	NA	8136	0.12952467799186707	-0.09345265	No	
row_15	FAU	NA	9125	0.09836800396442413	-0.13635632	No	
row_16	NUP153	NA	9537	0.08638111501932144	-0.1521722	No	
row_17	ORMDL3	NA	9754	0.08011505007743835	-0.1589326	No	
row_18	GPAM	NA	9980	0.07358509302139282	-0.1664157	No	
row_19	DHRS1	NA	10342	0.06344228982925415	-0.18086302	No	
row_20	PHF7	NA	11759	0.028288204222917557	-0.2473889	No	
row_21	UXT	NA	12150	0.021208321675658226	-0.26511207	No	
row_22	COQ7	NA	12228	0.019247407093644142	-0.26793823	No	
row_23	CNOT7	NA	12403	0.016017448157072067	-0.2755525	No	
row_24	RNF7	NA	12570	0.012396190315485	-0.28294566	No	
row_25	SPACA9	NA	12612	0.011637656949460506	-0.2843884	No	
row_26	ZNF367	NA	13679	-0.010182807222008705	-0.3349674	No	
row_27	QTRT2	NA	14214	-0.021534500643610954	-0.3595699	No	
row_28	SNF8	NA	14233	-0.021829891949892044	-0.35945603	No	
row_29	STRADB	NA	14729	-0.032264117151498795	-0.38171193	No	
row_30	MRPL49	NA	14833	-0.03472653776407242	-0.385091	No	
row_31	PSMB2	NA	14886	-0.03696642816066742	-0.3859284	No	
row_32	MUL1	NA	15453	-0.056650687009096146	-0.4104935	No	
row_33	TRMT61B	NA	15909	-0.07792060822248459	-0.42879394	No	
row_34	NUP42	NA	15935	-0.07917309552431107	-0.42645243	No	
row_35	VPS37A	NA	16090	-0.08479754626750946	-0.43003535	No	
row_36	NFX1	NA	16101	-0.08524574339389801	-0.42670435	No	
row_37	NUP155	NA	16255	-0.0932425856590271	-0.429862	No	
row_38	BAP1	NA	17336	-0.15764211118221283	-0.47452104	No	
row_39	NUBPL	NA	17601	-0.17824968695640564	-0.47919366	No	
row_40	MFN2	NA	17760	-0.1923397332429886	-0.47816184	No	
row_41	BRMS1	NA	17890	-0.20407050848007202	-0.47521743	No	
row_42	DNAJB11	NA	18177	-0.23385033011436462	-0.47845837	No	
row_43	GTF3C2	NA	18336	-0.2519185543060303	-0.47476393	No	
row_44	ACO2	NA	18438	-0.2654053568840027	-0.46773788	No	
row_45	TRAK2	NA	18629	-0.29320818185806274	-0.4637301	No	
row_46	RANBP2	NA	19430	-0.45392927527427673	-0.48174283	Yes	
row_47	UBE4A	NA	19431	-0.4545029103755951	-0.46143043	Yes	
row_48	NUP133	NA	19473	-0.46667611598968506	-0.44253683	Yes	
row_49	ADPGK	NA	19525	-0.4802968502044678	-0.42351323	Yes	
row_50	ZC3H18	NA	19566	-0.4932968020439148	-0.40338206	Yes	
row_51	RNPS1	NA	19592	-0.5016608834266663	-0.38215896	Yes	
row_52	NOP9	NA	19678	-0.5316506624221802	-0.362468	Yes	
row_53	PSME3	NA	19712	-0.5382000207901001	-0.3399949	Yes	
row_54	PWP1	NA	20472	-1.0183453559875488	-0.3308202	Yes	
row_55	LDAH	NA	20531	-1.0805827379226685	-0.28530407	Yes	
row_56	PINX1	NA	20656	-1.2570024728775024	-0.23506321	Yes	
row_57	MECR	NA	20746	-1.4329622983932495	-0.17528282	Yes	
row_58	ABCE1	NA	20857	-1.9636318683624268	-0.092791386	Yes	
row_59	CCDC86	NA	20894	-2.1716041564941406	0.002537339	Yes	
