NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EVI2A	NA	85	1.7776917219161987	0.031274583	No	
row_1	RASGRP1	NA	223	1.3636153936386108	0.051829044	No	
row_2	RORC	NA	311	1.2326512336730957	0.0721722	No	
row_3	ELOVL4	NA	859	0.849199652671814	0.06288255	No	
row_4	AKAP13	NA	1728	0.6035611033439636	0.033350606	No	
row_5	CR2	NA	2104	0.5409237146377563	0.026161907	No	
row_6	CD69	NA	2493	0.49227195978164673	0.017383974	No	
row_7	WDR3	NA	3280	0.4069724977016449	-0.012132827	No	
row_8	FARSB	NA	3779	0.36365577578544617	-0.028730884	No	
row_9	PTPRC	NA	4444	0.3084835708141327	-0.054368384	No	
row_10	TASP1	NA	8035	0.13335582613945007	-0.22348753	No	
row_11	PWP2	NA	8319	0.12270016223192215	-0.23458885	No	
row_12	IGF1R	NA	8780	0.10849636048078537	-0.25444144	No	
row_13	METTL7A	NA	12076	0.022193029522895813	-0.41165572	No	
row_14	GPATCH4	NA	12522	0.013518191874027252	-0.43267885	No	
row_15	TRMT1	NA	14096	-0.01870545744895935	-0.50757015	No	
row_16	FKBP4	NA	14267	-0.022443683817982674	-0.5152579	No	
row_17	NOP16	NA	14287	-0.022723188623785973	-0.51571524	No	
row_18	PMEPA1	NA	14407	-0.024918120354413986	-0.52091366	No	
row_19	E2F5	NA	16130	-0.08713996410369873	-0.6015736	No	
row_20	LZTFL1	NA	16174	-0.08893817663192749	-0.60186285	No	
row_21	HES1	NA	17674	-0.18322011828422546	-0.66994286	No	
row_22	AEN	NA	17829	-0.19929072260856628	-0.6733492	No	
row_23	NOTCH3	NA	18679	-0.29959455132484436	-0.70801514	No	
row_24	MCRIP2	NA	18990	-0.3564393222332001	-0.7157614	No	
row_25	ESF1	NA	19251	-0.40810710191726685	-0.7200882	Yes	
row_26	MRPL4	NA	19432	-0.4545193314552307	-0.7196645	Yes	
row_27	DHX37	NA	19496	-0.47183364629745483	-0.71329856	Yes	
row_28	TCOF1	NA	19673	-0.5295265913009644	-0.7111923	Yes	
row_29	SLC29A1	NA	19938	-0.6276475787162781	-0.71134585	Yes	
row_30	RITA1	NA	20101	-0.7104547023773193	-0.7049728	Yes	
row_31	TMEM131L	NA	20321	-0.8683908581733704	-0.6981872	Yes	
row_32	VARS1	NA	20350	-0.8944304585456848	-0.68174505	Yes	
row_33	EVL	NA	20597	-1.1678500175476074	-0.67029786	Yes	
row_34	APRT	NA	20609	-1.1782861948013306	-0.6473991	Yes	
row_35	SHQ1	NA	20773	-1.498238444328308	-0.6254123	Yes	
row_36	RHOU	NA	20788	-1.542982578277588	-0.5954067	Yes	
row_37	MYBBP1A	NA	20831	-1.7242180109024048	-0.5631378	Yes	
row_38	PCBP3	NA	20871	-2.0349903106689453	-0.52454704	Yes	
row_39	MRTO4	NA	20889	-2.132084846496582	-0.4829733	Yes	
row_40	CCDC86	NA	20894	-2.1716041564941406	-0.43999192	Yes	
row_41	SRM	NA	20913	-2.3561441898345947	-0.39401162	Yes	
row_42	PPRC1	NA	20928	-2.735938549041748	-0.34028938	Yes	
row_43	IFRD2	NA	20933	-2.8138701915740967	-0.28453934	Yes	
row_44	P2RX5	NA	20936	-2.9146177768707275	-0.22669071	Yes	
row_45	PUS7	NA	20943	-3.5838401317596436	-0.15572892	Yes	
row_46	MYC	NA	20944	-3.874791383743286	-0.07869575	Yes	
row_47	DTX1	NA	20945	-3.9632411003112793	9.584301E-5	Yes	
