NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AKAP13	NA	1728	0.6035611033439636	-0.06901324	No	
row_1	CR2	NA	2104	0.5409237146377563	-0.07472671	No	
row_2	WDR3	NA	3280	0.4069724977016449	-0.121731736	No	
row_3	FARSB	NA	3779	0.36365577578544617	-0.13733408	No	
row_4	TASP1	NA	8035	0.13335582613945007	-0.33784103	No	
row_5	PWP2	NA	8319	0.12270016223192215	-0.34860453	No	
row_6	IGF1R	NA	8780	0.10849636048078537	-0.36815506	No	
row_7	GPATCH4	NA	12522	0.013518191874027252	-0.5467849	No	
row_8	TRMT1	NA	14096	-0.01870545744895935	-0.62160015	No	
row_9	FKBP4	NA	14267	-0.022443683817982674	-0.62922424	No	
row_10	NOP16	NA	14287	-0.022723188623785973	-0.62961954	No	
row_11	PMEPA1	NA	14407	-0.024918120354413986	-0.6347484	No	
row_12	E2F5	NA	16130	-0.08713996410369873	-0.71514404	No	
row_13	LZTFL1	NA	16174	-0.08893817663192749	-0.71519107	No	
row_14	HES1	NA	17674	-0.18322011828422546	-0.78274935	No	
row_15	AEN	NA	17829	-0.19929072260856628	-0.785612	No	
row_16	NOTCH3	NA	18679	-0.29959455132484436	-0.81945056	No	
row_17	MCRIP2	NA	18990	-0.3564393222332001	-0.8262238	No	
row_18	ESF1	NA	19251	-0.40810710191726685	-0.8294379	Yes	
row_19	MRPL4	NA	19432	-0.4545193314552307	-0.8277768	Yes	
row_20	DHX37	NA	19496	-0.47183364629745483	-0.82012826	Yes	
row_21	TCOF1	NA	19673	-0.5295265913009644	-0.81658095	Yes	
row_22	SLC29A1	NA	19938	-0.6276475787162781	-0.8150255	Yes	
row_23	RITA1	NA	20101	-0.7104547023773193	-0.80672014	Yes	
row_24	TMEM131L	NA	20321	-0.8683908581733704	-0.7975723	Yes	
row_25	VARS1	NA	20350	-0.8944304585456848	-0.7787004	Yes	
row_26	EVL	NA	20597	-1.1678500175476074	-0.7640772	Yes	
row_27	APRT	NA	20609	-1.1782861948013306	-0.7379779	Yes	
row_28	SHQ1	NA	20773	-1.498238444328308	-0.71191907	Yes	
row_29	RHOU	NA	20788	-1.542982578277588	-0.6777224	Yes	
row_30	MYBBP1A	NA	20831	-1.7242180109024048	-0.6407696	Yes	
row_31	PCBP3	NA	20871	-2.0349903106689453	-0.5966509	Yes	
row_32	MRTO4	NA	20889	-2.132084846496582	-0.5492859	Yes	
row_33	CCDC86	NA	20894	-2.1716041564941406	-0.500406	Yes	
row_34	SRM	NA	20913	-2.3561441898345947	-0.44802588	Yes	
row_35	PPRC1	NA	20928	-2.735938549041748	-0.38687226	Yes	
row_36	IFRD2	NA	20933	-2.8138701915740967	-0.32347932	Yes	
row_37	P2RX5	NA	20936	-2.9146177768707275	-0.25771418	Yes	
row_38	PUS7	NA	20943	-3.5838401317596436	-0.17701814	Yes	
row_39	MYC	NA	20944	-3.874791383743286	-0.089460544	Yes	
row_40	DTX1	NA	20945	-3.9632411003112793	9.571921E-5	Yes	
