NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TOB1	NA	5	2.799623727798462	0.03730513	Yes	
row_1	DLX2	NA	20	2.3094072341918945	0.06760123	Yes	
row_2	NLN	NA	32	2.179488182067871	0.09629981	Yes	
row_3	ANKRD28	NA	35	2.111476421356201	0.12452086	Yes	
row_4	ING2	NA	132	1.599576711654663	0.14133759	Yes	
row_5	SGIP1	NA	178	1.4499050378799438	0.15860972	Yes	
row_6	CADM1	NA	187	1.4315149784088135	0.17742187	Yes	
row_7	FLRT3	NA	333	1.2090049982070923	0.1866344	Yes	
row_8	SH2D1A	NA	362	1.1782861948013306	0.20108467	Yes	
row_9	ARL6IP1	NA	418	1.1265430450439453	0.21353723	Yes	
row_10	HBP1	NA	475	1.0687025785446167	0.22516577	Yes	
row_11	CCDC88A	NA	618	0.9692491292953491	0.23130773	Yes	
row_12	CHD2	NA	668	0.9344679117202759	0.24147403	Yes	
row_13	ETV4	NA	715	0.9149782657623291	0.25152382	Yes	
row_14	ARHGEF12	NA	762	0.8933836817741394	0.261284	Yes	
row_15	DAB2	NA	787	0.8815171122550964	0.27194735	Yes	
row_16	EBF2	NA	1014	0.7982807159423828	0.2717402	Yes	
row_17	MBNL1	NA	1054	0.7838706374168396	0.28036967	Yes	
row_18	GABARAPL2	NA	1084	0.7741682529449463	0.2893519	Yes	
row_19	TLE1	NA	1096	0.7677943706512451	0.29911786	Yes	
row_20	TOB2	NA	1146	0.7531948089599609	0.30685306	Yes	
row_21	JAZF1	NA	1278	0.7103981375694275	0.31005466	Yes	
row_22	ZNF532	NA	1301	0.7036787867546082	0.31842956	Yes	
row_23	PCDH17	NA	1342	0.6936001777648926	0.32580012	Yes	
row_24	NSD1	NA	1345	0.6929035782814026	0.33499625	Yes	
row_25	PRICKLE2	NA	1434	0.6643758416175842	0.33965704	Yes	
row_26	FGF8	NA	1687	0.6132456064224243	0.33571282	Yes	
row_27	CDH9	NA	1745	0.600399911403656	0.34101254	Yes	
row_28	HERC4	NA	1796	0.5891571640968323	0.3464995	Yes	
row_29	HABP2	NA	1848	0.580303430557251	0.35181943	Yes	
row_30	GPR85	NA	1898	0.5718814730644226	0.35712296	Yes	
row_31	PDZD2	NA	2022	0.5529278516769409	0.358599	Yes	
row_32	CDH6	NA	2047	0.5492977499961853	0.36480686	Yes	
row_33	TLE4	NA	2140	0.5377065539360046	0.3675757	Yes	
row_34	GUCA1C	NA	2150	0.5369896292686462	0.37434283	Yes	
row_35	WNK1	NA	2218	0.5292988419532776	0.3782061	Yes	
row_36	FNBP4	NA	2246	0.5259590744972229	0.3839561	Yes	
row_37	NDST4	NA	2329	0.5136905908584595	0.38688573	Yes	
row_38	GRIN2A	NA	2393	0.5053353309631348	0.39062077	Yes	
