NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H2AC6	NA	8	2.5581984519958496	0.17506517	Yes	
row_1	UNC5B	NA	114	1.6595265865325928	0.28385663	Yes	
row_2	IGF1	NA	198	1.416330099105835	0.3770215	Yes	
row_3	SMOC1	NA	583	0.9921771883964539	0.42669702	Yes	
row_4	CALD1	NA	659	0.939093291759491	0.48751447	Yes	
row_5	PHF21A	NA	879	0.8435114622116089	0.53488773	Yes	
row_6	FAM135B	NA	1321	0.6997365951538086	0.56178004	Yes	
row_7	SYNPO2L	NA	3911	0.3513902425765991	0.46202144	No	
row_8	PDE2A	NA	4423	0.3099936544895172	0.45883536	No	
row_9	HOXD4	NA	4868	0.27936655282974243	0.4567541	No	
row_10	CCND1	NA	4927	0.2745518684387207	0.47280884	No	
row_11	PRRX1	NA	5061	0.26691934466362	0.48475215	No	
row_12	TRIM8	NA	5789	0.2277146577835083	0.4655897	No	
row_13	GNAI1	NA	6046	0.21468934416770935	0.4680666	No	
row_14	GPR161	NA	6366	0.19867011904716492	0.46643096	No	
row_15	UNC5C	NA	6369	0.19833706319332123	0.47993776	No	
row_16	AMMECR1L	NA	6607	0.18746593594551086	0.48145658	No	
row_17	UBALD1	NA	6859	0.17732176184654236	0.4816099	No	
row_18	CDK16	NA	7286	0.16086024045944214	0.47226226	No	
row_19	EHBP1	NA	7414	0.15602649748325348	0.4768873	No	
row_20	CASKIN1	NA	7716	0.14493030309677124	0.47242713	No	
row_21	LMO4	NA	7724	0.14441269636154175	0.48199645	No	
row_22	OTUD7B	NA	7919	0.13702057301998138	0.48211274	No	
row_23	TRPV6	NA	8410	0.1191067323088646	0.46683976	No	
row_24	NEO1	NA	8537	0.11571498215198517	0.46874794	No	
row_25	PPP2R2B	NA	8787	0.1082279235124588	0.46425834	No	
row_26	KCNH3	NA	9592	0.08465706557035446	0.43160096	No	
row_27	GSX1	NA	9764	0.07954239845275879	0.42887554	No	
row_28	FOXA1	NA	9891	0.07604313641786575	0.42806295	No	
row_29	DPH5	NA	9988	0.07334185391664505	0.42850026	No	
row_30	FEZF2	NA	10671	0.05448448657989502	0.39961007	No	
row_31	TFAP2D	NA	12134	0.02165762148797512	0.33115327	No	
row_32	NDFIP1	NA	12406	0.016014715656638145	0.31928697	No	
row_33	MIR9-1HG	NA	12627	0.01137551013380289	0.30954233	No	
row_34	HOXB5	NA	12890	0.005354904569685459	0.2973755	No	
row_35	COLEC10	NA	13097	0.0014294650172814727	0.2876185	No	
row_36	FBXO11	NA	13555	-0.007527767214924097	0.26627186	No	
row_37	TNRC6A	NA	13658	-0.009644734673202038	0.26205364	No	
row_38	SON	NA	13672	-0.009969539009034634	0.26211548	No	
row_39	YES1	NA	14126	-0.019470997154712677	0.24177931	No	
row_40	SVIL	NA	14439	-0.02571825496852398	0.22861704	No	
row_41	NTF3	NA	14834	-0.03472653776407242	0.21214971	No	
row_42	CDR2L	NA	16031	-0.08283647894859314	0.16061419	No	
row_43	EMX2	NA	17708	-0.18615131080150604	0.093201056	No	
row_44	ZNF485	NA	20357	-0.8997195959091187	0.028225787	No	
