NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CADM1	NA	187	1.4315149784088135	0.048463937	No	
row_1	DLGAP4	NA	338	1.1996091604232788	0.089397974	No	
row_2	FYB1	NA	741	0.9054613709449768	0.106459744	No	
row_3	BOLL	NA	898	0.8350272178649902	0.13248172	No	
row_4	ZBTB8OS	NA	1781	0.5923147201538086	0.11398592	No	
row_5	SRSF1	NA	2462	0.4958445131778717	0.10129794	No	
row_6	PRPF38A	NA	3612	0.3735339045524597	0.061234444	No	
row_7	GNAQ	NA	3936	0.34853506088256836	0.059740823	No	
row_8	ZADH2	NA	4106	0.33365389704704285	0.06502822	No	
row_9	CDCA7	NA	5380	0.24960610270500183	0.014052876	No	
row_10	BRMS1L	NA	5846	0.22385171055793762	7.5473776E-4	No	
row_11	B3GNT9	NA	6154	0.2085261344909668	-0.005588574	No	
row_12	ZHX2	NA	6176	0.20788346230983734	0.0017442468	No	
row_13	MIS12	NA	6240	0.20460106432437897	0.006933231	No	
row_14	RMI2	NA	7590	0.1497112512588501	-0.051690295	No	
row_15	ZNF654	NA	7630	0.14849215745925903	-0.047602218	No	
row_16	TIMM23	NA	7971	0.13588622212409973	-0.05844035	No	
row_17	R3HDM1	NA	8308	0.12347157299518585	-0.06958484	No	
row_18	RANBP1	NA	8696	0.11133111268281937	-0.08365968	No	
row_19	SEMA5A	NA	9050	0.09991811215877533	-0.09656342	No	
row_20	CCNJL	NA	9071	0.09938137233257294	-0.09353508	No	
row_21	RBBP4	NA	9456	0.08868927508592606	-0.108374424	No	
row_22	FAM50A	NA	9573	0.08507714420557022	-0.11051911	No	
row_23	SH3BP1	NA	9625	0.08346951007843018	-0.10961422	No	
row_24	DMRTB1	NA	9742	0.08024546504020691	-0.11195272	No	
row_25	CENPH	NA	9906	0.07550127059221268	-0.116733246	No	
row_26	ZCWPW1	NA	10189	0.06758149713277817	-0.1275326	No	
row_27	YARS1	NA	10281	0.06503494083881378	-0.12928353	No	
row_28	SRSF7	NA	10554	0.057370055466890335	-0.14001341	No	
row_29	RREB1	NA	10656	0.05503413826227188	-0.1426446	No	
row_30	SIK2	NA	10678	0.054253194481134415	-0.1414744	No	
row_31	ZSWIM9	NA	10709	0.05349845439195633	-0.14076567	No	
row_32	PRRT2	NA	11608	0.03144253045320511	-0.18252648	No	
row_33	CNTFR	NA	12058	0.022443683817982674	-0.20313723	No	
row_34	GDI1	NA	12280	0.01842166855931282	-0.21298613	No	
row_35	NHLRC2	NA	12757	0.008674087934195995	-0.23544276	No	
row_36	EZH2	NA	12933	0.004261549562215805	-0.24365585	No	
row_37	BTBD10	NA	13022	0.0028187420684844255	-0.24775875	No	
row_38	UHRF1	NA	13181	-4.444172736839391E-5	-0.25532657	No	
row_39	LIG1	NA	13248	-0.0011427903082221746	-0.2584427	No	
row_40	FLRT1	NA	13732	-0.01137551013380289	-0.28112632	No	
row_41	USP32	NA	13795	-0.012336496263742447	-0.28360182	No	
row_42	EPB41	NA	13940	-0.015376913361251354	-0.28988385	No	
row_43	PDS5A	NA	14312	-0.023344963788986206	-0.30672157	No	
row_44	LUC7L2	NA	14746	-0.03247050940990448	-0.32616356	No	
row_45	RIN2	NA	14913	-0.038001902401447296	-0.33259204	No	
row_46	RCOR2	NA	14987	-0.040856070816516876	-0.3344505	No	
row_47	SYNCRIP	NA	15022	-0.042080480605363846	-0.33439142	No	
row_48	TUBA4B	NA	15235	-0.049006566405296326	-0.34258226	No	
row_49	WEE1	NA	15369	-0.053732939064502716	-0.34679872	No	
row_50	CNBP	NA	16599	-0.10943111032247543	-0.40128896	No	
row_51	SH3KBP1	NA	16603	-0.1095966026186943	-0.3970364	No	
row_52	KCND2	NA	16656	-0.1123528704047203	-0.3950208	No	
row_53	DAXX	NA	16858	-0.1233854666352272	-0.39970106	No	
row_54	DDB2	NA	16976	-0.13001024723052979	-0.40009126	No	
row_55	PRIM1	NA	17763	-0.19252800941467285	-0.43002462	No	
row_56	MEPCE	NA	17912	-0.20609162747859955	-0.4288481	No	
row_57	PIM1	NA	18221	-0.23901353776454926	-0.43401635	Yes	
row_58	POLD1	NA	18227	-0.23928171396255493	-0.4246575	Yes	
row_59	TOPBP1	NA	18616	-0.29169896245002747	-0.43154508	Yes	
row_60	BCAS3	NA	18731	-0.3084494173526764	-0.42463374	Yes	
row_61	RFC4	NA	18816	-0.3205714523792267	-0.41579887	Yes	
row_62	AP4M1	NA	18981	-0.35367459058761597	-0.40946883	Yes	
row_63	DCLRE1A	NA	19092	-0.37341928482055664	-0.3997597	Yes	
row_64	ZMYM4	NA	19339	-0.4322519600391388	-0.3942062	Yes	
row_65	MCM6	NA	19509	-0.47686803340911865	-0.38317397	Yes	
row_66	SPRED1	NA	19634	-0.5131852626800537	-0.36852908	Yes	
row_67	SEC61A1	NA	19639	-0.5161945223808289	-0.3480144	Yes	
row_68	TRMT2A	NA	19788	-0.5727438926696777	-0.33213025	Yes	
row_69	ORC1	NA	20139	-0.7314141988754272	-0.31955883	Yes	
row_70	PRMT3	NA	20326	-0.875351071357727	-0.2933566	Yes	
row_71	MCM3	NA	20614	-1.1862534284591675	-0.25952178	Yes	
row_72	MCM7	NA	20750	-1.4461829662322998	-0.20797822	Yes	
row_73	TUBA4A	NA	20787	-1.5428571701049805	-0.14781374	Yes	
row_74	MYC	NA	20944	-3.874791383743286	1.4340082E-4	Yes	
