NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TIMM8A	NA	156	1.5233913660049438	0.010173614	No	
row_1	UBE2B	NA	182	1.4430897235870361	0.025744207	No	
row_2	ATF7IP	NA	245	1.32357656955719	0.038137183	No	
row_3	RORC	NA	311	1.2326512336730957	0.049328	No	
row_4	USP34	NA	367	1.1749818325042725	0.06033155	No	
row_5	HOXC11	NA	466	1.0822155475616455	0.06817851	No	
row_6	ATG5	NA	629	0.9590368270874023	0.07150045	No	
row_7	ETV4	NA	715	0.9149782657623291	0.07803119	No	
row_8	RUNX2	NA	739	0.9059301018714905	0.0874529	No	
row_9	GPC3	NA	751	0.8974291086196899	0.097355686	No	
row_10	RFX4	NA	792	0.8779802918434143	0.105630904	No	
row_11	CCDC191	NA	980	0.8085732460021973	0.10599527	No	
row_12	C2CD4A	NA	1008	0.8004463911056519	0.11399723	No	
row_13	MPP3	NA	1328	0.6983374357223511	0.10670093	No	
row_14	KLHL28	NA	1623	0.6273569464683533	0.099787466	No	
row_15	MIA2	NA	1695	0.6105612516403198	0.10345532	No	
row_16	ETV1	NA	1721	0.6057826280593872	0.109290585	No	
row_17	UBR4	NA	1748	0.59947270154953	0.11500416	No	
row_18	KANSL1L	NA	2036	0.5513345003128052	0.10754508	No	
row_19	STMN1	NA	2066	0.5469778776168823	0.11250332	No	
row_20	CBX5	NA	2137	0.5380070209503174	0.11537591	No	
row_21	DYM	NA	2472	0.4950811564922333	0.10499147	No	
row_22	HOXA3	NA	2509	0.49070683121681213	0.10895718	No	
row_23	GIT1	NA	2542	0.4857026934623718	0.113058	No	
row_24	DERL3	NA	2552	0.48414382338523865	0.11825219	No	
row_25	ZBTB10	NA	2952	0.4412800371646881	0.10410105	No	
row_26	NR6A1	NA	3045	0.4327918589115143	0.10468715	No	
row_27	UBXN10	NA	3061	0.4309839904308319	0.108973294	No	
row_28	DIAPH1	NA	3145	0.4214751720428467	0.109862745	No	
row_29	NRIP3	NA	3151	0.4203719198703766	0.11450876	No	
row_30	COL2A1	NA	3160	0.42014697194099426	0.119007185	No	
row_31	ARL3	NA	3371	0.3979422152042389	0.11348568	No	
row_32	SLC6A15	NA	3502	0.38447073101997375	0.111673586	No	
row_33	CYP2D6	NA	3510	0.3842015266418457	0.1158024	No	
row_34	KMT2A	NA	3680	0.3696631193161011	0.11193344	No	
row_35	KRTCAP2	NA	3720	0.3666725754737854	0.11431203	No	
row_36	CRMP1	NA	3769	0.3640364706516266	0.11622504	No	
row_37	TCERG1	NA	3866	0.3564393222332001	0.11573009	No	
row_38	FLT3	NA	3879	0.35527631640434265	0.119280964	No	
row_39	TFRC	NA	3910	0.35150957107543945	0.12191818	No	
row_40	RAI14	NA	3978	0.34345775842666626	0.122673735	No	
row_41	H3-3A	NA	4064	0.33700817823410034	0.122484446	No	
row_42	ZADH2	NA	4106	0.33365389704704285	0.12438248	No	
row_43	BOK	NA	4229	0.32445037364959717	0.12225913	No	
row_44	NEUROD1	NA	4435	0.3093969523906708	0.11594974	No	
row_45	CNNM1	NA	4449	0.3083268404006958	0.11890641	No	
row_46	DAZL	NA	4576	0.2999640703201294	0.11630506	No	
row_47	LIN28A	NA	4681	0.29216963052749634	0.11467625	No	
row_48	KCMF1	NA	4707	0.2906617522239685	0.11684762	No	
row_49	EIF4E	NA	4735	0.28874513506889343	0.11890006	No	
row_50	ESRRA	NA	4748	0.28799569606781006	0.12166867	No	
row_51	RPS6KA5	NA	4901	0.27700310945510864	0.11754388	No	
row_52	RPS19	NA	5003	0.27052488923072815	0.11580839	No	
row_53	STXBP2	NA	5204	0.2579939067363739	0.10914297	No	
row_54	CDC14A	NA	5454	0.24649453163146973	0.09997589	No	
row_55	PITX3	NA	5558	0.23985600471496582	0.09778716	No	
row_56	TRIB1	NA	5756	0.22965285181999207	0.09093719	No	
row_57	TAFA4	NA	5772	0.22838321328163147	0.09286771	No	
row_58	TMEM108	NA	5787	0.22792285680770874	0.0948412	No	
row_59	RHEBL1	NA	5824	0.22510989010334015	0.09571882	No	
row_60	ZHX2	NA	6176	0.20788346230983734	0.08117361	No	
row_61	SMC3	NA	6266	0.20341457426548004	0.07923773	No	
row_62	MXD4	NA	6371	0.19824954867362976	0.07651692	No	
row_63	NCL	NA	6494	0.1923397332429886	0.07285753	No	
row_64	ABCA1	NA	6777	0.1807793229818344	0.06133164	No	
row_65	TESK2	NA	6871	0.17705193161964417	0.05889594	No	
row_66	SLC1A7	NA	6948	0.1736249029636383	0.05724193	No	
row_67	HNRNPDL	NA	7141	0.1667620837688446	0.049902365	No	
row_68	L1CAM	NA	7226	0.1629137396812439	0.04773721	No	
row_69	MGME1	NA	7282	0.1610001027584076	0.04695125	No	
row_70	ASXL1	NA	7363	0.15778647363185883	0.04491978	No	
row_71	SDC1	NA	7376	0.15730403363704681	0.04616884	No	
row_72	METAP1D	NA	7419	0.15601341426372528	0.04595313	No	
row_73	CHRM1	NA	7511	0.15244148671627045	0.04332794	No	
row_74	KCNQ5	NA	7520	0.15207570791244507	0.04470951	No	
row_75	ZC3H10	NA	7540	0.15160389244556427	0.045554016	No	
row_76	ADAMTS17	NA	7705	0.14544683694839478	0.039319735	No	
row_77	ATOH8	NA	7922	0.13689939677715302	0.030473143	No	
row_78	GPRC5C	NA	7933	0.13672101497650146	0.031579535	No	
row_79	PER1	NA	8068	0.13195954263210297	0.026638204	No	
row_80	ELAVL3	NA	8083	0.1314680576324463	0.02749022	No	
row_81	GJA1	NA	8106	0.13089928030967712	0.027949017	No	
row_82	CAD	NA	8111	0.13071326911449432	0.029275512	No	
row_83	MYCL	NA	8205	0.12691867351531982	0.026256915	No	
row_84	SLC49A4	NA	8290	0.12383655458688736	0.023637412	No	
row_85	TFAP4	NA	8430	0.11833237111568451	0.01829601	No	
row_86	ACY1	NA	8495	0.1164398267865181	0.016557017	No	
row_87	KCTD15	NA	8571	0.11492230743169785	0.014268799	No	
row_88	SERBP1	NA	8607	0.11362846940755844	0.013898558	No	
row_89	SYT3	NA	8650	0.11283425986766815	0.013180804	No	
row_90	RANBP1	NA	8696	0.11133111268281937	0.012300597	No	
row_91	NDUFS1	NA	8784	0.10834582895040512	0.009356008	No	
row_92	TET2	NA	8828	0.10671474784612656	0.008518778	No	
row_93	NTN3	NA	8897	0.10482015460729599	0.006451381	No	
row_94	PABPC1	NA	9033	0.10040532052516937	0.0010948431	No	
row_95	ESRP2	NA	9182	0.09684737026691437	-0.0049312944	No	
row_96	GPM6B	NA	9322	0.09282407909631729	-0.010569281	No	
row_97	PRPS1	NA	9380	0.09107279777526855	-0.012264936	No	
row_98	FOXO3	NA	9405	0.09042202681303024	-0.012373417	No	
row_99	SNX5	NA	9495	0.08772541582584381	-0.01565441	No	
row_100	DNAJB5	NA	9530	0.08662283420562744	-0.016290318	No	
