NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ARL17A	NA	27	2.237311363220215	0.023106294	Yes	
row_1	NEK2	NA	37	2.093432903289795	0.04551276	Yes	
row_2	PRR11	NA	61	1.9331234693527222	0.06549339	Yes	
row_3	BUB1	NA	106	1.687174677848816	0.08177544	Yes	
row_4	TTK	NA	142	1.5547624826431274	0.09704776	Yes	
row_5	CKS2	NA	191	1.4265080690383911	0.11029234	Yes	
row_6	NUMB	NA	192	1.4260939359664917	0.12585247	Yes	
row_7	DLEU2	NA	259	1.3052178621292114	0.13690361	Yes	
row_8	CDK1	NA	305	1.2379765510559082	0.14823613	Yes	
row_9	ACYP1	NA	314	1.2293601036071777	0.161263	Yes	
row_10	PXMP4	NA	434	1.1121877431869507	0.16764626	Yes	
row_11	TOP2A	NA	484	1.0583651065826416	0.17682569	Yes	
row_12	DDR2	NA	495	1.0486334562301636	0.18778399	Yes	
row_13	PARPBP	NA	497	1.0477590560913086	0.19916777	Yes	
row_14	C21orf58	NA	503	1.0431630611419678	0.21030806	Yes	
row_15	PRCP	NA	550	1.0174486637115479	0.21918605	Yes	
row_16	HSCB	NA	748	0.8997195959091187	0.21948093	Yes	
row_17	DND1	NA	753	0.8972646594047546	0.22907767	Yes	
row_18	SKA2	NA	790	0.878972053527832	0.23692809	Yes	
row_19	TLL2	NA	849	0.8522223830223083	0.24342327	Yes	
row_20	HMGA2	NA	854	0.8501073718070984	0.25250548	Yes	
row_21	ELAVL4	NA	882	0.8417829871177673	0.26038513	Yes	
row_22	SORBS2	NA	991	0.8043785691261292	0.26394156	Yes	
row_23	MBNL1	NA	1054	0.7838706374168396	0.2694976	Yes	
row_24	TTC9C	NA	1078	0.7756849527359009	0.27684942	Yes	
row_25	KLHL4	NA	1082	0.7745557427406311	0.2851556	Yes	
row_26	ARRDC4	NA	1088	0.7705851793289185	0.2933218	Yes	
row_27	HNRNPR	NA	1099	0.7660540342330933	0.30119687	Yes	
row_28	ALDH6A1	NA	1102	0.7649551630020142	0.30944663	Yes	
row_29	ZNF362	NA	1103	0.7646852135658264	0.31779012	Yes	
row_30	DSPP	NA	1174	0.7413893938064575	0.322496	Yes	
row_31	LRCH4	NA	1211	0.7291589379310608	0.3287118	Yes	
row_32	RHOQ	NA	1258	0.715157151222229	0.3342915	Yes	
row_33	ABCF2	NA	1274	0.7116379141807556	0.34133115	Yes	
row_34	UGP2	NA	1320	0.6998751163482666	0.34679243	Yes	
row_35	ZNF775	NA	1356	0.6900830864906311	0.35263023	Yes	
row_36	IBSP	NA	1592	0.6344398856163025	0.3481939	Yes	
row_37	SPAG9	NA	1596	0.6334382891654968	0.35496038	Yes	
row_38	PAX6	NA	1668	0.617353618144989	0.35826454	Yes	
row_39	GRHL3	NA	1678	0.6163519620895386	0.36455455	Yes	
row_40	CLTA	NA	1718	0.6065911650657654	0.36928803	Yes	
row_41	CEP57	NA	1719	0.6063653230667114	0.37590408	Yes	
row_42	DDIAS	NA	1892	0.5728826522827148	0.37384123	Yes	
row_43	TNFSF11	NA	1915	0.5703056454658508	0.37900046	Yes	
row_44	CCDC186	NA	1964	0.5613429546356201	0.3828052	Yes	
row_45	SERTAD1	NA	2039	0.5512149930000305	0.38524273	Yes	
row_46	CYLD	NA	2058	0.5486160516738892	0.3903587	Yes	
row_47	TLE4	NA	2140	0.5377065539360046	0.39231047	Yes	
row_48	HMGB2	NA	2176	0.5343274474143982	0.39644882	Yes	
row_49	RAB6A	NA	2195	0.5320708155632019	0.4013842	Yes	
row_50	LDB2	NA	2227	0.5281857252120972	0.40564886	Yes	
