NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RAB30	NA	15	2.4006335735321045	0.025612833	No	
row_1	ZCCHC7	NA	336	1.204603672027588	0.023349216	No	
row_2	USP34	NA	367	1.1749818325042725	0.03478924	No	
row_3	HBP1	NA	475	1.0687025785446167	0.041338384	No	
row_4	CACNA1D	NA	601	0.9860453605651855	0.046109915	No	
row_5	RUNX2	NA	739	0.9059301018714905	0.049421966	No	
row_6	GPC3	NA	751	0.8974291086196899	0.05873595	No	
row_7	CCDC191	NA	980	0.8085732460021973	0.05657777	No	
row_8	GADD45B	NA	1366	0.6861884593963623	0.045482032	No	
row_9	GTPBP1	NA	1428	0.6658889055252075	0.049836952	No	
row_10	SYNRG	NA	1559	0.6418687105178833	0.05059049	No	
row_11	KLHL28	NA	1623	0.6273569464683533	0.05442591	No	
row_12	MIA2	NA	1695	0.6105612516403198	0.05769006	No	
row_13	ETV1	NA	1721	0.6057826280593872	0.06312701	No	
row_14	NEUROD6	NA	1726	0.6037738919258118	0.06955779	No	
row_15	UBR4	NA	1748	0.59947270154953	0.07511902	No	
row_16	ANGPT2	NA	1759	0.5968776345252991	0.08118389	No	
row_17	KAT6A	NA	1837	0.5823137760162354	0.08384788	No	
row_18	POU3F1	NA	2013	0.5539429783821106	0.08145988	No	
row_19	KANSL1L	NA	2036	0.5513345003128052	0.08644459	No	
row_20	ARHGAP20	NA	2098	0.5426668524742126	0.08944758	No	
row_21	CHST11	NA	2173	0.5345206260681152	0.09173233	No	
row_22	GRIN2A	NA	2393	0.5053353309631348	0.08668256	No	
row_23	CTBP2	NA	2450	0.4986359179019928	0.08944434	No	
row_24	EN2	NA	2511	0.49056991934776306	0.09192413	No	
row_25	GIT1	NA	2542	0.4857026934623718	0.09580176	No	
row_26	DERL3	NA	2552	0.48414382338523865	0.10067815	No	
row_27	TEF	NA	2656	0.4707444906234741	0.10086032	No	
row_28	PSEN2	NA	2764	0.4598064720630646	0.10072899	No	
row_29	ABHD17B	NA	2971	0.44016942381858826	0.09559312	No	
row_30	SPINK5	NA	3156	0.4201689660549164	0.09130205	No	
row_31	VPS50	NA	3157	0.42014697194099426	0.09591168	No	
row_32	COL2A1	NA	3160	0.42014697194099426	0.10042456	No	
row_33	PRKCE	NA	3341	0.4008263647556305	0.09611478	No	
row_34	CNST	NA	3429	0.39132630825042725	0.0961996	No	
row_35	PLAG1	NA	3505	0.3844611644744873	0.096789606	No	
row_36	E2F8	NA	3714	0.36681485176086426	0.090752184	No	
row_37	KRTCAP2	NA	3720	0.3666725754737854	0.09453324	No	
row_38	ARF6	NA	3861	0.35652679204940796	0.09167241	No	
row_39	FLT3	NA	3879	0.35527631640434265	0.094747946	No	
row_40	ALX4	NA	3928	0.34920793771743774	0.096257284	No	
row_41	ZMYM6	NA	3944	0.3477715253829956	0.09934723	No	
row_42	STMN4	NA	4101	0.33442753553390503	0.095469944	No	
row_43	SCYL1	NA	4351	0.31480297446250916	0.086878516	No	
row_44	LHX9	NA	4363	0.3139777183532715	0.089791186	No	
row_45	NEUROD2	NA	4588	0.2989841103553772	0.08223557	No	
row_46	SC5D	NA	4662	0.29320818185806274	0.081921145	No	
row_47	LIN28A	NA	4681	0.29216963052749634	0.08425593	No	
row_48	NR1D1	NA	4730	0.28924381732940674	0.08510737	No	
row_49	ATP6V0B	NA	5011	0.2703315019607544	0.07452841	No	
row_50	SLC9A5	NA	5019	0.2697621285915375	0.07714947	No	
row_51	RAB2A	NA	5087	0.2652583122253418	0.076818645	No	
row_52	LIG3	NA	5145	0.26180022954940796	0.07693362	No	
row_53	NRXN1	NA	5313	0.2531227469444275	0.071632184	No	
row_54	POLR3A	NA	5333	0.25174975395202637	0.07347513	No	
row_55	MFHAS1	NA	5335	0.25174975395202637	0.07618882	No	
row_56	TMED10	NA	5345	0.2513050436973572	0.07851063	No	
row_57	RBBP6	NA	5391	0.24903716146945953	0.079066075	No	
row_58	WWP2	NA	5441	0.24691389501094818	0.07940473	No	
row_59	CDC14A	NA	5454	0.24649453163146973	0.081528634	No	
row_60	ST6GAL1	NA	5592	0.23805513978004456	0.07751312	No	
row_61	USP2	NA	5656	0.23432058095932007	0.07703636	No	
row_62	TAFA4	NA	5772	0.22838321328163147	0.073978975	No	
row_63	C9orf85	NA	5941	0.21942152082920074	0.06825942	No	
row_64	ATXN7L2	NA	6103	0.21122956275939941	0.0627886	No	
row_65	STAT3	NA	6140	0.20923471450805664	0.06334273	No	
row_66	PLA2G4A	NA	6145	0.20890982449054718	0.06544127	No	
row_67	CELF1	NA	6148	0.2087119221687317	0.067634396	No	
row_68	JADE1	NA	6172	0.20793797075748444	0.06880316	No	
row_69	ZHX2	NA	6176	0.20788346230983734	0.070938826	No	
row_70	BMP2K	NA	6244	0.20419344305992126	0.06993803	No	
row_71	MXD4	NA	6371	0.19824954867362976	0.06601791	No	
row_72	HRH3	NA	6376	0.19815200567245483	0.06799843	No	
row_73	SEMA3F	NA	6450	0.19462023675441742	0.06660235	No	
row_74	ZZZ3	NA	6674	0.1844094842672348	0.057838053	No	
row_75	ABCA1	NA	6777	0.1807793229818344	0.054887258	No	
row_76	TESK2	NA	6871	0.17705193161964417	0.052330934	No	
row_77	SEZ6L	NA	7143	0.16669699549674988	0.041050326	No	
row_78	L1CAM	NA	7226	0.1629137396812439	0.03887101	No	
row_79	DLC1	NA	7249	0.1624637097120285	0.03958923	No	
row_80	MGME1	NA	7282	0.1610001027584076	0.039807647	No	
row_81	CTSF	NA	7365	0.15776632726192474	0.03757186	No	
row_82	LRRC59	NA	7460	0.15431392192840576	0.034717694	No	
row_83	CHRM1	NA	7511	0.15244148671627045	0.033971466	No	
row_84	ADAMTS17	NA	7705	0.14544683694839478	0.026230931	No	
row_85	NEFM	NA	7749	0.1433492749929428	0.025723573	No	
row_86	HSPD1	NA	8029	0.13375362753868103	0.0136945285	No	
row_87	GJA1	NA	8106	0.13089928030967712	0.011454214	No	
row_88	MYCL	NA	8205	0.12691867351531982	0.008105986	No	
row_89	SLC20A1	NA	8283	0.1239665076136589	0.005741234	No	
row_90	RXRB	NA	8589	0.11457148939371109	-0.0077560064	No	
row_91	GPD1	NA	8707	0.11094716936349869	-0.012198584	No	
row_92	NDUFS1	NA	8784	0.10834582895040512	-0.014686342	No	
row_93	PHF20	NA	8806	0.1075344905257225	-0.014522399	No	
row_94	TET2	NA	8828	0.10671474784612656	-0.014367449	No	
row_95	KLF11	NA	8856	0.10551981627941132	-0.014515858	No	
row_96	MINK1	NA	8965	0.10233190655708313	-0.018617585	No	
row_97	PABPC1	NA	9033	0.10040532052516937	-0.020757092	No	
row_98	VGF	NA	9329	0.0925360843539238	-0.034012347	No	
row_99	RNF128	NA	9360	0.09166067093610764	-0.034457933	No	
row_100	FOXO3	NA	9405	0.09042202681303024	-0.035594355	No	
row_101	NUP153	NA	9537	0.08638111501932144	-0.040983703	No	
row_102	ASPHD1	NA	9572	0.08511283248662949	-0.041694626	No	
row_103	CAMKV	NA	9580	0.08493606746196747	-0.041101377	No	
row_104	SEMA7A	NA	9684	0.08180142939090729	-0.045186482	No	
row_105	PRKCG	NA	10062	0.07111538201570511	-0.06264347	No	
row_106	PDIA2	NA	10112	0.06945113092660904	-0.06425185	No	
row_107	ADPRHL1	NA	10174	0.06811340898275375	-0.066455394	No	
row_108	GRK6	NA	10238	0.06642989814281464	-0.06877416	No	
