NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GSPT1	NA	1526	0.6474606394767761	-0.054492317	No	
row_1	GM2A	NA	1805	0.5873400568962097	-0.050976396	No	
row_2	ITPR2	NA	1858	0.5778234004974365	-0.036916528	No	
row_3	SPCS2	NA	2268	0.5228738188743591	-0.041516636	No	
row_4	TMEM59	NA	2546	0.48530521988868713	-0.04087509	No	
row_5	CFAP298	NA	2834	0.4512132406234741	-0.04168853	No	
row_6	CDKN1B	NA	2933	0.4424821734428406	-0.033706367	No	
row_7	COX7C	NA	3442	0.3899019956588745	-0.046852935	No	
row_8	CALM2	NA	4100	0.3344833254814148	-0.068717904	No	
row_9	KPNB1	NA	7442	0.1546727418899536	-0.2241905	No	
row_10	TASP1	NA	8035	0.13335582613945007	-0.24870475	No	
row_11	H2BC15	NA	8465	0.11728475242853165	-0.26587796	No	
row_12	SERBP1	NA	8607	0.11362846940755844	-0.26937205	No	
row_13	FYCO1	NA	9173	0.0969730019569397	-0.29363602	No	
row_14	SNX5	NA	9495	0.08772541582584381	-0.30648687	No	
row_15	FIG4	NA	9763	0.07958333939313889	-0.31698644	No	
row_16	EDEM1	NA	10096	0.06976832449436188	-0.33087802	No	
row_17	PDSS1	NA	10768	0.051984213292598724	-0.36150372	No	
row_18	TIMM13	NA	12588	0.012154963798820972	-0.44821408	No	
row_19	PRORP	NA	12713	0.009644734673202038	-0.4538726	No	
row_20	METTL26	NA	12761	0.008646940812468529	-0.45587438	No	
row_21	JARID2	NA	13514	-0.006430800538510084	-0.4916814	No	
row_22	NOP16	NA	14287	-0.022723188623785973	-0.527979	No	
row_23	PPAT	NA	14947	-0.03938579559326172	-0.5583912	No	
row_24	DDX28	NA	15699	-0.06743472814559937	-0.59240323	No	
row_25	UMPS	NA	17097	-0.13814054429531097	-0.65530825	No	
row_26	YBX3	NA	17257	-0.15104496479034424	-0.6585922	No	
row_27	TRHDE	NA	17475	-0.1675208956003189	-0.6641802	No	
row_28	HES1	NA	17674	-0.18322011828422546	-0.6684093	No	
row_29	DDX56	NA	18746	-0.3095623254776001	-0.7108023	Yes	
row_30	UTP14A	NA	18891	-0.33421891927719116	-0.7081223	Yes	
row_31	ZWINT	NA	18928	-0.3407895863056183	-0.7000852	Yes	
row_32	UTP14C	NA	19002	-0.3581577241420746	-0.6933216	Yes	
row_33	AHSA1	NA	19100	-0.3743121325969696	-0.68724394	Yes	
row_34	POLR2I	NA	19137	-0.3839174211025238	-0.67797166	Yes	
row_35	MRPL4	NA	19432	-0.4545193314552307	-0.6790254	Yes	
row_36	NDRG1	NA	19514	-0.4776501953601837	-0.6692225	Yes	
row_37	SF3B3	NA	19658	-0.5239292979240417	-0.6610614	Yes	
row_38	KARS1	NA	19685	-0.5326668620109558	-0.64705044	Yes	
row_39	POLR1A	NA	19822	-0.5835698246955872	-0.63684624	Yes	
row_40	PHB	NA	19868	-0.6009392142295837	-0.62178934	Yes	
row_41	NOP56	NA	20081	-0.6997365951538086	-0.6118956	Yes	
row_42	MTMR4	NA	20088	-0.7021129727363586	-0.5920746	Yes	
row_43	PWP1	NA	20472	-1.0183453559875488	-0.5812402	Yes	
row_44	SLC25A19	NA	20601	-1.1735448837280273	-0.55375654	Yes	
row_45	EMG1	NA	20717	-1.376868724822998	-0.51982754	Yes	
row_46	SRPRB	NA	20754	-1.4501065015792847	-0.48002008	Yes	
row_47	SHQ1	NA	20773	-1.498238444328308	-0.43797264	Yes	
row_48	WDR46	NA	20885	-2.1144096851348877	-0.38272935	Yes	
row_49	MRTO4	NA	20889	-2.132084846496582	-0.3218109	Yes	
row_50	NAT10	NA	20893	-2.168384075164795	-0.25985286	Yes	
row_51	TRUB2	NA	20922	-2.4697744846343994	-0.19045965	Yes	
row_52	IFRD2	NA	20933	-2.8138701915740967	-0.11035018	Yes	
row_53	MYC	NA	20944	-3.874791383743286	1.4363608E-4	Yes	
