NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H2AC6	NA	8	2.5581984519958496	0.028742742	Yes	
row_1	TRPS1	NA	63	1.9218424558639526	0.048015866	Yes	
row_2	CADM1	NA	187	1.4315149784088135	0.058370348	Yes	
row_3	TCF12	NA	222	1.3645806312561035	0.07226489	Yes	
row_4	LINC00470	NA	233	1.3454523086547852	0.087101765	Yes	
row_5	ATF7IP	NA	245	1.32357656955719	0.10164121	Yes	
row_6	NXT2	NA	297	1.2482926845550537	0.113389835	Yes	
row_7	UBE2S	NA	303	1.2392425537109375	0.12725903	Yes	
row_8	NRXN3	NA	320	1.2162904739379883	0.14033514	Yes	
row_9	CDC42EP3	NA	334	1.208325982093811	0.15346558	Yes	
row_10	DLGAP4	NA	338	1.1996091604232788	0.16698016	Yes	
row_11	NFYB	NA	344	1.192467212677002	0.18031675	Yes	
row_12	BTK	NA	437	1.1087836027145386	0.1884949	Yes	
row_13	TSPAN13	NA	453	1.0956884622573853	0.2002461	Yes	
row_14	DNAH5	NA	469	1.0812674760818481	0.21183307	Yes	
row_15	NEIL3	NA	529	1.0260794162750244	0.22066471	Yes	
row_16	COLCA1	NA	585	0.9918578863143921	0.22930004	Yes	
row_17	TCF4	NA	602	0.9858626127243042	0.23975234	Yes	
row_18	ADORA2A	NA	624	0.9636551141738892	0.24971007	Yes	
row_19	HIVEP3	NA	688	0.924170732498169	0.25718793	Yes	
row_20	PTEN	NA	734	0.9070835709571838	0.26534134	Yes	
row_21	MPPED2	NA	793	0.8765776753425598	0.272519	Yes	
row_22	ID4	NA	819	0.8653111457824707	0.28116354	Yes	
row_23	BCOR	NA	824	0.8644152283668518	0.29081303	Yes	
row_24	CADM2	NA	826	0.8644152283668518	0.30060753	Yes	
row_25	ING1	NA	837	0.8604323863983154	0.30992162	Yes	
row_26	EPHB3	NA	873	0.8461151123046875	0.3178642	Yes	
row_27	HDAC9	NA	953	0.8167749047279358	0.32334578	Yes	
row_28	FZD4	NA	986	0.8052225708961487	0.33096775	Yes	
row_29	LIPG	NA	1006	0.8004463911056519	0.33916375	Yes	
row_30	SLC24A1	NA	1167	0.7431696653366089	0.33989167	Yes	
row_31	LRCH4	NA	1211	0.7291589379310608	0.3461158	Yes	
row_32	SERTAD4	NA	1293	0.7064489722251892	0.3502444	Yes	
