NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H2AC6	NA	8	2.5581984519958496	0.031139849	Yes	
row_1	JUND	NA	81	1.8128935098648071	0.050001025	Yes	
row_2	BLNK	NA	121	1.630584955215454	0.068210684	Yes	
row_3	CADM1	NA	187	1.4315149784088135	0.08271023	Yes	
row_4	TCF12	NA	222	1.3645806312561035	0.09788341	Yes	
row_5	ATF7IP	NA	245	1.32357656955719	0.11313135	Yes	
row_6	UBE2S	NA	303	1.2392425537109375	0.1256481	Yes	
row_7	NRXN3	NA	320	1.2162904739379883	0.13986391	Yes	
row_8	DLGAP4	NA	338	1.1996091604232788	0.1538258	Yes	
row_9	NFYB	NA	344	1.192467212677002	0.16827977	Yes	
row_10	BTK	NA	437	1.1087836027145386	0.17749688	Yes	
row_11	TSPAN13	NA	453	1.0956884622573853	0.19027476	Yes	
row_12	DNAH5	NA	469	1.0812674760818481	0.20287493	Yes	
row_13	ADORA2A	NA	624	0.9636551141738892	0.20730647	Yes	
row_14	GPM6A	NA	694	0.9217528104782104	0.21533048	Yes	
row_15	PTEN	NA	734	0.9070835709571838	0.2246239	Yes	
row_16	SCOC	NA	766	0.8914490342140198	0.23411135	Yes	
row_17	MPPED2	NA	793	0.8765776753425598	0.24365725	Yes	
row_18	CADM2	NA	826	0.8644152283668518	0.2527632	Yes	
row_19	TLL2	NA	849	0.8522223830223083	0.2622023	Yes	
row_20	SH3GL3	NA	851	0.8516544699668884	0.27264953	Yes	
row_21	EPHB3	NA	873	0.8461151123046875	0.2820617	Yes	
row_22	HDAC9	NA	953	0.8167749047279358	0.2883086	Yes	
row_23	H2BC12	NA	969	0.81245356798172	0.29759595	Yes	
row_24	RRAS	NA	1004	0.8004463911056519	0.30581692	Yes	
row_25	LIPG	NA	1006	0.8004463911056519	0.31563306	Yes	
row_26	ARMCX4	NA	1069	0.778123676776886	0.3222254	Yes	
