NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H2AC6	NA	8	2.5581984519958496	0.027763164	Yes	
row_1	PPP2R5C	NA	47	2.0183756351470947	0.048135675	Yes	
row_2	JUND	NA	81	1.8128935098648071	0.066488855	Yes	
row_3	BLNK	NA	121	1.630584955215454	0.082545824	Yes	
row_4	CADM1	NA	187	1.4315149784088135	0.09515514	Yes	
row_5	TCF12	NA	222	1.3645806312561035	0.10852681	Yes	
row_6	ATF7IP	NA	245	1.32357656955719	0.122027494	Yes	
row_7	UBE2S	NA	303	1.2392425537109375	0.13290788	Yes	
row_8	NRXN3	NA	320	1.2162904739379883	0.14551811	Yes	
row_9	DLGAP4	NA	338	1.1996091604232788	0.15789643	Yes	
row_10	NFYB	NA	344	1.192467212677002	0.17077638	Yes	
row_11	BTK	NA	437	1.1087836027145386	0.17852893	Yes	
row_12	TSPAN13	NA	453	1.0956884622573853	0.18986043	Yes	
row_13	HOXC11	NA	466	1.0822155475616455	0.20118873	Yes	
row_14	ADORA2A	NA	624	0.9636551141738892	0.20420147	Yes	
row_15	RTTN	NA	654	0.9420931339263916	0.21316592	Yes	
row_16	GPM6A	NA	694	0.9217528104782104	0.22142303	Yes	
row_17	PTEN	NA	734	0.9070835709571838	0.22951873	Yes	
row_18	SCOC	NA	766	0.8914490342140198	0.2378292	Yes	
row_19	MPPED2	NA	793	0.8765776753425598	0.24621777	Yes	
row_20	CADM2	NA	826	0.8644152283668518	0.2541824	Yes	
row_21	TLL2	NA	849	0.8522223830223083	0.26249638	Yes	
row_22	SH3GL3	NA	851	0.8516544699668884	0.2718195	Yes	
row_23	H2BC12	NA	969	0.81245356798172	0.2751025	Yes	
row_24	FZD4	NA	986	0.8052225708961487	0.28318942	Yes	
row_25	RRAS	NA	1004	0.8004463911056519	0.29117543	Yes	
row_26	LIPG	NA	1006	0.8004463911056519	0.29993504	Yes	
row_27	ARMCX4	NA	1069	0.778123676776886	0.3054996	Yes	
row_28	ZNF362	NA	1103	0.7646852135658264	0.31231847	Yes	
row_29	LRCH4	NA	1211	0.7291589379310608	0.31516844	Yes	
row_30	SERTAD4	NA	1293	0.7064489722251892	0.31902564	Yes	
row_31	MSI2	NA	1346	0.6929035782814026	0.32413596	Yes	
row_32	PRICKLE2	NA	1434	0.6643758416175842	0.32724008	Yes	
row_33	GRIA3	NA	1475	0.657525897026062	0.33254132	Yes	
row_34	CEP41	NA	1502	0.6528480052947998	0.33846802	Yes	
row_35	MID1	NA	1638	0.6240750551223755	0.33880782	Yes	
row_36	PAX6	NA	1668	0.617353618144989	0.34419888	Yes	
row_37	GRHL3	NA	1678	0.6163519620895386	0.35054594	Yes	
row_38	ETV1	NA	1721	0.6057826280593872	0.35518113	Yes	
row_39	NOS1	NA	1772	0.5939348340034485	0.35929912	Yes	
row_40	CSRNP3	NA	1835	0.5827060341835022	0.36271334	Yes	
row_41	GPR85	NA	1898	0.5718814730644226	0.36600846	Yes	
row_42	PIGT	NA	1960	0.5625998973846436	0.3692498	Yes	
row_43	REL	NA	1981	0.5585223436355591	0.37442863	Yes	
row_44	WNT6	NA	2014	0.5535978078842163	0.3789731	Yes	
row_45	KANSL1L	NA	2036	0.5513345003128052	0.3840245	Yes	
row_46	BCORP1	NA	2053	0.5491023063659668	0.38929313	Yes	
row_47	CBFA2T2	NA	2090	0.5432528853416443	0.39353034	Yes	
row_48	KBTBD12	NA	2127	0.5388381481170654	0.39771897	Yes	
row_49	H2AC14	NA	2214	0.530478835105896	0.39939806	Yes	
row_50	LDB2	NA	2227	0.5281857252120972	0.40462992	Yes	
row_51	FOXP1	NA	2232	0.5274089574813843	0.41024002	Yes	
row_52	FOXP2	NA	2240	0.5268425941467285	0.41569886	Yes	
