NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H2AC6	NA	8	2.5581984519958496	0.029266505	Yes	
row_1	RAB30	NA	15	2.4006335735321045	0.05680327	Yes	
row_2	JUND	NA	81	1.8128935098648071	0.07467581	Yes	
row_3	BLNK	NA	121	1.630584955215454	0.09169173	Yes	
row_4	CADM1	NA	187	1.4315149784088135	0.105143555	Yes	
row_5	NXT2	NA	297	1.2482926845550537	0.114345044	Yes	
row_6	UBE2S	NA	303	1.2392425537109375	0.12846798	Yes	
row_7	DLGAP4	NA	338	1.1996091604232788	0.14072992	Yes	
row_8	NFYB	NA	344	1.192467212677002	0.15431066	Yes	
row_9	TSPAN13	NA	453	1.0956884622573853	0.16179158	Yes	
row_10	HOXC11	NA	466	1.0822155475616455	0.17375603	Yes	
row_11	TCEAL9	NA	568	1.0057036876678467	0.18053222	Yes	
row_12	ADORA2A	NA	624	0.9636551141738892	0.18904418	Yes	
row_13	GPM6A	NA	694	0.9217528104782104	0.19639382	Yes	
row_14	PTEN	NA	734	0.9070835709571838	0.20502332	Yes	
row_15	SCOC	NA	766	0.8914490342140198	0.21385825	Yes	
row_16	CADM2	NA	826	0.8644152283668518	0.22102657	Yes	
row_17	ING1	NA	837	0.8604323863983154	0.2305169	Yes	
row_18	TLL2	NA	849	0.8522223830223083	0.23986372	Yes	
row_19	SH3GL3	NA	851	0.8516544699668884	0.24968728	Yes	
row_20	EPHB3	NA	873	0.8461151123046875	0.25848	Yes	
row_21	HDAC9	NA	953	0.8167749047279358	0.26412952	Yes	
row_22	H2BC12	NA	969	0.81245356798172	0.27282205	Yes	
row_23	FZD4	NA	986	0.8052225708961487	0.28138244	Yes	
row_24	RRAS	NA	1004	0.8004463911056519	0.28983915	Yes	
row_25	H2AC17	NA	1032	0.7921996712684631	0.29771695	Yes	
row_26	ARMCX4	NA	1069	0.778123676776886	0.3049966	Yes	
row_27	NEDD9	NA	1081	0.7746574282646179	0.31344435	Yes	
row_28	ZNF362	NA	1103	0.7646852135658264	0.3212932	Yes	
row_29	LRCH4	NA	1211	0.7291589379310608	0.32457387	Yes	
row_30	SERTAD4	NA	1293	0.7064489722251892	0.32884786	Yes	
row_31	MSI2	NA	1346	0.6929035782814026	0.3343664	Yes	
row_32	PRICKLE2	NA	1434	0.6643758416175842	0.33786276	Yes	
row_33	GRIA3	NA	1475	0.657525897026062	0.34355122	Yes	
row_34	ZBTB20	NA	1505	0.6518070101737976	0.349705	Yes	
row_35	PAX6	NA	1668	0.617353618144989	0.3490315	Yes	
row_36	GRHL3	NA	1678	0.6163519620895386	0.35574093	Yes	
row_37	ETV1	NA	1721	0.6057826280593872	0.36073294	Yes	
row_38	STXBP6	NA	1789	0.5908905267715454	0.3643441	Yes	
row_39	CSRNP3	NA	1835	0.5827060341835022	0.3689236	Yes	
row_40	BSND	NA	1836	0.5827060341835022	0.375678	Yes	
row_41	REL	NA	1981	0.5585223436355591	0.37519252	Yes	
row_42	PLXNA2	NA	2001	0.555824339389801	0.38071704	Yes	
row_43	KANSL1L	NA	2036	0.5513345003128052	0.38546455	Yes	
row_44	BCORP1	NA	2053	0.5491023063659668	0.39105615	Yes	
