NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H2AC6	NA	8	2.5581984519958496	0.028699243	Yes	
row_1	JUND	NA	81	1.8128935098648071	0.045831636	Yes	
row_2	BLNK	NA	121	1.630584955215454	0.06248606	Yes	
row_3	CADM1	NA	187	1.4315149784088135	0.0756206	Yes	
row_4	TCF12	NA	222	1.3645806312561035	0.08949228	Yes	
row_5	ATF7IP	NA	245	1.32357656955719	0.103477694	Yes	
row_6	UBE2S	NA	303	1.2392425537109375	0.114812784	Yes	
row_7	NRXN3	NA	320	1.2162904739379883	0.12786835	Yes	
row_8	DLGAP4	NA	338	1.1996091604232788	0.14068593	Yes	
row_9	NFYB	NA	344	1.192467212677002	0.15400225	Yes	
row_10	BTK	NA	437	1.1087836027145386	0.16216259	Yes	
row_11	TSPAN13	NA	453	1.0956884622573853	0.17389528	Yes	
row_12	HOXC11	NA	466	1.0822155475616455	0.18561979	Yes	
row_13	DNAH5	NA	469	1.0812674760818481	0.19781679	Yes	
row_14	ADORA2A	NA	624	0.9636551141738892	0.20133074	Yes	
row_15	RTTN	NA	654	0.9420931339263916	0.2106405	Yes	
row_16	GPM6A	NA	694	0.9217528104782104	0.21923575	Yes	
row_17	PTEN	NA	734	0.9070835709571838	0.2276642	Yes	
row_18	SCOC	NA	766	0.8914490342140198	0.23630151	Yes	
row_19	MPPED2	NA	793	0.8765776753425598	0.24501139	Yes	
row_20	CADM2	NA	826	0.8644152283668518	0.253293	Yes	
row_21	TLL2	NA	849	0.8522223830223083	0.2619193	Yes	
row_22	SH3GL3	NA	851	0.8516544699668884	0.271554	Yes	
row_23	EPHB3	NA	873	0.8461151123046875	0.28015915	Yes	
row_24	HDAC9	NA	953	0.8167749047279358	0.2856277	Yes	
row_25	H2BC12	NA	969	0.81245356798172	0.29414013	Yes	
row_26	FZD4	NA	986	0.8052225708961487	0.30252197	Yes	
row_27	RRAS	NA	1004	0.8004463911056519	0.3108012	Yes	
row_28	LIPG	NA	1006	0.8004463911056519	0.3198537	Yes	
row_29	ARMCX4	NA	1069	0.778123676776886	0.3257044	Yes	
row_30	ZNF362	NA	1103	0.7646852135658264	0.3328038	Yes	
row_31	LRCH4	NA	1211	0.7291589379310608	0.335923	Yes	
row_32	SERTAD4	NA	1293	0.7064489722251892	0.34004053	Yes	
row_33	MSI2	NA	1346	0.6929035782814026	0.34540555	Yes	
row_34	PRICKLE2	NA	1434	0.6643758416175842	0.34875476	Yes	
row_35	GRIA3	NA	1475	0.657525897026062	0.35429752	Yes	
row_36	CEP41	NA	1502	0.6528480052947998	0.36046365	Yes	
row_37	MID1	NA	1638	0.6240750551223755	0.36103493	Yes	
row_38	PAX6	NA	1668	0.617353618144989	0.36665252	Yes	
row_39	GRHL3	NA	1678	0.6163519620895386	0.37322527	Yes	
row_40	ETV1	NA	1721	0.6057826280593872	0.37808305	Yes	
row_41	CSRNP3	NA	1835	0.5827060341835022	0.3792472	Yes	
row_42	GPR85	NA	1898	0.5718814730644226	0.38275295	Yes	
