NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GRHL3	NA	1678	0.6163519620895386	-0.005926019	No	
row_1	FLI1	NA	2621	0.4768238365650177	0.0065043727	No	
row_2	TPGS2	NA	3598	0.37516579031944275	0.005065246	No	
row_3	ADAMTSL3	NA	4889	0.2776443660259247	-0.023122413	No	
row_4	MRTFA	NA	6045	0.21468934416770935	-0.0524435	No	
row_5	RASGRP2	NA	7454	0.1545897126197815	-0.101091176	No	
row_6	ZEB2	NA	8867	0.10544862598180771	-0.1558492	No	
row_7	FAM13B	NA	8931	0.10353333503007889	-0.14638807	No	
row_8	USP13	NA	9471	0.08830805122852325	-0.16150227	No	
row_9	TAF15	NA	9811	0.07846351712942123	-0.16824709	No	
row_10	PSD	NA	12560	0.012677816674113274	-0.2980085	No	
row_11	ARFGEF1	NA	15833	-0.07345709204673767	-0.44548345	No	
row_12	AP2B1	NA	17754	-0.19182993471622467	-0.5141067	Yes	
row_13	PIM1	NA	18221	-0.23901353776454926	-0.50758016	Yes	
row_14	CORO2A	NA	19883	-0.6096704602241516	-0.51349884	Yes	
row_15	PFN1	NA	20112	-0.7210047245025635	-0.43754375	Yes	
row_16	DTX1	NA	20945	-3.9632411003112793	9.543333E-5	Yes	
