NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TOB1	NA	5	2.799623727798462	0.0823276	Yes	
row_1	PURA	NA	124	1.6178604364395142	0.124382846	Yes	
row_2	ALDH1A2	NA	157	1.523078203201294	0.16776726	Yes	
row_3	CADM1	NA	187	1.4315149784088135	0.20859513	Yes	
row_4	DLGAP4	NA	338	1.1996091604232788	0.2367805	Yes	
row_5	KRT76	NA	403	1.1396952867507935	0.26732334	Yes	
row_6	CHD2	NA	668	0.9344679117202759	0.2822217	Yes	
row_7	C12orf42	NA	681	0.9272356629371643	0.30899253	Yes	
row_8	GPM6A	NA	694	0.9217528104782104	0.33560163	Yes	
row_9	HDAC9	NA	953	0.8167749047279358	0.3473167	Yes	
row_10	FRMD5	NA	982	0.8076157569885254	0.3697923	Yes	
row_11	CXCL2	NA	1104	0.7646682858467102	0.38654107	Yes	
row_12	NSD1	NA	1345	0.6929035782814026	0.39546618	Yes	
row_13	KRT23	NA	1413	0.6693041920661926	0.41199222	Yes	
row_14	NRP1	NA	1707	0.6092678904533386	0.41590887	Yes	
row_15	FOXP2	NA	2240	0.5268425941467285	0.4059323	Yes	
row_16	HOXA3	NA	2509	0.49070683121681213	0.4075513	Yes	
row_17	HOXD10	NA	2533	0.4868701994419098	0.42080715	Yes	
row_18	NOVA1	NA	2759	0.46010223031044006	0.4235858	Yes	
row_19	PHOX2B	NA	2817	0.45287609100341797	0.43420848	Yes	
row_20	EPHA7	NA	2887	0.4460464119911194	0.44405422	Yes	
row_21	LINC00052	NA	3008	0.43735530972480774	0.4511977	Yes	
row_22	SPTB	NA	3047	0.4325982630252838	0.4621336	Yes	
row_23	ASPA	NA	3584	0.37580353021621704	0.44751072	Yes	
row_24	MOS	NA	3591	0.375421404838562	0.45829502	Yes	
row_25	COL13A1	NA	3696	0.3686864376068115	0.46418065	Yes	
row_26	NANOS1	NA	4115	0.3330758213996887	0.45395684	Yes	
row_27	GNB3	NA	4224	0.3249039947986603	0.4583594	Yes	
row_28	RHOD	NA	4476	0.3064936101436615	0.4553608	Yes	
row_29	HIVEP1	NA	4633	0.29485219717025757	0.45657504	Yes	
row_30	SIAH3	NA	4644	0.29441550374031067	0.46477842	Yes	
