NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CKS2	NA	191	1.4265080690383911	0.036906384	No	
row_1	CKS1B	NA	380	1.1592609882354736	0.06532674	No	
row_2	HMGB1	NA	963	0.813414990901947	0.06368768	No	
row_3	RAB5IF	NA	1779	0.5927460193634033	0.043750998	No	
row_4	XPNPEP3	NA	1944	0.5664688944816589	0.054179817	No	
row_5	LINC01127	NA	1982	0.5585223436355591	0.0704414	No	
row_6	CYP4F12	NA	2574	0.48219600319862366	0.05767518	No	
row_7	DNASE1	NA	2596	0.47884148359298706	0.072130896	No	
row_8	BISPR	NA	3120	0.4234299957752228	0.06072747	No	
row_9	RAP2A	NA	3193	0.41626662015914917	0.07071719	No	
row_10	HSPA1A	NA	3542	0.3793877363204956	0.066282436	No	
row_11	HSPB9	NA	3635	0.3721206784248352	0.07388766	No	
row_12	SLC5A3	NA	4239	0.3239997327327728	0.055437632	No	
row_13	SHC1	NA	4538	0.30231454968452454	0.050911438	No	
row_14	ESRRA	NA	4748	0.28799569606781006	0.05019022	No	
row_15	CCND3	NA	5066	0.2661720812320709	0.043585915	No	
row_16	UBOX5	NA	5525	0.24158437550067902	0.029426988	No	
row_17	CACYBP	NA	5781	0.22801943123340607	0.024563434	No	
row_18	GTF3C3	NA	5836	0.22403842210769653	0.029208839	No	
row_19	PCBD1	NA	6951	0.17360851168632507	-0.018598927	No	
row_20	FBXO15	NA	7068	0.16974429786205292	-0.018679537	No	
row_21	C11orf49	NA	7997	0.13506093621253967	-0.058813773	No	
row_22	HSPD1	NA	8029	0.13375362753868103	-0.05598102	No	
row_23	ALB	NA	8133	0.12962546944618225	-0.056733817	No	
row_24	CCT4	NA	8298	0.1237298771739006	-0.060601808	No	
row_25	MRPS6	NA	8311	0.12324807792901993	-0.057197288	No	
row_26	ELL	NA	8527	0.11582871526479721	-0.063765764	No	
row_27	CCDC117	NA	8542	0.11569619178771973	-0.060701	No	
row_28	HIKESHI	NA	8633	0.11325661838054657	-0.06135905	No	
row_29	HPD	NA	8813	0.10715245455503464	-0.066481575	No	
row_30	PTGES3	NA	9432	0.09013818204402924	-0.09320262	No	
row_31	UBB	NA	9502	0.0872722864151001	-0.09369285	No	
row_32	HSPA1L	NA	9933	0.07493513822555542	-0.11189063	No	
row_33	TSACC	NA	9939	0.07472886145114899	-0.10971724	No	
row_34	APTX	NA	9976	0.07361837476491928	-0.1090661	No	
row_35	CHORDC1	NA	10347	0.06331061571836472	-0.124762386	No	
row_36	HSP90AA1	NA	10498	0.058700915426015854	-0.130059	No	
row_37	ZFAND2A-DT	NA	11356	0.03742125257849693	-0.1699419	No	
row_38	PWWP3A	NA	11511	0.0335083082318306	-0.17624383	No	
row_39	COMMD1	NA	11537	0.03284968435764313	-0.17638175	No	
row_40	DDX39B	NA	11828	0.027331523597240448	-0.18940404	No	
row_41	ZFAND2A	NA	11886	0.025719203054904938	-0.19130655	No	
row_42	KRBA2	NA	11896	0.025555867701768875	-0.19091284	No	
row_43	HSPA8	NA	12034	0.02288029156625271	-0.19674285	No	
row_44	BST2	NA	12297	0.018122229725122452	-0.20871998	No	
row_45	DNAJA1	NA	12462	0.014907173812389374	-0.21610205	No	
row_46	USPL1	NA	12951	0.003977824933826923	-0.23937213	No	
row_47	HSPA1B	NA	13350	-0.0027940573636442423	-0.25836515	No	
row_48	FEM1B	NA	13368	-0.003174110548570752	-0.25907776	No	
row_49	ZNF497	NA	13487	-0.005816753022372723	-0.26454777	No	
row_50	ST13	NA	14027	-0.017379265278577805	-0.28983045	No	
row_51	FKBP4	NA	14267	-0.022443683817982674	-0.30056524	No	
row_52	HSPH1	NA	14279	-0.02255970425903797	-0.30036417	No	
row_53	MGST2	NA	14345	-0.023700209334492683	-0.30271545	No	
row_54	MRPL18	NA	14452	-0.026098307222127914	-0.30695516	No	
row_55	NRSN2	NA	14604	-0.029197681695222855	-0.31325245	No	
row_56	FOXJ1	NA	14854	-0.035418424755334854	-0.32404774	No	
row_57	NRSN2-AS1	NA	15060	-0.04298882186412811	-0.33248886	No	
row_58	VIPAS39	NA	15439	-0.05638674274086952	-0.3487923	No	
row_59	ATP5MC3	NA	16869	-0.12383655458688736	-0.4133109	No	
row_60	BAG3	NA	17035	-0.13425275683403015	-0.41688702	No	
row_61	STIP1	NA	17538	-0.1725747138261795	-0.4353841	No	
row_62	MTFR1L	NA	18235	-0.24003775417804718	-0.46100456	No	
row_63	TEKT1	NA	18454	-0.2676439881324768	-0.46281448	Yes	
row_64	MED9	NA	18455	-0.2676723003387451	-0.45417088	Yes	
