NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TOB1	NA	5	2.799623727798462	0.0254947	No	
row_1	H2AC6	NA	8	2.5581984519958496	0.04891505	No	
row_2	CKS2	NA	191	1.4265080690383911	0.053230446	No	
row_3	H2AX	NA	241	1.3307684659957886	0.0630952	No	
row_4	CDC25C	NA	248	1.3212144374847412	0.07495082	No	
row_5	UBE2S	NA	303	1.2392425537109375	0.08373248	No	
row_6	KBTBD2	NA	308	1.2355928421020508	0.09489769	No	
row_7	ARL6IP1	NA	418	1.1265430450439453	0.09998452	No	
row_8	BTG2	NA	593	0.9896204471588135	0.10067042	No	
row_9	MALAT1	NA	705	0.9190828204154968	0.103753425	No	
row_10	ARL4D	NA	776	0.8876767158508301	0.10852974	No	
row_11	ID4	NA	819	0.8653111457824707	0.11445402	No	
row_12	TPM1	NA	858	0.849199652671814	0.12042356	No	
row_13	H2BC12	NA	969	0.81245356798172	0.12257469	No	
row_14	H2AC17	NA	1032	0.7921996712684631	0.12686004	No	
row_15	TOB2	NA	1146	0.7531948089599609	0.12832138	No	
row_16	H3C10	NA	1252	0.7166109085083008	0.12983315	No	
row_17	GDNF	NA	1347	0.6916736364364624	0.13164744	No	
row_18	FTH1	NA	1411	0.6705742478370667	0.13476637	No	
row_19	CIRBP	NA	1436	0.6643092036247253	0.13971303	No	
row_20	H4C3	NA	1487	0.655718207359314	0.14332382	No	
row_21	TSPAN4	NA	1649	0.6209658980369568	0.14124921	No	
row_22	SRSF3	NA	1686	0.6136530637741089	0.1451501	No	
row_23	TOB1-AS1	NA	1729	0.6034287810325623	0.14866695	No	
row_24	ZFAS1	NA	1847	0.580303430557251	0.14834556	No	
row_25	EMP1	NA	1961	0.5622641444206238	0.14805172	No	
row_26	STMN1	NA	2066	0.5469778776168823	0.14805242	No	
row_27	GAS5	NA	2117	0.5393838286399841	0.15059379	No	
row_28	RSRP1	NA	2251	0.5253043174743652	0.14899334	No	
row_29	PXN-AS1	NA	2371	0.5084577202796936	0.14791481	No	
row_30	MPHOSPH9	NA	2406	0.5040677785873413	0.15090498	No	
row_31	ID2	NA	2668	0.46933671832084656	0.14260228	No	
row_32	THBS1	NA	2697	0.46625465154647827	0.1455349	No	
row_33	CD44	NA	2698	0.46570128202438354	0.149816	No	
row_34	H4C8	NA	2727	0.4627716541290283	0.1527166	No	
row_35	LMNA	NA	2749	0.4613870084285736	0.15594287	No	
row_36	H2BC4	NA	2757	0.46026140451431274	0.15983558	No	
row_37	VASN	NA	2890	0.4454553723335266	0.15754943	No	
row_38	H2AC13	NA	2922	0.4431634545326233	0.16012475	No	
row_39	SNHG32	NA	3055	0.43185099959373474	0.15771355	No	
row_40	H2AC7	NA	3197	0.41610437631607056	0.15472251	No	
row_41	ANLN	NA	3250	0.40994054079055786	0.15597723	No	
row_42	H1-2	NA	3271	0.4079889953136444	0.15876096	No	
row_43	PAF1	NA	3435	0.39043936133384705	0.15447047	No	
row_44	RHOB	NA	3445	0.3897518813610077	0.15761831	No	
row_45	LINC01136	NA	3579	0.37643957138061523	0.15464939	No	
row_46	DYNC1H1	NA	3792	0.36259251832962036	0.14773415	No	
row_47	SERPINE1	NA	3894	0.35342898964881897	0.14610063	No	
row_48	CCNL1	NA	3940	0.348136305809021	0.1471256	No	
row_49	CEP95	NA	3956	0.3455866277217865	0.14957738	No	
row_50	FSCN1	NA	3976	0.3437052071094513	0.1518185	No	
row_51	RPS27	NA	4015	0.34115126729011536	0.15311764	No	
row_52	BRD2	NA	4087	0.3355076014995575	0.15276964	No	
row_53	CALM2	NA	4100	0.3344833254814148	0.15526438	No	
row_54	SNHG5	NA	4111	0.33339938521385193	0.15784582	No	
row_55	AFF1	NA	4214	0.3257370889186859	0.1559094	No	
row_56	IER3	NA	4474	0.3069759011268616	0.14621082	No	
row_57	ZBTB37	NA	4622	0.29595422744750977	0.14182521	No	
row_58	INTS6-AS1	NA	4709	0.29052892327308655	0.1403386	No	
row_59	SNORA78	NA	4721	0.2898652255535126	0.1424715	No	
row_60	H2BC21	NA	4960	0.2719769775867462	0.13346638	No	
row_61	NFKBIZ	NA	4983	0.2711033821105957	0.13489506	No	
