NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H2BC5	NA	573	1.0009063482284546	0.040959958	No	
row_1	AGBL5	NA	1139	0.7562392354011536	0.06559235	No	
row_2	TMX4	NA	3113	0.4237733781337738	1.9169271E-4	No	
row_3	CALM2	NA	4100	0.3344833254814148	-0.024111712	No	
row_4	DPY19L4	NA	4117	0.3330758213996887	-0.0021286136	No	
row_5	PCBP1-AS1	NA	5462	0.24611236155033112	-0.049586054	No	
row_6	MED23	NA	6706	0.18370644748210907	-0.096476115	No	
row_7	MZT2A	NA	6968	0.17322072386741638	-0.09712589	No	
row_8	TRIM47	NA	7886	0.13842666149139404	-0.13152005	No	
row_9	RALY	NA	8830	0.1066889613866806	-0.16932505	No	
row_10	IDUA	NA	9546	0.08605887740850449	-0.19763672	No	
row_11	MLEC	NA	9565	0.08524574339389801	-0.19267538	No	
row_12	NUDCD3	NA	11172	0.04192010685801506	-0.2666067	No	
row_13	MAZ	NA	11390	0.03612007200717926	-0.2745161	No	
row_14	MARK4	NA	11712	0.029107358306646347	-0.28787744	No	
row_15	METTL26	NA	12761	0.008646940812468529	-0.33739924	No	
row_16	SNAI1	NA	12872	0.006209091283380985	-0.3422351	No	
row_17	GEMIN7	NA	14411	-0.02498258277773857	-0.41407162	No	
row_18	CPPED1	NA	14489	-0.02701796032488346	-0.41590828	No	
row_19	DGKQ	NA	14914	-0.03800302743911743	-0.43358725	No	
row_20	KCTD5	NA	16147	-0.0882292315363884	-0.48647216	No	
row_21	ENPP3	NA	17008	-0.13220399618148804	-0.5185657	No	
row_22	KMT5B	NA	17454	-0.16582314670085907	-0.5285191	No	
row_23	ILF2	NA	18774	-0.3134654462337494	-0.5701811	Yes	
row_24	PRRC2A	NA	18914	-0.3389359414577484	-0.5536792	Yes	
row_25	CCDC97	NA	18985	-0.35527631640434265	-0.53276205	Yes	
row_26	MCRIP2	NA	18990	-0.3564393222332001	-0.5086095	Yes	
row_27	NOP58	NA	19106	-0.375379353761673	-0.48847106	Yes	
row_28	ZNF839	NA	19161	-0.38918688893318176	-0.46447277	Yes	
row_29	CHMP6	NA	19981	-0.6474606394767761	-0.4594152	Yes	
row_30	ARHGDIA	NA	20311	-0.8633236289024353	-0.4161844	Yes	
row_31	DHRS2	NA	20419	-0.9576926827430725	-0.35589302	Yes	
row_32	COX20	NA	20536	-1.0853610038757324	-0.2873126	Yes	
row_33	PCBP1	NA	20663	-1.2676571607589722	-0.20676003	Yes	
row_34	IPO4	NA	20941	-3.2254912853240967	2.8689837E-4	Yes	
