NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSF5	NA	1115	0.7617381811141968	-0.005365427	No	
row_1	SNX16	NA	1177	0.7410621047019958	0.038376246	No	
row_2	C7orf26	NA	2469	0.4951763451099396	0.007810009	No	
row_3	TLN1	NA	2476	0.4949931502342224	0.03868903	No	
row_4	CROCCP2	NA	2837	0.45112180709838867	0.04987529	No	
row_5	HSPB9	NA	3635	0.3721206784248352	0.035187356	No	
row_6	FSCN1	NA	3976	0.3437052071094513	0.040566936	No	
row_7	EEF1D	NA	4113	0.33314669132232666	0.05503829	No	
row_8	H2BC21	NA	4960	0.2719769775867462	0.031701576	No	
row_9	ZNF853	NA	5676	0.23356123268604279	0.012211359	No	
row_10	MCPH1-AS1	NA	5826	0.22491784393787384	0.019246615	No	
row_11	BOLA1	NA	6528	0.19056107103824615	-0.0022814274	No	
row_12	EEF1A1	NA	6728	0.1829979121685028	-2.768651E-4	No	
row_13	EHMT2	NA	7046	0.17028556764125824	-0.004716207	No	
row_14	VEZF1	NA	7130	0.16727302968502045	0.001846129	No	
row_15	RAPGEF1	NA	8760	0.10928899049758911	-0.06918181	No	
row_16	STK38L	NA	9325	0.09276476502418518	-0.09031514	No	
row_17	SUGCT	NA	9848	0.07742941379547119	-0.11040532	No	
row_18	MPLKIP	NA	10748	0.05251281335949898	-0.15009482	No	
row_19	GNG4	NA	12907	0.004882611334323883	-0.25299656	No	
row_20	LRATD2	NA	13433	-0.004320373293012381	-0.27783334	No	
row_21	CDT1	NA	13629	-0.009073066525161266	-0.2865882	No	
row_22	TERF2	NA	14064	-0.018122229725122452	-0.30620378	No	
row_23	CBX8	NA	15669	-0.06624645739793777	-0.37874612	No	
row_24	DCAF4	NA	16891	-0.1249341368675232	-0.42927587	No	
row_25	DHX58	NA	17369	-0.15987911820411682	-0.44202265	No	
row_26	LRWD1	NA	17772	-0.19299401342868805	-0.44909745	No	
row_27	PYCARD	NA	17949	-0.20944102108478546	-0.44432795	No	
row_28	HCFC1R1	NA	18059	-0.22197391092777252	-0.435565	No	
row_29	GRK1	NA	18532	-0.276455283164978	-0.44073272	No	
row_30	RADIL	NA	19629	-0.5105379223823547	-0.46100563	Yes	
row_31	RFWD3	NA	19886	-0.6105612516403198	-0.43480673	Yes	
row_32	PDPR	NA	20048	-0.6869496703147888	-0.39925474	Yes	
row_33	ORC3	NA	20094	-0.7055637836456299	-0.35698292	Yes	
row_34	DHRS2	NA	20419	-0.9576926827430725	-0.31217995	Yes	
row_35	SLC35B2	NA	20429	-0.9676311612129211	-0.25168598	Yes	
row_36	THOC6	NA	20619	-1.192467212677002	-0.1856445	Yes	
row_37	SLC2A14	NA	20800	-1.586503028869629	-0.09436314	Yes	
row_38	KAT2A	NA	20810	-1.6096222400665283	0.006552162	Yes	
