NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RAB30	NA	15	2.4006335735321045	0.02471611	No	
row_1	CDKN2C	NA	56	1.977888822555542	0.04374419	No	
row_2	ATF7IP	NA	245	1.32357656955719	0.04868701	No	
row_3	RORC	NA	311	1.2326512336730957	0.05860942	No	
row_4	FXYD2	NA	416	1.1277799606323242	0.06553602	No	
row_5	HOXC11	NA	466	1.0822155475616455	0.07463727	No	
row_6	TAF6L	NA	682	0.9272356629371643	0.074075244	No	
row_7	STX6	NA	1230	0.723028838634491	0.055307366	No	
row_8	ATF1	NA	1325	0.6989538073539734	0.05817264	No	
row_9	AGMAT	NA	1566	0.640281081199646	0.05336162	No	
row_10	KAT5	NA	1581	0.6364625692367554	0.05943012	No	
row_11	TSPAN4	NA	1649	0.6209658980369568	0.06277351	No	
row_12	PAX6	NA	1668	0.617353618144989	0.06844623	No	
row_13	CEP57	NA	1719	0.6063653230667114	0.0724563	No	
row_14	UBR4	NA	1748	0.59947270154953	0.07745634	No	
row_15	ZBTB8OS	NA	1781	0.5923147201538086	0.08218724	No	
row_16	CACUL1	NA	1846	0.5803340077400208	0.08524499	No	
row_17	ADAM12	NA	1883	0.5742204189300537	0.08959087	No	
row_18	TXNDC12	NA	1926	0.5690255165100098	0.09359178	No	
row_19	POU3F1	NA	2013	0.5539429783821106	0.095306836	No	
row_20	STMN1	NA	2066	0.5469778776168823	0.09859092	No	
row_21	ARHGAP20	NA	2098	0.5426668524742126	0.10284399	No	
row_22	CBX5	NA	2137	0.5380070209503174	0.10670946	No	
row_23	TDRD1	NA	2204	0.5313482284545898	0.10915144	No	
row_24	BLOC1S1	NA	2217	0.5292988419532776	0.1141809	No	
row_25	CTBP2	NA	2450	0.4986359179019928	0.108255334	No	
row_26	NMNAT2	NA	2527	0.48789647221565247	0.109753646	No	
row_27	ILK	NA	2674	0.46909311413764954	0.10767039	No	
row_28	BDNF	NA	2714	0.46461188793182373	0.11070973	No	
row_29	PSEN2	NA	2764	0.4598064720630646	0.113214955	No	
