NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H2AC6	NA	8	2.5581984519958496	0.021371244	Yes	
row_1	TRPS1	NA	63	1.9218424558639526	0.035095725	Yes	
row_2	JUND	NA	81	1.8128935098648071	0.049690403	Yes	
row_3	ALDH1A2	NA	157	1.523078203201294	0.059003174	Yes	
row_4	CADM1	NA	187	1.4315149784088135	0.06977111	Yes	
row_5	SORBS1	NA	230	1.3473416566848755	0.07919173	Yes	
row_6	LINC00470	NA	233	1.3454523086547852	0.09053887	Yes	
row_7	ATF7IP	NA	245	1.32357656955719	0.10126286	Yes	
row_8	UBE2S	NA	303	1.2392425537109375	0.10903552	Yes	
row_9	NRXN3	NA	320	1.2162904739379883	0.11860412	Yes	
row_10	DLGAP4	NA	338	1.1996091604232788	0.12798227	Yes	
row_11	NR4A3	NA	373	1.1700519323349	0.1362834	Yes	
row_12	SEPTIN9	NA	430	1.1160049438476562	0.14305638	Yes	
row_13	TSPAN13	NA	453	1.0956884622573853	0.15130776	Yes	
row_14	HOXC11	NA	466	1.0822155475616455	0.1599302	Yes	
row_15	DNAH5	NA	469	1.0812674760818481	0.1690302	Yes	
row_16	NEIL3	NA	529	1.0260794162750244	0.1748926	Yes	
row_17	ITGB3BP	NA	599	0.986441433429718	0.17993219	Yes	
row_18	TCF4	NA	602	0.9858626127243042	0.1882207	Yes	
row_19	ADORA2A	NA	624	0.9636551141738892	0.19539759	Yes	
row_20	HIVEP3	NA	688	0.924170732498169	0.20019889	Yes	
row_21	PTEN	NA	734	0.9070835709571838	0.20572904	Yes	
row_22	ARHGEF12	NA	762	0.8933836817741394	0.2120168	Yes	
row_23	SCOC	NA	766	0.8914490342140198	0.21945368	Yes	
row_24	NUDT6	NA	795	0.8764365911483765	0.22554874	Yes	
row_25	BCOR	NA	824	0.8644152283668518	0.23154154	Yes	
row_26	CADM2	NA	826	0.8644152283668518	0.2388456	Yes	
row_27	ING1	NA	837	0.8604323863983154	0.24567871	Yes	
row_28	SH3GL3	NA	851	0.8516544699668884	0.25229144	Yes	
row_29	EPHB3	NA	873	0.8461151123046875	0.25846854	Yes	
row_30	HDAC9	NA	953	0.8167749047279358	0.2615793	Yes	
row_31	H2BC12	NA	969	0.81245356798172	0.2677615	Yes	
row_32	ERG	NA	976	0.8095333576202393	0.2743559	Yes	
row_33	FZD4	NA	986	0.8052225708961487	0.28076795	Yes	
row_34	LYRM1	NA	995	0.8031492829322815	0.28721094	Yes	
row_35	RRAS	NA	1004	0.8004463911056519	0.29363093	Yes	
row_36	LIPG	NA	1006	0.8004463911056519	0.30039087	Yes	
row_37	PIWIL4	NA	1105	0.764616072177887	0.30213526	Yes	
row_38	LRCH4	NA	1211	0.7291589379310608	0.3032381	Yes	
row_39	SERTAD4	NA	1293	0.7064489722251892	0.30531332	Yes	
row_40	MSI2	NA	1346	0.6929035782814026	0.3086817	Yes	
row_41	GDNF	NA	1347	0.6916736364364624	0.314565	Yes	
row_42	CACNG2	NA	1396	0.6752493977546692	0.3179775	Yes	
row_43	DUSP10	NA	1427	0.6664972305297852	0.3221897	Yes	
row_44	PRICKLE2	NA	1434	0.6643758416175842	0.32754943	Yes	
row_45	CCDC122	NA	1464	0.6594956517219543	0.33175063	Yes	
row_46	MID1	NA	1638	0.6240750551223755	0.3286572	Yes	
row_47	PAX6	NA	1668	0.617353618144989	0.33249998	Yes	
row_48	ETV1	NA	1721	0.6057826280593872	0.33512732	Yes	
row_49	NOS1	NA	1772	0.5939348340034485	0.33775103	Yes	
row_50	DNAH7	NA	1833	0.582849383354187	0.33979478	Yes	
row_51	CSRNP3	NA	1835	0.5827060341835022	0.34470266	Yes	
row_52	GPR85	NA	1898	0.5718814730644226	0.346556	Yes	
row_53	REL	NA	1981	0.5585223436355591	0.3473244	Yes	
row_54	WNT6	NA	2014	0.5535978078842163	0.3504792	Yes	
row_55	PDZD2	NA	2022	0.5529278516769409	0.35484236	Yes	
row_56	KANSL1L	NA	2036	0.5513345003128052	0.3589006	Yes	
row_57	BCORP1	NA	2053	0.5491023063659668	0.3627942	Yes	
row_58	STMN1	NA	2066	0.5469778776168823	0.36686394	Yes	
row_59	DCN	NA	2068	0.5462490916252136	0.37146172	Yes	
row_60	CBFA2T2	NA	2090	0.5432528853416443	0.3750627	Yes	
row_61	MAF	NA	2201	0.5314735174179077	0.37424123	Yes	
row_62	LDB2	NA	2227	0.5281857252120972	0.3775198	Yes	
row_63	FOXP1	NA	2232	0.5274089574813843	0.38181162	Yes	
row_64	SLC10A2	NA	2356	0.5103663802146912	0.38017926	Yes	
row_65	RXFP1	NA	2362	0.5093569755554199	0.38426897	Yes	
row_66	HNF1B	NA	2471	0.4951530992984772	0.38323566	Yes	
row_67	HOXA3	NA	2509	0.49070683121681213	0.38561267	Yes	
row_68	PDZK1IP1	NA	2637	0.47356095910072327	0.38347298	Yes	
row_69	ID2	NA	2668	0.46933671832084656	0.38600817	Yes	
row_70	MCC	NA	2669	0.46933671832084656	0.39000028	Yes	
row_71	MAP1B	NA	2699	0.46568557620048523	0.39255297	Yes	
row_72	C12orf57	NA	2730	0.4627505838871002	0.39503214	Yes	
row_73	SCAF4	NA	2740	0.4619157314300537	0.39852408	Yes	
row_74	H2BC4	NA	2757	0.46026140451431274	0.40166196	Yes	
row_75	CRISP1	NA	2778	0.45754578709602356	0.4045825	Yes	
