NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NEAT1	NA	186	1.4328069686889648	0.07373161	No	
row_1	CNBD2	NA	747	0.9002932906150818	0.098869145	No	
row_2	CXXC5	NA	1066	0.7783170938491821	0.12854546	No	
row_3	INTS12	NA	1918	0.5703056454658508	0.12073731	No	
row_4	SMG7	NA	2826	0.45204615592956543	0.103431396	No	
row_5	BEAN1	NA	4763	0.28750208020210266	0.027428087	No	
row_6	MAN1C1	NA	5304	0.25366702675819397	0.01623271	No	
row_7	GSTCD	NA	6201	0.2068183422088623	-0.014688845	No	
row_8	NCOR2	NA	6342	0.19949322938919067	-0.009879602	No	
row_9	ZDHHC2	NA	6380	0.19786080718040466	-2.3885982E-4	No	
row_10	MMP25	NA	6927	0.17427267134189606	-0.016299643	No	
row_11	MTFR1	NA	7352	0.15835918486118317	-0.027443867	No	
row_12	LRRC59	NA	7460	0.15431392192840576	-0.023661887	No	
row_13	SCAND1	NA	8340	0.12139818072319031	-0.058696445	No	
row_14	TM7SF2	NA	8436	0.11822886019945145	-0.05642154	No	
row_15	MAPT	NA	8472	0.11722340434789658	-0.051335316	No	
row_16	ADGRG1	NA	10941	0.04711400344967842	-0.16664237	No	
row_17	STMN3	NA	11486	0.03423621505498886	-0.19068307	No	
row_18	SMG7-AS1	NA	12154	0.02107209526002407	-0.22136497	No	
row_19	NIBAN3	NA	13039	0.0025662966072559357	-0.2634914	No	
row_20	ZNF579	NA	13436	-0.004382716026157141	-0.28217605	No	
row_21	CCN1	NA	14097	-0.01870545744895935	-0.31265968	No	
row_22	SEC14L5	NA	14189	-0.02113294042646885	-0.31579277	No	
row_23	RTEL1	NA	15221	-0.04865454509854317	-0.3622912	No	
row_24	SH2D5	NA	16350	-0.09697756171226501	-0.4106416	No	
row_25	JSRP1	NA	18346	-0.2537344694137573	-0.4914137	Yes	
row_26	ERCC1	NA	18634	-0.29417771100997925	-0.48817402	Yes	
row_27	TMEM94	NA	18845	-0.32868435978889465	-0.47926217	Yes	
row_28	SLC16A6	NA	19474	-0.46705693006515503	-0.48236018	Yes	
row_29	ZKSCAN2	NA	19630	-0.5110965967178345	-0.46029887	Yes	
row_30	STAT6	NA	19875	-0.6063653230667114	-0.43699977	Yes	
row_31	CASC3	NA	20057	-0.6903969049453735	-0.40584204	Yes	
row_32	AP1M1	NA	20071	-0.694232165813446	-0.36642906	Yes	
row_33	SH2B3	NA	20328	-0.8764365911483765	-0.32812947	Yes	
row_34	ARSG	NA	20484	-1.0284748077392578	-0.2762322	Yes	
row_35	CNN2	NA	20626	-1.2091302871704102	-0.21324752	Yes	
row_36	DTX1	NA	20945	-3.9632411003112793	9.553669E-5	Yes	
