NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GSI-NOTCH_DOWN_ONLY	GSI-NOTCH_DOWN_ONLY	Details ...	41	-0.83865976	-2.5585482	0.0	0.0	0.0	1698	tags=56%, list=8%, signal=61%	
NOTCH_TARGETS_GSI	NOTCH_TARGETS_GSI	Details ...	54	-0.71966803	-2.3310463	0.0	0.0	0.0	2203	tags=46%, list=11%, signal=52%	
GSI-NOTCH	GSI-NOTCH	Details ...	48	-0.72870064	-2.2863855	0.0	0.0	0.0	1517	tags=46%, list=7%, signal=49%	
FOXR2_TARGET_GENES	FOXR2_TARGET_GENES	Details ...	196	-0.5297991	-2.0711973	0.0	0.0	0.0	1897	tags=22%, list=9%, signal=24%	
RUVBL2_TARGET_GENES	RUVBL2_TARGET_GENES	Details ...	35	-0.59158987	-1.752196	0.0058479533	0.027859772	0.11	2175	tags=34%, list=10%, signal=38%	
EPC1_TARGET_GENES	EPC1_TARGET_GENES	Details ...	209	-0.44000202	-1.7324038	0.0	0.030300768	0.141	2334	tags=28%, list=11%, signal=31%	
MYC_Q2	MYC_Q2	Details ...	185	-0.43576428	-1.7061119	0.0	0.03508353	0.187	2577	tags=24%, list=12%, signal=27%	
GKCGCNNNNNNNTGAYG_UNKNOWN	GKCGCNNNNNNNTGAYG_UNKNOWN	Details ...	60	-0.5020296	-1.6528418	0.012820513	0.052887153	0.303	1519	tags=23%, list=7%, signal=25%	
PPARGC1A_TARGET_GENES	PPARGC1A_TARGET_GENES	Details ...	92	-0.47145718	-1.6429387	0.0	0.05461414	0.346	2495	tags=32%, list=12%, signal=36%	
ZNF23_TARGET_GENES	ZNF23_TARGET_GENES	Details ...	15	-0.6489612	-1.5638431	0.02770083	0.106157266	0.586	3249	tags=40%, list=16%, signal=47%	
ZNF239_TARGET_GENES	ZNF239_TARGET_GENES	Details ...	37	-0.5092942	-1.5282655	0.0147929	0.1341527	0.706	1475	tags=24%, list=7%, signal=26%	
KTGGYRSGAA_UNKNOWN	KTGGYRSGAA_UNKNOWN	Details ...	75	-0.443604	-1.5149332	0.010830325	0.13862766	0.741	2728	tags=24%, list=13%, signal=27%	
NCOA2_TARGET_GENES	NCOA2_TARGET_GENES	Details ...	433	-0.3590893	-1.4978215	0.0	0.15154414	0.797	2461	tags=21%, list=12%, signal=24%	
USF2_Q6	USF2_Q6	Details ...	252	-0.36974695	-1.4905316	0.0	0.14901556	0.816	2676	tags=22%, list=13%, signal=25%	
NMYC_01	NMYC_01	Details ...	276	-0.36445224	-1.4749703	0.0	0.1570475	0.848	2124	tags=17%, list=10%, signal=19%	
SQSTM1_TARGET_GENES	SQSTM1_TARGET_GENES	Details ...	39	-0.49315032	-1.474062	0.034285713	0.14826342	0.852	1320	tags=23%, list=6%, signal=25%	
PAX5_02	PAX5_02	Details ...	17	-0.5869362	-1.4656382	0.07967033	0.14931211	0.869	1066	tags=18%, list=5%, signal=19%	
PSMB5_TARGET_GENES	PSMB5_TARGET_GENES	Details ...	262	-0.36885005	-1.4624573	0.0	0.14422883	0.873	1913	tags=18%, list=9%, signal=19%	
MYCMAX_01	MYCMAX_01	Details ...	255	-0.36000133	-1.4570855	0.0	0.14284156	0.885	2752	tags=20%, list=13%, signal=23%	
CTCNANGTGNY_UNKNOWN	CTCNANGTGNY_UNKNOWN	Details ...	90	-0.41166374	-1.4414895	0.01459854	0.15360221	0.903	1778	tags=13%, list=8%, signal=15%	
STAT3_01	STAT3_01		22	-0.53482676	-1.4239115	0.07865169	0.16990572	0.936	1149	tags=18%, list=5%, signal=19%	
CDH4_TARGET_GENES	CDH4_TARGET_GENES		63	-0.44024503	-1.4204347	0.035256412	0.16720343	0.941	1518	tags=22%, list=7%, signal=24%	
ZNF404_TARGET_GENES	ZNF404_TARGET_GENES		19	-0.5425967	-1.4102328	0.06879607	0.17353535	0.955	3696	tags=47%, list=18%, signal=57%	
MAML1_TARGET_GENES	MAML1_TARGET_GENES		254	-0.3510382	-1.4086267	0.0	0.16857444	0.956	2477	tags=20%, list=12%, signal=23%	
ZNF165_TARGET_GENES	ZNF165_TARGET_GENES		76	-0.40733153	-1.3944912	0.02877698	0.18076934	0.977	1424	tags=17%, list=7%, signal=18%	
FOXD3_TARGET_GENES	FOXD3_TARGET_GENES		33	-0.46698776	-1.3876897	0.04863222	0.18300909	0.98	888	tags=12%, list=4%, signal=13%	
ZNF532_TARGET_GENES	ZNF532_TARGET_GENES		56	-0.42249757	-1.3698022	0.03846154	0.20287131	0.988	2516	tags=30%, list=12%, signal=34%	
PPARG_01	PPARG_01		47	-0.43352813	-1.3641092	0.06896552	0.20512454	0.991	1238	tags=17%, list=6%, signal=18%	
ZFP3_TARGET_GENES	ZFP3_TARGET_GENES		322	-0.32802945	-1.3622063	0.0058479533	0.20095679	0.993	2441	tags=19%, list=12%, signal=21%	
