NAME	TITLE	SCORE	
JUN	NA	5.975329	
NA	NA	2.996296	
LTB	NA	2.836686	
SPDYE1	NA	2.836686	
TNFAIP3	NA	2.8138702	
TOB1	NA	2.7996237	
LOC100505915	NA	2.739284	
CCDC152	NA	2.5811422	
H2AC6	NA	2.5581985	
C17orf67	NA	2.552005	
CENPA	NA	2.5188735	
CCNB1	NA	2.5125182	
PRDX2	NA	2.4953282	
IFI27L1	NA	2.4349241	
LOC101927166	NA	2.4095225	
RAB30	NA	2.4006336	
POLQ	NA	2.4000535	
TROAP	NA	2.3893318	
HMGCS1	NA	2.3814325	
ZNF365	NA	2.3344147	
DLX2	NA	2.3094072	
BIRC5	NA	2.2870257	
LINC00997	NA	2.265622	
TENT2	NA	2.255772	
ZNF585A	NA	2.251923	
SCGB3A1	NA	2.241501	
SLC38A9	NA	2.2373114	
ARL17A	NA	2.2373114	
SEPTIN7P13	NA	2.2373114	
FBXW12	NA	2.2163312	
TMSB15B	NA	2.2083237	
FBXO30-DT	NA	2.193533	
NLN	NA	2.1794882	
COA8	NA	2.1241882	
MIR4435-2HG	NA	2.1180985	
ANKRD28	NA	2.1114764	
CEP57L1	NA	2.1001914	
NEK2	NA	2.093433	
ZC3H7B	NA	2.0822268	
ADAM33	NA	2.0665069	
RGS5	NA	2.0581362	
OPTN	NA	2.0532646	
GUSBP14	NA	2.0532646	
ANKRD20A5P	NA	2.0483093	
IFT81	NA	2.044249	
SDCBP2-AS1	NA	2.0364828	
ARID2	NA	2.0220535	
PPP2R5C	NA	2.0183756	
HAUS2	NA	2.0174217	
CDK13	NA	2.0167766	
USP53	NA	2.0012624	
RFX2	NA	2.0012624	
ZNF460	NA	1.9963971	
ENPP2	NA	1.9833373	
DNTT	NA	1.9830221	
SMG1	NA	1.9830221	
CDKN2C	NA	1.9778888	
SRGAP2C	NA	1.9709177	
KIF23	NA	1.9621713	
TSHR	NA	1.9621713	
DSCAML1	NA	1.9504304	
PRR11	NA	1.9331235	
CCDC171	NA	1.9304941	
TRPS1	NA	1.9218425	
RECK	NA	1.9194058	
LOC90246	NA	1.9178448	
DDX59	NA	1.9153281	
FKSG49	NA	1.9093277	
NSL1	NA	1.8927243	
IMMP1L	NA	1.888416	
DPY19L2P2	NA	1.8833131	
LINC02405	NA	1.8748806	
ANKRD20A12P	NA	1.858277	
LOC101927268	NA	1.8380294	
PDE4C	NA	1.8350707	
NUF2	NA	1.8331825	
MON2	NA	1.8300343	
NUSAP1	NA	1.8236554	
MED30	NA	1.8236334	
INTS4	NA	1.8210795	
POLR1B	NA	1.8128935	
JUND	NA	1.8128935	
YPEL5	NA	1.8115802	
LOC100996740	NA	1.8115802	
UBXN2A	NA	1.8008726	
EVI2A	NA	1.7776917	
ZC2HC1A	NA	1.7759895	
TMEM125	NA	1.7740892	
LRIF1	NA	1.7608076	
NCK1-DT	NA	1.7573575	
TNFAIP8L1	NA	1.7522168	
KANSL1-AS1	NA	1.7506548	
CCNA2	NA	1.7476639	
LRRC17	NA	1.7435862	
CDKN3	NA	1.742333	
SPC24	NA	1.742333	
EFCAB14	NA	1.7390612	
MYO1C	NA	1.7271452	
RIOK3	NA	1.724218	
ZNF546	NA	1.7228106	
SLC35E1	NA	1.7160236	
CPEB4	NA	1.7133005	
ZNF232-AS1	NA	1.6964473	
ZNRD1ASP	NA	1.6926239	
MXD3	NA	1.6893296	
PGF	NA	1.6871747	
BUB1	NA	1.6871747	
CCNB2	NA	1.6838237	
LINC00266-1	NA	1.6824529	
FAM161B	NA	1.6747828	
TP53TG3	NA	1.6742163	
HMMR	NA	1.669536	
DEPDC1	NA	1.6649771	
DGKE	NA	1.6649771	
UNC5B	NA	1.6595266	
OSER1	NA	1.6569055	
RALGPS2	NA	1.6430384	
KNSTRN	NA	1.6422861	
GTPBP10	NA	1.6422861	
PBRM1	NA	1.6361687	
LGALS3	NA	1.6307427	
BLNK	NA	1.630585	
SLC4A4	NA	1.6298357	
LOC389834	NA	1.6178604	
PURA	NA	1.6178604	
LINC01004	NA	1.6178604	
CCDC34	NA	1.605128	
PSRC1	NA	1.6022274	
SLC25A16	NA	1.6002797	
LOC101928669	NA	1.6002797	
AZIN1	NA	1.6002797	
RASEF	NA	1.6000831	
ING2	NA	1.5995767	
CMC1	NA	1.5974649	
FGFR1	NA	1.5974649	
PAPOLG	NA	1.5922334	
SMURF1	NA	1.579933	
KRT10	NA	1.579933	
RDX	NA	1.5722203	
CENPW	NA	1.5701063	
ZNF626	NA	1.5691454	
PDE6D	NA	1.5651054	
TTK	NA	1.5547625	
NLRP1	NA	1.5547625	
HECW1	NA	1.5530231	
GTSE1	NA	1.550952	
HBEGF	NA	1.5503488	
GIHCG	NA	1.5429826	
RNASEH2B	NA	1.5412654	
XPO1	NA	1.5390422	
SPAG16	NA	1.5319848	
SGK3	NA	1.5319848	
EMC9	NA	1.5313865	
UBQLN4	NA	1.5293801	
BTG4	NA	1.5275544	
TMEM241	NA	1.5257039	
TIMM8A	NA	1.5233914	
ALDH1A2	NA	1.5230782	
FAM228B	NA	1.5134811	
TP53I13	NA	1.5132244	
NCAPH2	NA	1.5083596	
SH3GL1P2	NA	1.5083071	
DEPDC1B	NA	1.5069926	
CCNG2	NA	1.5006578	
NBEAL1	NA	1.4994439	
SMIM27	NA	1.4944545	
FRG1BP	NA	1.4874938	
ZSCAN16-AS1	NA	1.481242	
FAM131A	NA	1.4782132	
DTYMK	NA	1.4710324	
DSCAM-AS1	NA	1.4683819	
FRG1JP	NA	1.4671981	
SSTR2	NA	1.4631191	
IFNA10	NA	1.4609596	
KANSL1	NA	1.4609596	
IDI1	NA	1.4609596	
