NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TOB1	NA	5	2.799623727798462	0.03580112	No	
row_1	ENPP2	NA	53	1.9833372831344604	0.059069145	No	
row_2	CDKN2C	NA	56	1.977888822555542	0.08443592	No	
row_3	RIOK3	NA	98	1.7242180109024048	0.10465725	No	
row_4	CCNG2	NA	163	1.5006577968597412	0.12089195	No	
row_5	CMBL	NA	208	1.3785645961761475	0.13651878	No	
row_6	TANK	NA	211	1.372822642326355	0.15409598	No	
row_7	SORBS1	NA	230	1.3473416566848755	0.17057398	No	
row_8	PHYH	NA	253	1.312058448791504	0.18640497	No	
row_9	DBT	NA	496	1.0478723049163818	0.18823141	No	
row_10	NDUFA5	NA	501	1.0457016229629517	0.20150088	No	
row_11	OMD	NA	566	1.006691336631775	0.21137631	No	
row_12	FZD4	NA	986	0.8052225708961487	0.20154795	No	
row_13	COQ9	NA	1445	0.6638079881668091	0.18801934	No	
row_14	RAB34	NA	1477	0.6572916507720947	0.19498713	No	
row_15	IDH3A	NA	2269	0.5228259563446045	0.16359378	No	
row_16	MGST3	NA	2276	0.5218986868858337	0.17002349	No	
row_17	PPM1B	NA	2411	0.5029317736625671	0.17003973	No	
row_18	ATP5PO	NA	2470	0.4951530992984772	0.17361884	No	
row_19	DHRS7	NA	2475	0.4949931502342224	0.17979854	No	
row_20	QDPR	NA	2585	0.48034602403640747	0.18072896	No	
row_21	UQCR11	NA	2631	0.4748461842536926	0.1846732	No	
row_22	SSPN	NA	2946	0.44154274463653564	0.17522359	No	
row_23	PLIN2	NA	2998	0.4385017156600952	0.17841075	No	
row_24	MTARC2	NA	3013	0.43719154596328735	0.18336436	No	
row_25	CD36	NA	3057	0.4316295087337494	0.18684863	No	
row_26	RNF11	NA	3097	0.42567089200019836	0.19044898	No	
row_27	DRAM2	NA	3102	0.42504438757896423	0.19572817	No	
row_28	GPAT4	NA	3112	0.4239380359649658	0.20075214	No	
row_29	HADH	NA	3127	0.42242878675460815	0.20551568	No	
row_30	LIFR	NA	3219	0.4127848148345947	0.20644388	No	
row_31	IFNGR1	NA	3395	0.39587563276290894	0.20310579	No	
row_32	COX6A1	NA	3641	0.3716350197792053	0.19608182	No	
row_33	LPL	NA	3851	0.35713261365890503	0.19060625	No	
row_34	PHLDB1	NA	3950	0.3462587296962738	0.19034061	No	
row_35	MYLK	NA	4042	0.3385802209377289	0.1903135	No	
row_36	DNAJC15	NA	4144	0.3310929536819458	0.18970802	No	
row_37	GPHN	NA	4200	0.327457457780838	0.19127283	No	
row_38	BCL6	NA	4230	0.32445037364959717	0.19405204	No	
row_39	CMPK1	NA	4313	0.31729671359062195	0.1941847	No	
row_40	UQCRQ	NA	4366	0.3134654462337494	0.19571397	No	
row_41	ACADS	NA	4480	0.3061283826828003	0.19420873	No	
row_42	ESRRA	NA	4748	0.28799569606781006	0.18504764	No	
row_43	COX7B	NA	4775	0.2870714068412781	0.18749024	No	
row_44	BCL2L13	NA	4837	0.28173089027404785	0.18817718	No	
row_45	NDUFB7	NA	4982	0.271153062582016	0.18472755	No	
row_46	ITSN1	NA	5184	0.2597317099571228	0.17838363	No	
row_47	PTGER3	NA	5207	0.2578580975532532	0.18064293	No	
row_48	MGLL	NA	5371	0.24990500509738922	0.17600401	No	
row_49	CYP4B1	NA	5673	0.23385033011436462	0.16450715	No	
row_50	SULT1A1	NA	5816	0.22559618949890137	0.16056742	No	
row_51	LAMA4	NA	5999	0.21745029091835022	0.15459493	No	
row_52	PRDX3	NA	6395	0.19710426032543182	0.13809446	No	
row_53	PEX14	NA	6639	0.18638552725315094	0.12878199	No	
row_54	ARAF	NA	6696	0.1839156597852707	0.12845065	No	
row_55	ABCA1	NA	6777	0.1807793229818344	0.12692219	No	
row_56	CAVIN1	NA	6797	0.17981334030628204	0.12832135	No	
row_57	ME1	NA	6919	0.17469145357608795	0.12473842	No	
row_58	SAMM50	NA	6929	0.17422181367874146	0.12654756	No	
row_59	MRAP	NA	7158	0.16600657999515533	0.1176957	No	
row_60	COL15A1	NA	7164	0.16582384705543518	0.119589515	No	
row_61	PDCD4	NA	7264	0.16180060803890228	0.11690097	No	
row_62	SOWAHC	NA	7439	0.15492402017116547	0.110509105	No	
row_63	FABP4	NA	7455	0.15456938743591309	0.111776054	No	
row_64	APOE	NA	7679	0.1467902660369873	0.1029178	No	
row_65	APLP2	NA	7761	0.1431424617767334	0.10085661	No	
row_66	SCP2	NA	7763	0.142911896109581	0.10264824	No	
row_67	ACADL	NA	7828	0.14073613286018372	0.10137544	No	
row_68	UBC	NA	7968	0.13588622212409973	0.096425384	No	
row_69	COX8A	NA	8038	0.1332644373178482	0.094815396	No	
row_70	ACOX1	NA	8190	0.1273212879896164	0.08917671	No	
row_71	ECHS1	NA	8192	0.1272886097431183	0.09076721	No	
row_72	LIPE	NA	8282	0.12398557364940643	0.08807382	No	
row_73	CPT2	NA	8480	0.117034412920475	0.08008562	No	
row_74	SCARB1	NA	8857	0.10551269352436066	0.063321754	No	
row_75	ITIH5	NA	8874	0.10533415526151657	0.063906655	No	
row_76	DGAT1	NA	8923	0.10388769954442978	0.06293062	No	
row_77	SLC19A1	NA	9076	0.09938137233257294	0.056884043	No	
row_78	SUCLG1	NA	9581	0.08492086827754974	0.033685807	No	
row_79	GPAM	NA	9980	0.07358509302139282	0.015450563	No	
row_80	PIM3	NA	9991	0.07321438193321228	0.015911145	No	
row_81	SLC27A1	NA	10133	0.06927677989006042	0.010007172	No	
row_82	GPD2	NA	10300	0.06467323005199432	0.0028389983	No	
row_83	CRAT	NA	10343	0.06337644159793854	0.0016306094	No	
row_84	SLC66A3	NA	10351	0.0632004365324974	0.0021068642	No	
row_85	DNAJB9	NA	10487	0.05914514884352684	-0.0036383576	No	
row_86	RREB1	NA	10656	0.05503413826227188	-0.0110270195	No	
row_87	UCK1	NA	10732	0.05288977921009064	-0.013960927	No	
row_88	ATP1B3	NA	10925	0.04793991893529892	-0.022597658	No	
row_89	ARL4A	NA	11066	0.044096559286117554	-0.0287776	No	
row_90	ORM1	NA	11111	0.042911071330308914	-0.030345853	No	
row_91	ADIPOR2	NA	11142	0.04243949055671692	-0.031245412	No	
row_92	ADIPOQ	NA	11314	0.03831624612212181	-0.03899389	No	
row_93	UQCR10	NA	11698	0.02937634289264679	-0.057075314	No	
row_94	IDH1	NA	11743	0.028493696823716164	-0.058829173	No	
row_95	DHRS7B	NA	11903	0.025499379262328148	-0.066164285	No	
row_96	CAVIN2	NA	11923	0.025065792724490166	-0.06675734	No	
row_97	PREB	NA	11928	0.02493467554450035	-0.06662913	No	
row_98	PPARG	NA	12039	0.022826384752988815	-0.071636975	No	
row_99	CAT	NA	12429	0.015416520647704601	-0.0901873	No	
row_100	CYC1	NA	12452	0.015266021713614464	-0.09105111	No	
row_101	AIFM1	NA	12544	0.012851923704147339	-0.095271625	No	
row_102	BAZ2A	NA	12783	0.00827424880117178	-0.106636085	No	
row_103	HSPB8	NA	12929	0.004382716026157141	-0.11356829	No	
row_104	DHCR7	NA	12964	0.003875960363075137	-0.1151571	No	
row_105	SDHC	NA	13040	0.0025383708998560905	-0.118739225	No	
row_106	ANGPTL4	NA	13246	-0.001050878781825304	-0.12860617	No	
row_107	AGPAT3	NA	13478	-0.00554002495482564	-0.13966845	No	
row_108	GPX3	NA	13495	-0.006018377374857664	-0.14036213	No	
row_109	AK2	NA	13496	-0.006150316447019577	-0.14028294	No	
row_110	STOM	NA	13529	-0.006822237279266119	-0.14173745	No	
row_111	GPX4	NA	13624	-0.008901736699044704	-0.14615339	No	
row_112	C3	NA	13631	-0.009125073440372944	-0.14632511	No	
row_113	RMDN3	NA	13670	-0.009969539009034634	-0.14802825	No	
row_114	SPARCL1	NA	13872	-0.014138258993625641	-0.15753393	No	
row_115	ALDH2	NA	13909	-0.014907173812389374	-0.15907712	No	
row_116	ATL2	NA	13985	-0.016548916697502136	-0.16247888	No	
row_117	ETFB	NA	13994	-0.01668379455804825	-0.16264968	No	
row_118	CIDEA	NA	14022	-0.01727043278515339	-0.16372867	No	
row_119	SNCG	NA	14051	-0.0179205983877182	-0.16484748	No	
row_120	ADIG	NA	14457	-0.02630859613418579	-0.18402874	No	
row_121	ECH1	NA	14643	-0.030286505818367004	-0.19255535	No	
row_122	COQ5	NA	14679	-0.030897948890924454	-0.1938445	No	
row_123	SDHB	NA	14847	-0.03513529151678085	-0.20144112	No	
row_124	ADCY6	NA	14933	-0.03860020264983177	-0.20504098	No	
row_125	HIBCH	NA	14936	-0.038693904876708984	-0.20463923	No	
row_126	ELOVL6	NA	14952	-0.0394333153963089	-0.20485453	No	
row_127	ANGPT1	NA	15504	-0.05813633278012276	-0.23066287	No	
row_128	MAP4K3	NA	15510	-0.05823036655783653	-0.2301542	No	
row_129	GADD45A	NA	15732	-0.06856564432382584	-0.23992312	No	
row_130	NMT1	NA	15867	-0.07568518817424774	-0.24540721	No	
row_131	ELMOD3	NA	15934	-0.07906600087881088	-0.24757035	No	
row_132	ITGA7	NA	16069	-0.08406119048595428	-0.25294662	No	
row_133	SOD1	NA	16377	-0.09844214469194412	-0.2664759	No	
row_134	LEP	NA	16464	-0.10198326408863068	-0.26930794	No	
row_135	PTCD3	NA	16497	-0.10417142510414124	-0.26950917	No	
row_136	IDH3G	NA	16642	-0.11148376762866974	-0.27501434	No	
row_137	ACAA2	NA	16643	-0.11158088594675064	-0.27357787	No	
row_138	MIGA2	NA	16657	-0.11240951716899872	-0.2727573	No	
row_139	COL4A1	NA	16853	-0.12252236902713776	-0.28057843	No	
row_140	CD302	NA	16943	-0.12806303799152374	-0.28321934	No	
row_141	EPHX2	NA	16995	-0.13144207000732422	-0.28398523	No	
row_142	CD151	NA	17088	-0.13792011141777039	-0.28664383	No	
row_143	NDUFS3	NA	17131	-0.140594482421875	-0.2868581	No	
row_144	POR	NA	17343	-0.15821802616119385	-0.2949909	No	
row_145	ABCB8	NA	17347	-0.15835918486118317	-0.29309678	No	
row_146	SLC25A1	NA	17402	-0.1626282036304474	-0.29360577	No	
row_147	MDH2	NA	17414	-0.1633063405752182	-0.29203355	No	
row_148	TST	NA	17812	-0.19786080718040466	-0.3086207	Yes	
row_149	GHITM	NA	17821	-0.19874604046344757	-0.30644763	Yes	
row_150	RETSAT	NA	17825	-0.1990870088338852	-0.3040292	Yes	
row_151	LTC4S	NA	17888	-0.20403556525707245	-0.3043907	Yes	
