NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LTB	NA	2	2.8366858959198	0.04091372	No	
row_1	EGFR	NA	683	0.9272356629371643	0.021544572	No	
row_2	FYB1	NA	741	0.9054613709449768	0.03188762	No	
row_3	FAS	NA	821	0.8652697205543518	0.040589273	No	
row_4	HDAC9	NA	953	0.8167749047279358	0.04608357	No	
row_5	ACHE	NA	959	0.8151254653930664	0.057626892	No	
row_6	CD40	NA	996	0.8031492829322815	0.06750296	No	
row_7	EIF4G3	NA	1036	0.7896730899810791	0.07703961	No	
row_8	BCL10	NA	1309	0.7021129727363586	0.07408039	No	
row_9	CCR1	NA	1541	0.6453567147254944	0.07227674	No	
row_10	EREG	NA	1887	0.5737455487251282	0.063943304	No	
row_11	SRGN	NA	1923	0.5696325302124023	0.0704916	No	
row_12	CD47	NA	1935	0.5675922632217407	0.07816714	No	
row_13	CCR5	NA	2122	0.5393111109733582	0.07699927	No	
row_14	ACVR2A	NA	2444	0.49947255849838257	0.0687488	No	
row_15	FASLG	NA	2460	0.4960028827190399	0.07519658	No	
row_16	CD8B	NA	2504	0.49131110310554504	0.080226995	No	
row_17	NCK1	NA	2796	0.4550749957561493	0.072780594	No	
row_18	JAK2	NA	3044	0.4332467317581177	0.0671393	No	
row_19	MBL2	NA	3144	0.42158448696136475	0.068462625	No	
row_20	DYRK3	NA	3199	0.41606882214546204	0.071875095	No	
row_21	B2M	NA	3208	0.414569228887558	0.07748296	No	
row_22	CCL4	NA	3232	0.41171711683273315	0.082326636	No	
row_23	IFNGR1	NA	3395	0.39587563276290894	0.08024185	No	
row_24	TRAT1	NA	3601	0.37485355138778687	0.07578066	No	
row_25	SPI1	NA	3664	0.3708290457725525	0.07815351	No	
row_26	IFNG	NA	3695	0.3687831461429596	0.08203911	No	
row_27	BCL3	NA	3990	0.34280911087989807	0.072825074	No	
row_28	CD86	NA	4056	0.33769553899765015	0.07457433	No	
row_29	HLA-E	NA	4081	0.33591586351394653	0.078273945	No	
row_30	STAT1	NA	4193	0.3278939127922058	0.077664405	No	
row_31	ABI1	NA	4215	0.32569435238838196	0.08136084	No	
row_32	IL12A	NA	4256	0.3224388659000397	0.084094465	No	
row_33	PTPRC	NA	4444	0.3084835708141327	0.07954131	No	
row_34	IFNAR2	NA	4482	0.3059012293815613	0.08218043	No	
row_35	FCGR2B	NA	4578	0.2998354136943817	0.08193641	No	
row_36	RPL9	NA	4725	0.2896760106086731	0.07908745	No	
row_37	SOCS1	NA	4738	0.28830185532569885	0.08267708	No	
row_38	CXCL9	NA	4871	0.279132604598999	0.08035045	No	
row_39	RPS19	NA	5003	0.27052488923072815	0.07794759	No	
row_40	CCND3	NA	5066	0.2661720812320709	0.078807406	No	
row_41	HLA-DQA1	NA	5191	0.2591421604156494	0.07657736	No	
row_42	NCR1	NA	5236	0.2565024495124817	0.07816494	No	
row_43	CD8A	NA	5244	0.2557051479816437	0.081524305	No	
row_44	CCL13	NA	5360	0.2502620220184326	0.07959965	No	
row_45	IL1B	NA	5513	0.24219650030136108	0.075775094	No	
row_46	IL9	NA	5580	0.23901353776454926	0.07604949	No	
row_47	IL12RB1	NA	5691	0.2324981689453125	0.07410902	No	
row_48	GALNT1	NA	5965	0.21867530047893524	0.06411252	No	
row_49	STAB1	NA	5996	0.21756334602832794	0.065811925	No	
row_50	RIPK2	NA	6058	0.21415340900421143	0.06596791	No	
row_51	IRF4	NA	6156	0.20841321349143982	0.0643058	No	
row_52	CRTAM	NA	6246	0.20407050848007202	0.06296649	No	
row_53	RPL39	NA	6248	0.20395523309707642	0.06586688	No	
row_54	TAP1	NA	6390	0.19742383062839508	0.061925214	No	
row_55	LYN	NA	6682	0.18414776027202606	0.050561998	No	
row_56	ELANE	NA	6939	0.173816978931427	0.04073634	No	
row_57	CCND2	NA	7298	0.16048257052898407	0.02580177	No	
row_58	INHBA	NA	7444	0.15464869141578674	0.021048909	No	
row_59	CD74	NA	7491	0.15332186222076416	0.02104841	No	
row_60	CCL5	NA	7494	0.15326975286006927	0.023167843	No	
row_61	IL2RA	NA	7518	0.15207570791244507	0.02425787	No	
row_62	F2R	NA	7529	0.15202100574970245	0.02597367	No	
row_63	CCL19	NA	7541	0.15152467787265778	0.0276341	No	
row_64	CSF1	NA	7567	0.15056882798671722	0.028605945	No	
row_65	IL6	NA	7852	0.1399361491203308	0.016940944	No	
row_66	HLA-DOB	NA	8101	0.13101348280906677	0.0068820533	No	
row_67	CTSS	NA	8337	0.1217135488986969	-0.0026847208	No	
row_68	IL11	NA	8381	0.12011360377073288	-0.003020721	No	
row_69	RPS3A	NA	8408	0.1191067323088646	-0.0025519216	No	
row_70	RPS9	NA	9200	0.09643364697694778	-0.03928193	No	
row_71	PRKCB	NA	9205	0.09640301764011383	-0.038081016	No	
row_72	CCL2	NA	9656	0.08274253457784653	-0.05857364	No	
row_73	IL2	NA	9695	0.08142373710870743	-0.059227996	No	
row_74	NOS2	NA	9768	0.07904703915119171	-0.061555423	No	
row_75	CCL7	NA	9921	0.07521754503250122	-0.06779401	No	
row_76	GBP2	NA	9965	0.07399899512529373	-0.06879669	No	
row_77	IL7	NA	9968	0.07395658642053604	-0.06782389	No	
row_78	PRKCG	NA	10062	0.07111538201570511	-0.07127813	No	
row_79	CD3G	NA	10169	0.0683121308684349	-0.075399466	No	
row_80	NLRP3	NA	10297	0.06472615152597427	-0.08058479	No	
row_81	LCP2	NA	10304	0.06443435698747635	-0.07994244	No	
row_82	RPL3L	NA	10372	0.062208350747823715	-0.08227232	No	
row_83	IL12B	NA	10489	0.05914514884352684	-0.087008156	No	
row_84	UBE2N	NA	10900	0.04860355705022812	-0.10606643	No	
row_85	TGFB2	NA	10912	0.048331163823604584	-0.10589787	No	
row_86	KLRD1	NA	10933	0.04746491089463234	-0.106175624	No	
row_87	CD80	NA	11046	0.044529907405376434	-0.11092996	No	
row_88	HLA-DMA	NA	11213	0.04097016155719757	-0.11833843	No	
row_89	HLA-DRA	NA	11292	0.039052750915288925	-0.12153324	No	
row_90	LY86	NA	11317	0.038287580013275146	-0.12213645	No	
row_91	ICAM1	NA	11370	0.03696642816066742	-0.124108285	No	
row_92	TAPBP	NA	11377	0.03663208708167076	-0.123867884	No	
row_93	C2	NA	11794	0.027671605348587036	-0.14351796	No	
row_94	CDKN2A	NA	11852	0.026603136211633682	-0.14588061	No	
row_95	IL15	NA	12216	0.01937018893659115	-0.16309623	No	
row_96	ST8SIA4	NA	12358	0.01687457598745823	-0.16964811	No	
row_97	CXCR3	NA	12425	0.015497329644858837	-0.1726051	No	
row_98	UBE2D1	NA	12586	0.012212551198899746	-0.18014012	No	
row_99	NCF4	NA	12965	0.003852222813293338	-0.19830306	No	
row_100	TPD52	NA	12968	0.0038093605544418097	-0.19834438	No	
row_101	SIT1	NA	13057	0.00218281801789999	-0.2025542	No	
row_102	TAP2	NA	13124	0.0010388129157945514	-0.2057202	No	
row_103	CCR2	NA	13138	8.314939332194626E-4	-0.20633475	No	
row_104	TLR1	NA	13214	-6.294347695074975E-4	-0.20994046	No	
row_105	CXCL13	NA	13225	-8.089974871836603E-4	-0.21041073	No	
row_106	IL18	NA	13405	-0.003875960363075137	-0.21898204	No	
row_107	F2	NA	13760	-0.011707577854394913	-0.23587467	No	
row_108	HLA-G	NA	13800	-0.012384967878460884	-0.23757532	No	
row_109	MAP4K1	NA	13989	-0.016636043787002563	-0.24639592	No	
row_110	MAP3K7	NA	14102	-0.018749216571450233	-0.251523	No	
row_111	HLA-DOA	NA	14117	-0.019247407093644142	-0.25191948	No	
row_112	ICOSLG	NA	14167	-0.020601719617843628	-0.25398332	No	
row_113	PF4	NA	14213	-0.021524077281355858	-0.25584102	No	
row_114	ITK	NA	14377	-0.024329515174031258	-0.26334548	No	
row_115	IL13	NA	14605	-0.029197681695222855	-0.27386418	No	
row_116	GCNT1	NA	14681	-0.03093811869621277	-0.2770317	No	
row_117	TNF	NA	14712	-0.03163309022784233	-0.2780203	No	
row_118	KRT1	NA	14954	-0.0395396389067173	-0.28906426	No	
row_119	LIF	NA	15002	-0.041118089109659195	-0.2907351	No	
row_120	IFNGR2	NA	15011	-0.04146327078342438	-0.29052123	No	
row_121	SOCS5	NA	15121	-0.04458002373576164	-0.29513025	No	
row_122	PRF1	NA	15177	-0.04672198370099068	-0.29710564	No	
row_123	BRCA1	NA	15321	-0.052058227360248566	-0.30324528	No	
row_124	LCK	NA	15361	-0.05326331779360771	-0.30435494	No	
row_125	HLA-A	NA	15405	-0.055284831672906876	-0.30562818	No	
row_126	CD4	NA	15566	-0.06133369728922844	-0.31245306	No	
row_127	CD96	NA	16135	-0.08726152032613754	-0.33856764	No	
row_128	INHBB	NA	16152	-0.08835781365633011	-0.3380614	No	
