NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HMGCS1	NA	18	2.38143253326416	0.06670151	Yes	
row_1	IDI1	NA	175	1.460959553718567	0.10066845	Yes	
row_2	BMPR1B	NA	228	1.3493130207061768	0.1364563	Yes	
row_3	ELOVL5	NA	374	1.1681174039840698	0.16264248	Yes	
row_4	INSIG1	NA	678	0.9304239749908447	0.17450628	Yes	
row_5	NKX3-1	NA	781	0.8845016360282898	0.19470839	Yes	
row_6	CENPN	NA	1055	0.783064067363739	0.20383035	Yes	
row_7	KLK2	NA	1452	0.6625585556030273	0.20363352	Yes	
row_8	KLK3	NA	1474	0.6576605439186096	0.22128507	Yes	
row_9	CDC14B	NA	1798	0.5888924598693848	0.22249976	Yes	
row_10	SPCS3	NA	1881	0.5742480754852295	0.23485884	Yes	
row_11	B4GALT1	NA	1921	0.5703056454658508	0.2491686	Yes	
row_12	MAF	NA	2201	0.5314735174179077	0.25086474	Yes	
row_13	HMGCR	NA	2303	0.5175880789756775	0.26070493	Yes	
row_14	PLPP1	NA	2375	0.5081242918968201	0.27171558	Yes	
row_15	SPDEF	NA	2575	0.48179006576538086	0.27583945	Yes	
row_16	DBI	NA	2664	0.46960803866386414	0.2849419	Yes	
row_17	UBE2I	NA	2812	0.45385366678237915	0.2907674	Yes	
row_18	ACSL3	NA	2868	0.4470890462398529	0.30081385	Yes	
row_19	MYL12A	NA	2869	0.44707509875297546	0.31349808	Yes	
row_20	HSD17B14	NA	2898	0.444711297750473	0.32477215	Yes	
row_21	CDK6	NA	2947	0.4415113627910614	0.33499613	Yes	
row_22	ZBTB10	NA	2952	0.4412800371646881	0.34732407	Yes	
row_23	KRT19	NA	3010	0.43725287914276123	0.35699552	Yes	
row_24	B2M	NA	3208	0.414569228887558	0.35930815	Yes	
row_25	LIFR	NA	3219	0.4127848148345947	0.3705398	Yes	
row_26	ANKH	NA	3251	0.409939706325531	0.38068348	Yes	
row_27	PGM3	NA	3392	0.3959062695503235	0.38520068	Yes	
row_28	HERC3	NA	3614	0.3734801709651947	0.38519636	No	
row_29	ALDH1A3	NA	3934	0.3485700786113739	0.3797846	No	
row_30	TSC22D1	NA	4191	0.3283015489578247	0.37681967	No	
row_31	UBE2J1	NA	4323	0.3167296350002289	0.3795222	No	
row_32	CCND1	NA	4927	0.2745518684387207	0.35838804	No	
row_33	MAK	NA	4939	0.27370762825012207	0.3656259	No	
row_34	CCND3	NA	5066	0.2661720812320709	0.36713386	No	
row_35	STEAP4	NA	5281	0.25415992736816406	0.36408	No	
row_36	AZGP1	NA	5813	0.22599154710769653	0.34502167	No	
row_37	INPP4B	NA	5973	0.2181384265422821	0.34358397	No	
row_38	ABHD2	NA	6356	0.1990870088338852	0.33090925	No	
row_39	APPBP2	NA	6660	0.184750035405159	0.32161713	No	
row_40	XRCC6	NA	6889	0.17609092593193054	0.3156768	No	
row_41	AKAP12	NA	7885	0.13842666149139404	0.2718778	No	
row_42	SEC24D	NA	8080	0.13150878250598907	0.26630345	No	
row_43	RRP12	NA	8444	0.11816124618053436	0.2522441	No	
row_44	ARID5B	NA	8583	0.11466401815414429	0.24887797	No	
row_45	HPGD	NA	8723	0.11012780666351318	0.24533516	No	
row_46	SGK1	NA	8816	0.10715245455503464	0.24396235	No	
row_47	ZMIZ1	NA	8989	0.10178503394126892	0.23859996	No	
row_48	SRP19	NA	9270	0.09421953558921814	0.22784257	No	
row_49	VAPA	NA	9391	0.09078972041606903	0.22466245	No	
row_50	ELL2	NA	9538	0.08632753789424896	0.22010863	No	
row_51	DNAJB9	NA	10487	0.05914514884352684	0.17631468	No	
row_52	TMPRSS2	NA	10561	0.05727578327059746	0.17443815	No	
row_53	TMEM50A	NA	10714	0.05324149876832962	0.16865782	No	
row_54	PDLIM5	NA	10792	0.05151071771979332	0.16642587	No	
row_55	PTPN21	NA	11126	0.042762402445077896	0.15166636	No	
row_56	SLC26A2	NA	11162	0.042104944586753845	0.15118212	No	
row_57	ABCC4	NA	11778	0.027991555631160736	0.12247705	No	
row_58	TNFAIP8	NA	11904	0.025499379262328148	0.117204726	No	
row_59	FADS1	NA	11927	0.02493467554450035	0.1168569	No	
row_60	ACTN1	NA	12062	0.02237333357334137	0.111064196	No	
row_61	PIAS1	NA	12138	0.02153782546520233	0.10807779	No	
row_62	SELENOP	NA	12583	0.012297377921640873	0.087129675	No	
row_63	CAMKK2	NA	12829	0.007225382141768932	0.075582944	No	
row_64	MERTK	NA	12858	0.006466292310506105	0.07442335	No	
row_65	TPD52	NA	12968	0.0038093605544418097	0.06930311	No	
row_66	FKBP5	NA	13420	-0.00405089370906353	0.047785267	No	
row_67	KRT8	NA	13472	-0.005354904569685459	0.045490917	No	
row_68	ELK4	NA	13490	-0.0058838739059865475	0.044842426	No	
row_69	PMEPA1	NA	14407	-0.024918120354413986	0.0016123246	No	
row_70	HOMER2	NA	14444	-0.02572670392692089	6.1544654E-4	No	
row_71	NGLY1	NA	14592	-0.029027193784713745	-0.005612043	No	
row_72	SAT1	NA	14595	-0.029028713703155518	-0.0048843864	No	
row_73	NCOA4	NA	15208	-0.0482320636510849	-0.032871302	No	
row_74	GUCY1A1	NA	15639	-0.06498834490776062	-0.05165296	No	
row_75	LMAN1	NA	15809	-0.07178372889757156	-0.05772264	No	
row_76	MAP7	NA	15878	-0.07594747841358185	-0.058829594	No	
row_77	GNAI3	NA	17176	-0.1431424617767334	-0.11698063	No	
row_78	DHCR24	NA	17222	-0.14884543418884277	-0.11491613	No	
row_79	IQGAP2	NA	17928	-0.2078651785850525	-0.14283487	No	
row_80	SRF	NA	18033	-0.2191278636455536	-0.14160636	No	
row_81	SLC38A2	NA	18528	-0.27554216980934143	-0.15748413	No	
row_82	GSR	NA	18672	-0.2989841103553772	-0.15586066	No	
row_83	ITGAV	NA	18754	-0.31019917130470276	-0.1509451	No	
row_84	H1-0	NA	18755	-0.31021273136138916	-0.14214388	No	
row_85	GPD1L	NA	19026	-0.36194515228271484	-0.14482582	No	
row_86	UAP1	NA	19056	-0.3689385652542114	-0.13574949	No	
row_87	RPS6KA3	NA	19171	-0.3903059959411621	-0.13014406	No	
row_88	PA2G4	NA	19214	-0.402047723531723	-0.120751925	No	
row_89	SORD	NA	19418	-0.4501684308052063	-0.117717095	No	
row_90	PTK2B	NA	19446	-0.4578169882297516	-0.106023215	No	
row_91	NDRG1	NA	19514	-0.4776501953601837	-0.09568528	No	
row_92	ADRM1	NA	19582	-0.4980244040489197	-0.08476929	No	
row_93	XRCC5	NA	19604	-0.5042887330055237	-0.07146914	No	
row_94	AKT1	NA	19778	-0.5666084885597229	-0.06369174	No	
row_95	STK39	NA	19787	-0.5724104642868042	-0.047835305	No	
row_96	RAB4A	NA	19990	-0.6538441777229309	-0.03897392	No	
row_97	SCD	NA	20126	-0.7264968752861023	-0.024837526	No	
row_98	ADAMTS1	NA	20435	-0.9764074087142944	-0.011908945	No	
row_99	SMS	NA	20667	-1.2836742401123047	0.013430669	No	
