NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	JUN	NA	0	5.9753289222717285	0.10470983	Yes	
row_1	LGALS3	NA	120	1.6307426691055298	0.12756173	Yes	
row_2	DAP3	NA	275	1.270808219909668	0.1424225	Yes	
row_3	IFNB1	NA	456	1.0919667482376099	0.15289854	Yes	
row_4	TOP2A	NA	484	1.0583651065826416	0.17014611	Yes	
row_5	BIRC3	NA	485	1.0583651065826416	0.18869258	Yes	
row_6	BTG2	NA	593	0.9896204471588135	0.20088693	Yes	
row_7	PAK1	NA	615	0.9699386358261108	0.2168736	Yes	
row_8	FAS	NA	821	0.8652697205543518	0.22217439	Yes	
row_9	BCL2L1	NA	884	0.8417524695396423	0.23394236	Yes	
row_10	NEDD9	NA	1081	0.7746574282646179	0.23808825	Yes	
row_11	ADD1	NA	1193	0.7361252307891846	0.24564801	Yes	
row_12	BCL10	NA	1309	0.7021129727363586	0.25241932	Yes	
row_13	GADD45B	NA	1366	0.6861884593963623	0.2617499	Yes	
row_14	ERBB3	NA	1378	0.682409405708313	0.27317902	Yes	
row_15	EBP	NA	1444	0.6638338565826416	0.2816849	Yes	
row_16	SATB1	NA	1449	0.6630268096923828	0.29311115	Yes	
row_17	BMF	NA	1483	0.6563779711723328	0.30302578	Yes	
row_18	IL1A	NA	1597	0.6331057548522949	0.30868405	Yes	
row_19	RNASEL	NA	1865	0.5761979222297668	0.3059366	Yes	
row_20	EREG	NA	1887	0.5737455487251282	0.31498048	Yes	
row_21	BMP2	NA	1940	0.5665690898895264	0.3224073	Yes	
row_22	EMP1	NA	1961	0.5622641444206238	0.3312981	Yes	
row_23	CYLD	NA	2058	0.5486160516738892	0.3362936	Yes	
row_24	DCN	NA	2068	0.5462490916252136	0.34543297	Yes	
row_25	HMGB2	NA	2176	0.5343274474143982	0.3496489	Yes	
row_26	CTNNB1	NA	2237	0.5270353555679321	0.3559981	Yes	
row_27	TIMP2	NA	2252	0.5251938104629517	0.3645279	Yes	
row_28	TXNIP	NA	2364	0.5093569755554199	0.36811388	Yes	
row_29	FASLG	NA	2460	0.4960028827190399	0.3722355	Yes	
row_30	CD69	NA	2493	0.49227195978164673	0.3793225	Yes	
row_31	PLPPR4	NA	2692	0.46667611598968506	0.3779752	Yes	
row_32	CD44	NA	2698	0.46570128202438354	0.3858955	Yes	
row_33	LMNA	NA	2749	0.4613870084285736	0.39157534	Yes	
row_34	PSEN2	NA	2764	0.4598064720630646	0.39895934	Yes	
row_35	CFLAR	NA	2776	0.4578733742237091	0.4064538	Yes	
row_36	CDKN1B	NA	2933	0.4424821734428406	0.40670303	Yes	
