NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ARL6IP1	NA	418	1.1265430450439453	0.0011832358	No	
row_1	EIF1B	NA	625	0.9630908966064453	0.009472013	No	
row_2	TK2	NA	822	0.8652697205543518	0.016393686	No	
row_3	GUK1	NA	852	0.8516544699668884	0.031087773	No	
row_4	VPS37D	NA	876	0.8455937504768372	0.045955855	No	
row_5	POLR3GL	NA	993	0.8041699528694153	0.055569828	No	
row_6	POLD4	NA	1093	0.7694456577301025	0.06534521	No	
row_7	MPC2	NA	1110	0.7632333040237427	0.07899401	No	
row_8	SDCBP	NA	1365	0.6861884593963623	0.07974396	No	
row_9	RALA	NA	1580	0.6366187334060669	0.081480764	No	
row_10	POLA2	NA	1644	0.6223974823951721	0.09020922	No	
row_11	TAF13	NA	1666	0.6181763410568237	0.10087737	No	
row_12	STX3	NA	2048	0.5492199659347534	0.09293351	No	
row_13	SNAPC5	NA	2177	0.5343274474143982	0.09687296	No	
row_14	POLB	NA	2579	0.4812565743923187	0.08668359	No	
row_15	GTF2A2	NA	2891	0.4454553723335266	0.08014525	No	
row_16	SMAD5	NA	2909	0.44424155354499817	0.08771995	No	
row_17	GTF2H3	NA	2930	0.4430568814277649	0.09512802	No	
row_18	GTF2H5	NA	2986	0.43942421674728394	0.10078462	No	
row_19	POLR1H	NA	3203	0.41559553146362305	0.09824995	No	
row_20	POLH	NA	3583	0.37581661343574524	0.08712653	No	
row_21	COX17	NA	3898	0.35317879915237427	0.07870076	No	
row_22	SAC3D1	NA	4601	0.29827821254730225	0.050582234	No	
row_23	POLR2J	NA	4650	0.29410600662231445	0.05383022	No	
row_24	CSTF3	NA	5025	0.2693425714969635	0.040935826	No	
row_25	DUT	NA	5418	0.24775287508964539	0.026768114	No	
row_26	POLR2K	NA	5540	0.24068447947502136	0.025496975	No	
row_27	BOLA2	NA	5544	0.2405456006526947	0.029896833	No	
row_28	RBX1	NA	5820	0.22532619535923004	0.020931005	No	
row_29	NUDT21	NA	5919	0.22049549221992493	0.020384355	No	
row_30	PDE4B	NA	5949	0.2191278636455536	0.023129495	No	
row_31	ELOA	NA	6459	0.19395965337753296	0.0023200437	No	
row_32	TARBP2	NA	6542	0.19004610180854797	0.0019674837	No	
row_33	DCTN4	NA	6618	0.1871163547039032	0.0018961489	No	
row_34	DGCR8	NA	6633	0.18656501173973083	0.0047473735	No	
row_35	GTF2F1	NA	6690	0.1839459091424942	0.0055296957	No	
row_36	PCNA	NA	6737	0.18284296989440918	0.006771998	No	
row_37	HPRT1	NA	7029	0.17099887132644653	-0.003989423	No	
row_38	POLL	NA	7739	0.1436784863471985	-0.035365034	No	
row_39	GMPR2	NA	8130	0.12965957820415497	-0.051667463	No	
row_40	ELL	NA	8527	0.11582871526479721	-0.06851966	No	
row_41	RAD52	NA	8935	0.10347293317317963	-0.08613416	No	
row_42	CDA	NA	8962	0.10240662842988968	-0.08544973	No	
row_43	SURF1	NA	9055	0.09991811215877533	-0.0879857	No	
row_44	ERCC2	NA	9181	0.09684737026691437	-0.092166364	No	
row_45	ERCC8	NA	9221	0.0959031730890274	-0.09222986	No	
row_46	TAF10	NA	9446	0.08947999030351639	-0.10130978	No	
row_47	CANT1	NA	9628	0.08339404314756393	-0.10843715	No	
row_48	GTF2H1	NA	9998	0.07308182865381241	-0.12479867	No	
row_49	RFC5	NA	10060	0.07121166586875916	-0.12638639	No	
row_50	SUPT5H	NA	10301	0.0645371675491333	-0.1367068	No	
row_51	DAD1	NA	10504	0.05866076052188873	-0.14531113	No	
row_52	NT5C3A	NA	10606	0.05640358105301857	-0.14910185	No	
row_53	POLR2A	NA	10731	0.05295155942440033	-0.15406367	No	
row_54	RAE1	NA	10736	0.05285975709557533	-0.15325743	No	
row_55	POLR2C	NA	10873	0.04918728768825531	-0.15886733	No	
row_56	POLR2G	NA	11054	0.04423413425683975	-0.16668639	No	
row_57	FEN1	NA	11415	0.03556244447827339	-0.18332395	No	
row_58	DGUOK	NA	11418	0.035520199686288834	-0.18274911	No	
row_59	EDF1	NA	11710	0.029165267944335938	-0.19618988	No	
row_60	POLD3	NA	12075	0.022231489419937134	-0.21327159	No	
row_61	ALYREF	NA	12325	0.017527032643556595	-0.22491279	No	
row_62	CETN2	NA	12465	0.014907173812389374	-0.23131453	No	
row_63	POLR2F	NA	12619	0.011461945250630379	-0.23845448	No	
row_64	ADA	NA	12633	0.011193646118044853	-0.23886807	No	
row_65	BCAM	NA	12810	0.007714835926890373	-0.2471847	No	
row_66	TYMS	NA	12875	0.006129935383796692	-0.25014612	No	
row_67	PDE6G	NA	13027	0.002768268110230565	-0.2573541	No	
row_68	POLR1D	NA	13120	0.0011729297693818808	-0.26175547	No	
row_69	LIG1	NA	13248	-0.0011427903082221746	-0.26784024	No	
row_70	MPG	NA	13448	-0.0046645705588161945	-0.27732036	No	
row_71	GPX4	NA	13624	-0.008901736699044704	-0.28556645	No	
row_72	CLP1	NA	13747	-0.011537084355950356	-0.29121447	No	
row_73	SUPT4H1	NA	13832	-0.012851923704147339	-0.29501054	No	
row_74	TAF1C	NA	13943	-0.015430239960551262	-0.300008	No	
row_75	POM121	NA	14243	-0.021945400163531303	-0.31396982	No	
row_76	AGO4	NA	14331	-0.023444239050149918	-0.31771004	No	
row_77	BCAP31	NA	14561	-0.028285615146160126	-0.32818636	No	
row_78	ADCY6	NA	14933	-0.03860020264983177	-0.34529543	No	
row_79	CCNO	NA	15273	-0.050938934087753296	-0.3606328	No	
row_80	RRM2B	NA	15414	-0.055584974586963654	-0.36631417	No	
row_81	ERCC4	NA	15440	-0.05640135332942009	-0.36645076	No	
row_82	NPR2	NA	15519	-0.05841486528515816	-0.3690976	No	
row_83	TMED2	NA	15650	-0.06551161408424377	-0.37411064	No	
row_84	TSG101	NA	15688	-0.06707418709993362	-0.37462255	No	
row_85	ERCC5	NA	15910	-0.07800539582967758	-0.383775	No	
row_86	NFX1	NA	16101	-0.08524574339389801	-0.39130014	No	
row_87	ZNF707	NA	16305	-0.09521999955177307	-0.3992619	No	
row_88	NELFE	NA	16453	-0.10134682059288025	-0.40441537	No	
row_89	POLE4	NA	16473	-0.10254368931055069	-0.40339178	No	
row_90	UPF3B	NA	16535	-0.10591598600149155	-0.4043239	No	
row_91	SNAPC4	NA	16587	-0.10863953083753586	-0.4047238	No	
row_92	RFC2	NA	16771	-0.1182032898068428	-0.41128975	No	
row_93	RFC3	NA	16800	-0.11916533857584	-0.4103849	No	
row_94	NELFB	NA	16936	-0.1275143325328827	-0.41446707	No	
