NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BIRC5	NA	21	2.2870256900787354	0.022357285	Yes	
row_1	CDKN2C	NA	56	1.977888822555542	0.0409292	Yes	
row_2	CDKN3	NA	94	1.7423330545425415	0.05694956	Yes	
row_3	SPC24	NA	95	1.7423330545425415	0.074753135	Yes	
row_4	MXD3	NA	104	1.6893296241760254	0.09162956	Yes	
row_5	CCNB2	NA	107	1.6838237047195435	0.108738884	Yes	
row_6	HMMR	NA	111	1.6695359945297241	0.12565401	Yes	
row_7	DEPDC1	NA	112	1.6649770736694336	0.14266716	Yes	
row_8	XPO1	NA	149	1.5390422344207764	0.15665844	Yes	
row_9	AURKA	NA	185	1.4332332611083984	0.16961673	Yes	
row_10	CKS2	NA	191	1.4265080690383911	0.18395217	Yes	
row_11	PLK4	NA	216	1.3667426109313965	0.19676119	Yes	
row_12	H2AX	NA	241	1.3307684659957886	0.20920262	Yes	
row_13	PTTG1	NA	242	1.3295940160751343	0.22278874	Yes	
row_14	TK1	NA	268	1.2859957218170166	0.23472448	Yes	
row_15	CDC20	NA	277	1.2672441005706787	0.24728791	Yes	
row_16	UBE2S	NA	303	1.2392425537109375	0.2587459	Yes	
row_17	CDK1	NA	305	1.2379765510559082	0.27134767	Yes	
row_18	KIF18B	NA	340	1.1983908414840698	0.28195447	Yes	
row_19	CKS1B	NA	380	1.1592609882354736	0.29192048	Yes	
row_20	DCK	NA	382	1.1576604843139648	0.30370155	Yes	
row_21	CDCA8	NA	426	1.1197997331619263	0.31307155	Yes	
row_22	TOP2A	NA	484	1.0583651065826416	0.32113904	Yes	
row_23	SPC25	NA	620	0.9675333499908447	0.3245192	Yes	
row_24	PLK1	NA	733	0.9070835709571838	0.32839015	Yes	
row_25	ORC6	NA	864	0.8478841185569763	0.33078867	Yes	
row_26	AURKB	NA	961	0.814009964466095	0.3344797	Yes	
row_27	PRIM2	NA	975	0.8099897503852844	0.34212983	Yes	
row_28	KIF2C	NA	1187	0.7369341254234314	0.33949083	Yes	
row_29	PSIP1	NA	1246	0.719363272190094	0.34404615	Yes	
row_30	PHF5A	NA	1300	0.7036787867546082	0.34868217	Yes	
row_31	GSPT1	NA	1526	0.6474606394767761	0.34445417	Yes	
row_32	CENPE	NA	1617	0.6276475787162781	0.34653008	Yes	
row_33	PDS5B	NA	1641	0.6232224702835083	0.35178983	Yes	
row_34	POLA2	NA	1644	0.6223974823951721	0.35805324	Yes	
row_35	CCP110	NA	1761	0.5964195132255554	0.358557	Yes	
row_36	DIAPH3	NA	1955	0.5637041330337524	0.3550154	Yes	
row_37	STMN1	NA	2066	0.5469778776168823	0.35530308	Yes	
row_38	CBX5	NA	2137	0.5380070209503174	0.3574269	Yes	
row_39	HMGB2	NA	2176	0.5343274474143982	0.36105537	Yes	
row_40	CDCA3	NA	2349	0.5104405879974365	0.35798162	Yes	
row_41	SRSF1	NA	2462	0.4958445131778717	0.35765043	Yes	
row_42	HNRNPD	NA	2486	0.4932793378829956	0.3615824	Yes	
row_43	RAD51AP1	NA	2490	0.4930359423160553	0.36647576	Yes	
row_44	KIF22	NA	2913	0.44404202699661255	0.35067478	Yes	
row_45	CDKN1B	NA	2933	0.4424821734428406	0.35428044	Yes	
row_46	CCNE1	NA	3033	0.4347848892211914	0.35395187	Yes	
row_47	KIF4A	NA	3114	0.4235500693321228	0.3544242	Yes	
row_48	TACC3	NA	3142	0.4216768443584442	0.35743174	Yes	
row_49	CENPM	NA	3216	0.4131041467189789	0.3581347	Yes	
row_50	ING3	NA	3294	0.4061407744884491	0.3585737	Yes	
row_51	DLGAP5	NA	3340	0.40094488859176636	0.3605019	Yes	
row_52	NBN	NA	3346	0.40053626894950867	0.3643537	Yes	
row_53	ESPL1	NA	3388	0.3962714970111847	0.3664269	Yes	
row_54	TMPO	NA	3426	0.3916257321834564	0.3686454	Yes	
row_55	UBE2T	NA	3625	0.37280428409576416	0.36291218	Yes	
row_56	HUS1	NA	3672	0.37031564116477966	0.36447918	Yes	
row_57	E2F8	NA	3714	0.36681485176086426	0.36625138	Yes	
row_58	ASF1A	NA	3757	0.36440005898475647	0.3679507	Yes	
row_59	PPM1D	NA	3819	0.3605501055717468	0.368695	Yes	
row_60	RACGAP1	NA	3878	0.35527631640434265	0.36953	Yes	
