NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	JUN	NA	0	5.9753289222717285	0.087536976	Yes	
row_1	TNFAIP3	NA	4	2.8138701915740967	0.12861483	Yes	
row_2	CADM1	NA	187	1.4315149784088135	0.14081421	Yes	
row_3	FBN1	NA	286	1.2607733011245728	0.15456086	Yes	
row_4	SPP1	NA	341	1.1973841190338135	0.16949956	Yes	
row_5	CALD1	NA	659	0.939093291759491	0.16797845	Yes	
row_6	CD59	NA	663	0.9356746673583984	0.18154123	Yes	
row_7	DAB2	NA	787	0.8815171122550964	0.18852694	Yes	
row_8	FAS	NA	821	0.8652697205543518	0.19961241	Yes	
row_9	TPM1	NA	858	0.849199652671814	0.21031785	Yes	
row_10	THBS2	NA	940	0.8203976154327393	0.21843246	Yes	
row_11	ITGB1	NA	1276	0.71098792552948	0.21270211	Yes	
row_12	FBLN1	NA	1304	0.7031140327453613	0.2217012	Yes	
row_13	GADD45B	NA	1366	0.6861884593963623	0.22881365	Yes	
row_14	EDIL3	NA	1461	0.6600863337516785	0.23395318	Yes	
row_15	CXCL12	NA	1767	0.5952243804931641	0.22797285	Yes	
row_16	FSTL1	NA	1863	0.5766518712043762	0.23184189	Yes	
row_17	ADAM12	NA	1883	0.5742204189300537	0.23933831	Yes	
row_18	PDLIM4	NA	1905	0.5710397362709045	0.24669175	Yes	
row_19	CDH6	NA	2047	0.5492977499961853	0.24794297	Yes	
row_20	DCN	NA	2068	0.5462490916252136	0.25498143	Yes	
row_21	LRRC15	NA	2236	0.5270353555679321	0.2546534	Yes	
row_22	PLAUR	NA	2318	0.5154783129692078	0.25830102	Yes	
row_23	MMP14	NA	2326	0.5144058465957642	0.26549953	Yes	
row_24	MSX1	NA	2359	0.5099409222602844	0.27142772	Yes	
row_25	SLC6A8	NA	2381	0.5073057413101196	0.27784747	Yes	
row_26	SERPINE2	NA	2648	0.4722529351711273	0.27194533	Yes	
row_27	GEM	NA	2662	0.469875305891037	0.27820233	Yes	
row_28	ID2	NA	2668	0.46933671832084656	0.28483698	Yes	
row_29	THBS1	NA	2697	0.46625465154647827	0.29031798	Yes	
row_30	CD44	NA	2698	0.46570128202438354	0.29714036	Yes	
row_31	BDNF	NA	2714	0.46461188793182373	0.30322385	Yes	
row_32	CAP2	NA	2720	0.46416378021240234	0.30978274	Yes	
row_33	TGM2	NA	2973	0.4399808645248413	0.3040826	Yes	
row_34	POSTN	NA	3026	0.4355434775352478	0.30795693	Yes	
row_35	APLP1	NA	3093	0.42660757899284363	0.3110256	Yes	
row_36	CDH2	NA	3174	0.41834744811058044	0.31329846	Yes	
row_37	ITGB5	NA	3177	0.41813161969184875	0.3193276	Yes	
row_38	COL1A2	NA	3269	0.4079889953136444	0.32091856	Yes	
row_39	FBN2	NA	3363	0.3985256850719452	0.32227448	Yes	
row_40	TIMP3	NA	3417	0.3937656283378601	0.3254886	Yes	
row_41	RHOB	NA	3445	0.3897518813610077	0.32989702	Yes	
row_42	DST	NA	3698	0.3684559762477875	0.32314906	Yes	
row_43	SERPINE1	NA	3894	0.35342898964881897	0.31892818	Yes	
row_44	MYLK	NA	4042	0.3385802209377289	0.31680328	Yes	
row_45	COL12A1	NA	4235	0.32417237758636475	0.31229842	Yes	
row_46	IGFBP3	NA	4396	0.31131571531295776	0.30914754	Yes	
row_47	LAMA3	NA	4563	0.30070143938064575	0.30555195	Yes	
row_48	LAMC1	NA	4580	0.2995468080043793	0.30916908	Yes	
row_49	SFRP1	NA	4642	0.29441550374031067	0.31054214	Yes	
row_50	LAMC2	NA	4656	0.2933087944984436	0.31421247	Yes	
row_51	MFAP5	NA	4677	0.29224786162376404	0.31752986	Yes	
row_52	CXCL8	NA	4698	0.2909584939479828	0.32082838	Yes	
row_53	PVR	NA	4867	0.27945616841316223	0.31682518	Yes	
row_54	BASP1	NA	4872	0.27905645966529846	0.3207205	Yes	
row_55	OXTR	NA	4880	0.27832555770874023	0.3244605	Yes	
row_56	AREG	NA	4957	0.2720716893672943	0.32478327	Yes	
row_57	MXRA5	NA	4966	0.27181798219680786	0.32837975	Yes	
row_58	GREM1	NA	5012	0.2703315019607544	0.33017117	Yes	
row_59	PRRX1	NA	5061	0.26691934466362	0.33176798	Yes	
row_60	COL5A1	NA	5085	0.2654260993003845	0.33454788	Yes	
row_61	MATN3	NA	5195	0.2589317858219147	0.33308762	No	
row_62	WNT5A	NA	5404	0.2486473023891449	0.3267052	No	
row_63	PRSS2	NA	5757	0.22956129908561707	0.3131027	No	
row_64	ECM2	NA	5916	0.22067123651504517	0.3087203	No	
row_65	MMP2	NA	5948	0.21915976703166962	0.3104368	No	
row_66	PLOD2	NA	6229	0.20503060519695282	0.29994518	No	
row_67	FN1	NA	6235	0.2047705203294754	0.302704	No	
row_68	GAS1	NA	6275	0.20321863889694214	0.30380142	No	
row_69	TNC	NA	6417	0.19632048904895782	0.2998816	No	
