NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TOB1	NA	5	2.799623727798462	0.041258782	Yes	
row_1	DYNLT3	NA	204	1.391083836555481	0.052336197	Yes	
row_2	RASGRP1	NA	223	1.3636153936386108	0.07168198	Yes	
row_3	MINDY1	NA	229	1.3477166891098022	0.09141865	Yes	
row_4	ELOVL5	NA	374	1.1681174039840698	0.10179362	Yes	
row_5	MPPED2	NA	793	0.8765776753425598	0.0946409	Yes	
row_6	MED13L	NA	914	0.8300877213478088	0.10116189	Yes	
row_7	OPN3	NA	928	0.8238774538040161	0.11274794	Yes	
row_8	PLAAT3	NA	1051	0.7850396037101746	0.118504755	Yes	
row_9	DEPTOR	NA	1113	0.7619436979293823	0.12685926	Yes	
row_10	SYT12	NA	1214	0.7288801670074463	0.13284396	Yes	
row_11	SCNN1A	NA	1217	0.7283364534378052	0.14354394	Yes	
row_12	FARP1	NA	1280	0.7092951536178589	0.15106982	Yes	
row_13	CHPT1	NA	1554	0.6428413391113281	0.14744098	Yes	
row_14	RET	NA	1619	0.6276475787162781	0.15366018	Yes	
row_15	FRK	NA	1727	0.6036843657493591	0.15745167	Yes	
row_16	CXCL12	NA	1767	0.5952243804931641	0.16439518	Yes	
row_17	B4GALT1	NA	1921	0.5703056454658508	0.16547482	Yes	
row_18	KAZN	NA	2158	0.5350512862205505	0.16203147	Yes	
row_19	WWC1	NA	2213	0.530478835105896	0.16729228	Yes	
row_20	ELF3	NA	2429	0.5016074776649475	0.16436534	Yes	
row_21	CA12	NA	2453	0.49709632992744446	0.17062542	Yes	
row_22	LAD1	NA	2487	0.4932166039943695	0.17634602	Yes	
row_23	NAV2	NA	2491	0.4930201768875122	0.18350963	Yes	
row_24	P2RY2	NA	2587	0.4801678955554962	0.18604857	Yes	
row_25	FOXC1	NA	2635	0.47369420528411865	0.19080502	Yes	
row_26	PRSS23	NA	2681	0.4679292142391205	0.1955724	Yes	
row_27	CD44	NA	2698	0.46570128202438354	0.2017045	Yes	
row_28	TMPRSS3	NA	2779	0.45740416646003723	0.20462896	Yes	
row_29	TGM2	NA	2973	0.4399808645248413	0.20184883	Yes	
row_30	GLA	NA	2984	0.4397938549518585	0.20788608	Yes	
row_31	NADSYN1	NA	2989	0.4394218921661377	0.214207	Yes	
row_32	RARA	NA	3002	0.4376330077648163	0.2201158	Yes	
row_33	KRT19	NA	3010	0.43725287914276123	0.22625996	Yes	
row_34	GREB1	NA	3015	0.4369575083255768	0.23254435	Yes	
row_35	JAK2	NA	3044	0.4332467317581177	0.23761699	Yes	
row_36	KLF4	NA	3106	0.42453503608703613	0.24096997	Yes	
row_37	PDLIM3	NA	3217	0.4129474461078644	0.2417895	Yes	
