NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HMGCS1	NA	18	2.38143253326416	0.041895434	No	
row_1	NCAPH2	NA	160	1.5083595514297485	0.062198177	No	
row_2	IDI1	NA	175	1.460959553718567	0.08775792	No	
row_3	BMPR1B	NA	228	1.3493130207061768	0.109485306	No	
row_4	ELOVL5	NA	374	1.1681174039840698	0.12348626	No	
row_5	PTPRG	NA	542	1.0194518566131592	0.13375966	No	
row_6	ACOT8	NA	587	0.9917933344841003	0.14945216	No	
row_7	UROD	NA	1158	0.7458779215812683	0.13543081	No	
row_8	PTS	NA	1297	0.7051317691802979	0.14145504	No	
row_9	XIST	NA	1854	0.5790532231330872	0.12511149	No	
row_10	SDHD	NA	2193	0.5325215458869934	0.11841723	No	
row_11	GAD2	NA	2481	0.4937143921852112	0.11347901	No	
row_12	HCCS	NA	2819	0.45272189378738403	0.10539996	No	
row_13	RDH16	NA	2821	0.45267683267593384	0.11348016	No	
row_14	CD36	NA	3057	0.4316295087337494	0.109928094	No	
row_15	HADH	NA	3127	0.42242878675460815	0.11419467	No	
row_16	NBN	NA	3346	0.40053626894950867	0.11090192	No	
row_17	FMO1	NA	3548	0.37900152802467346	0.10804012	No	
row_18	HSD17B7	NA	3685	0.36935970187187195	0.10813139	No	
row_19	HSD17B11	NA	3703	0.36815640330314636	0.11392441	No	
row_20	TP53INP2	NA	3877	0.35559502243995667	0.111988984	No	
row_21	ALDH3A2	NA	4094	0.33492693305015564	0.10761434	No	
row_22	ACADS	NA	4480	0.3061283826828003	0.09459446	No	
row_23	BLVRA	NA	4603	0.2982650697231293	0.09408249	No	
row_24	YWHAH	NA	4657	0.2933087944984436	0.096800104	No	
row_25	EHHADH	NA	4819	0.2829650640487671	0.094137676	No	
row_26	GABARAPL1	NA	5096	0.26492974162101746	0.08562043	No	
row_27	PPARA	NA	5102	0.2648194134235382	0.09013507	No	
row_28	HMGCS2	NA	5237	0.25626134872436523	0.08829173	No	
row_29	ACSM3	NA	5311	0.2531227469444275	0.08932585	No	
row_30	MGLL	NA	5371	0.24990500509738922	0.09097553	No	
row_31	RDH11	NA	5517	0.2420503795146942	0.088347964	No	
row_32	HSDL2	NA	5610	0.2369103878736496	0.08817717	No	
row_33	VNN1	NA	5628	0.23605836927890778	0.09159822	No	
row_34	PDHA1	NA	5763	0.22915519773960114	0.08926816	No	
row_35	KMT5A	NA	5911	0.22070513665676117	0.08616113	No	
row_36	MLYCD	NA	6579	0.18814410269260406	0.05745981	No	
row_37	ME1	NA	6919	0.17469145357608795	0.04429223	No	
row_38	CA4	NA	6935	0.17389938235282898	0.046693347	No	
row_39	PCBD1	NA	6951	0.17360851168632507	0.04908924	No	
row_40	HAO2	NA	7125	0.1674308329820633	0.043775134	No	
row_41	RAP1GDS1	NA	7191	0.16490326821804047	0.043609943	No	
row_42	HSD17B4	NA	7704	0.14553508162498474	0.021598324	No	
row_43	ACADL	NA	7828	0.14073613286018372	0.018209653	No	
row_44	ACOX1	NA	8190	0.1273212879896164	0.003133395	No	
row_45	ECHS1	NA	8192	0.1272886097431183	0.005370902	No	
row_46	CPT2	NA	8480	0.117034412920475	-0.006331007	No	
