NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CENPA	NA	10	2.518873453140259	0.022226676	Yes	
row_1	POLQ	NA	16	2.4000535011291504	0.04362313	Yes	
row_2	TROAP	NA	17	2.389331817626953	0.06516391	Yes	
row_3	BIRC5	NA	21	2.2870256900787354	0.08563777	Yes	
row_4	NEK2	NA	37	2.093432903289795	0.10378794	Yes	
row_5	CDKN2C	NA	56	1.977888822555542	0.12075185	Yes	
row_6	KIF23	NA	58	1.9621713161468506	0.1383934	Yes	
row_7	NUSAP1	NA	77	1.823655366897583	0.15396684	Yes	
row_8	CCNA2	NA	92	1.7476638555526733	0.16904797	Yes	
row_9	CDKN3	NA	94	1.7423330545425415	0.1847076	Yes	
row_10	BUB1	NA	106	1.687174677848816	0.19938798	Yes	
row_11	CCNB2	NA	107	1.6838237047195435	0.21456832	Yes	
row_12	HMMR	NA	111	1.6695359945297241	0.22947526	Yes	
row_13	PURA	NA	124	1.6178604364395142	0.24348255	Yes	
row_14	TTK	NA	142	1.5547624826431274	0.25668	Yes	
row_15	XPO1	NA	149	1.5390422344207764	0.2702659	Yes	
row_16	DTYMK	NA	169	1.4710323810577393	0.2826121	Yes	
row_17	AURKA	NA	185	1.4332332611083984	0.2948103	Yes	
row_18	CKS2	NA	191	1.4265080690383911	0.30742985	Yes	
row_19	PRC1	NA	199	1.4078001976013184	0.31978434	Yes	
row_20	MARCKS	NA	213	1.3721375465393066	0.33152816	Yes	
row_21	PLK4	NA	216	1.3667426109313965	0.3437535	Yes	
row_22	H2AX	NA	241	1.3307684659957886	0.35459417	Yes	
row_23	PTTG1	NA	242	1.3295940160751343	0.366581	Yes	
row_24	CDC20	NA	277	1.2672441005706787	0.37636697	Yes	
row_25	UBE2S	NA	303	1.2392425537109375	0.3863343	Yes	
row_26	CDK1	NA	305	1.2379765510559082	0.39744696	Yes	
row_27	KIF20B	NA	372	1.1700519323349	0.40481442	Yes	
row_28	CKS1B	NA	380	1.1592609882354736	0.41492826	Yes	
row_29	TOP2A	NA	484	1.0583651065826416	0.4195055	Yes	
row_30	PBK	NA	509	1.04073965549469	0.42773145	Yes	
row_31	PTTG3P	NA	592	0.9897327423095703	0.4327021	Yes	
row_32	PLK1	NA	733	0.9070835709571838	0.43413216	Yes	
row_33	ORC6	NA	864	0.8478841185569763	0.43551052	Yes	
row_34	AURKB	NA	961	0.814009964466095	0.4382222	Yes	
row_35	UBE2C	NA	964	0.813414990901947	0.44545907	Yes	
row_36	H2BC12	NA	969	0.81245356798172	0.45259085	Yes	
