NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PRDX2	NA	12	2.495328187942505	0.038146544	Yes	
row_1	OPTN	NA	41	2.053264617919922	0.06866156	Yes	
row_2	YPEL5	NA	82	1.8115801811218262	0.09484752	Yes	
row_3	RIOK3	NA	98	1.7242180109024048	0.12088264	Yes	
row_4	MKRN1	NA	352	1.1907421350479126	0.12716778	Yes	
row_5	RBM5	NA	379	1.1611868143081665	0.14393507	Yes	
row_6	SLC30A1	NA	407	1.1345698833465576	0.1602411	Yes	
row_7	TRIM10	NA	521	1.0302534103393555	0.17078325	Yes	
row_8	BTG2	NA	593	0.9896204471588135	0.18271913	Yes	
row_9	KLF3	NA	745	0.9004277586936951	0.18941502	Yes	
row_10	ATG4A	NA	750	0.8974549770355225	0.20314981	Yes	
row_11	FBXO7	NA	752	0.8972930312156677	0.21702667	Yes	
row_12	TFDP2	NA	761	0.8940814733505249	0.23051631	Yes	
row_13	ARHGEF12	NA	762	0.8933836817741394	0.2443807	Yes	
row_14	TMEM9B	NA	915	0.8297243118286133	0.24993116	Yes	
row_15	FOXJ2	NA	965	0.8131630420684814	0.26018894	Yes	
row_16	NUDT4	NA	1023	0.795613706111908	0.26978877	Yes	
row_17	ALDH6A1	NA	1102	0.7649551630020142	0.2779007	Yes	
row_18	GYPB	NA	1130	0.7581345438957214	0.28836483	Yes	
row_19	UROD	NA	1158	0.7458779215812683	0.29863876	Yes	
row_20	ADD1	NA	1193	0.7361252307891846	0.30842397	Yes	
row_21	SDCBP	NA	1365	0.6861884593963623	0.31083113	Yes	
row_22	H4C3	NA	1487	0.655718207359314	0.31517532	Yes	
row_23	FECH	NA	1515	0.6493560075759888	0.3239513	Yes	
row_24	XPO7	NA	1570	0.6397697925567627	0.33127722	Yes	
row_25	GLRX5	NA	1680	0.6156347990036011	0.33557773	Yes	
row_26	TCEA1	NA	1689	0.612493634223938	0.34469742	Yes	
row_27	ANK1	NA	1814	0.5858557224273682	0.3478128	Yes	
row_28	NEK7	NA	1841	0.5815416574478149	0.3555846	Yes	
row_29	GYPA	NA	1928	0.5686661601066589	0.36026472	Yes	
row_30	CLIC2	NA	1977	0.5588958263397217	0.36662474	Yes	
row_31	E2F2	NA	2081	0.5452812910079956	0.3701226	Yes	
row_32	MGST3	NA	2276	0.5218986868858337	0.36887163	Yes	
row_33	SLC6A8	NA	2381	0.5073057413101196	0.37173197	Yes	
row_34	CDC27	NA	2624	0.4762834310531616	0.36745963	Yes	
row_35	PDZK1IP1	NA	2637	0.47356095910072327	0.3742304	Yes	
row_36	CTSB	NA	2638	0.4728986620903015	0.38156933	Yes	
row_37	FBXO9	NA	2775	0.45789748430252075	0.38212058	Yes	
row_38	CROCCP2	NA	2837	0.45112180709838867	0.38618147	Yes	
row_39	NNT	NA	2858	0.44837501645088196	0.39217585	Yes	
row_40	SPTB	NA	3047	0.4325982630252838	0.3898282	Yes	
row_41	ARL2BP	NA	3115	0.4235495924949646	0.39317203	Yes	
row_42	KHNYN	NA	3265	0.4080212712287903	0.3923227	Yes	
row_43	TMCC2	NA	3318	0.40354976058006287	0.3960791	Yes	
row_44	BTRC	NA	3439	0.3902738392353058	0.39635205	Yes	
row_45	HTATIP2	NA	3563	0.37809252738952637	0.39629138	Yes	
row_46	BLVRB	NA	3618	0.37331917881965637	0.39948225	Yes	
row_47	TRIM58	NA	3712	0.3671227991580963	0.40069726	Yes	
row_48	MAP2K3	NA	3796	0.3623300790786743	0.40231985	Yes	
row_49	SNCA	NA	3909	0.35177868604660034	0.40238097	Yes	
row_50	TFRC	NA	3910	0.35150957107543945	0.40783605	Yes	
row_51	TNRC6B	NA	4052	0.33774334192276	0.40628165	Yes	
row_52	ACSL6	NA	4072	0.3366832435131073	0.41059086	Yes	
row_53	DAAM1	NA	4202	0.32738474011421204	0.40945408	No	
row_54	BLVRA	NA	4603	0.2982650697231293	0.39480388	No	
row_55	TNS1	NA	4724	0.2896963655948639	0.39351597	No	
row_56	CIR1	NA	4980	0.271153062582016	0.38543364	No	
row_57	ENDOD1	NA	5026	0.2691600024700165	0.38744184	No	
row_58	ALDH1L1	NA	5043	0.26831716299057007	0.3908347	No	
row_59	CCND3	NA	5066	0.2661720812320709	0.39390507	No	
row_60	DCAF10	NA	5116	0.26379960775375366	0.3956373	No	
row_61	MFHAS1	NA	5335	0.25174975395202637	0.38903716	No	
