NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	JUN	NA	0	5.9753289222717285	0.062433507	No	
row_1	TNFAIP3	NA	4	2.8138701915740967	0.09168977	No	
row_2	PGF	NA	105	1.687174677848816	0.10449855	No	
row_3	CCNG2	NA	163	1.5006577968597412	0.11743099	No	
row_4	KLHL24	NA	202	1.3952771425247192	0.13017811	No	
row_5	CP	NA	653	0.9420931339263916	0.11833278	No	
row_6	KLF7	NA	670	0.9337320923805237	0.12731777	No	
row_7	EGFR	NA	683	0.9272356629371643	0.13642766	No	
row_8	GPC3	NA	751	0.8974291086196899	0.14257526	No	
row_9	CXCR4	NA	842	0.8565343022346497	0.14718704	No	
row_10	UGP2	NA	1320	0.6998751163482666	0.13150954	No	
row_11	ALDOB	NA	1688	0.6132400035858154	0.120228566	No	
row_12	DCN	NA	2068	0.5462490916252136	0.10766925	No	
row_13	PLAUR	NA	2318	0.5154783129692078	0.101054095	No	
row_14	SLC37A4	NA	2330	0.5136479735374451	0.105890796	No	
row_15	GCK	NA	2379	0.5073057413101196	0.10887793	No	
row_16	PAM	NA	2384	0.507277250289917	0.11398545	No	
row_17	CA12	NA	2453	0.49709632992744446	0.11590196	No	
row_18	KIF5A	NA	2599	0.47836384177207947	0.11391154	No	
row_19	HS3ST1	NA	2924	0.44310447573661804	0.102925375	No	
row_20	CDKN1B	NA	2933	0.4424821734428406	0.107163094	No	
row_21	TGM2	NA	2973	0.4399808645248413	0.10988056	No	
row_22	PLIN2	NA	2998	0.4385017156600952	0.113305524	No	
row_23	TES	NA	3039	0.43367427587509155	0.11590889	No	
row_24	ACKR3	NA	3126	0.42242878675460815	0.116177686	No	
row_25	GLRX	NA	3243	0.4109031856060028	0.11488012	No	
row_26	KDELR3	NA	3437	0.3903059959411621	0.109656155	No	
row_27	GALK1	NA	3466	0.38732674717903137	0.11235363	No	
row_28	DTNA	NA	3605	0.3742859661579132	0.10961313	No	
row_29	STC1	NA	3766	0.3643092215061188	0.10570804	No	
row_30	S100A4	NA	3798	0.36199551820755005	0.10799625	No	
row_31	P4HA1	NA	3870	0.35619503259658813	0.108295955	No	
row_32	SERPINE1	NA	3894	0.35342898964881897	0.11088023	No	
row_33	FOS	NA	3969	0.34463420510292053	0.11091455	No	
row_34	IDS	NA	4034	0.3391798734664917	0.11137386	No	
row_35	IGFBP3	NA	4396	0.31131571531295776	0.09722739	No	
row_36	IER3	NA	4474	0.3069759011268616	0.09672364	No	
row_37	STBD1	NA	4483	0.3059012293815613	0.09953428	No	
row_38	HDLBP	NA	4719	0.2898736298084259	0.09123664	No	
row_39	FOSL2	NA	4930	0.27440980076789856	0.08398237	No	
row_40	MT2A	NA	5050	0.2676723003387451	0.08104367	No	
row_41	COL5A1	NA	5085	0.2654260993003845	0.08217827	No	
row_42	B3GALT6	NA	5181	0.26005229353904724	0.080316685	No	
row_43	CAV1	NA	5389	0.24907705187797546	0.07294231	No	
row_44	JMJD6	NA	5415	0.2479994148015976	0.07432861	No	
row_45	PDGFB	NA	5446	0.246828094124794	0.075461686	No	
row_46	SLC2A5	NA	5484	0.24439753592014313	0.07623198	No	
row_47	CDKN1C	NA	5759	0.22951705753803253	0.065424	No	
row_48	CHST3	NA	6307	0.20158712565898895	0.041166313	No	
row_49	HEXA	NA	6324	0.20022128522396088	0.042487174	No	
row_50	CAVIN1	NA	6797	0.17981334030628204	0.021616781	No	
row_51	HAS1	NA	6933	0.1739698350429535	0.016927863	No	
row_52	STC2	NA	7065	0.16979117691516876	0.012388072	No	
row_53	NCAN	NA	7531	0.15194769203662872	-0.008436094	No	
row_54	NEDD4L	NA	7644	0.1480003446340561	-0.012287816	No	
row_55	PPP1R3C	NA	7770	0.14270974695682526	-0.016821384	No	
row_56	PDK3	NA	7784	0.14222940802574158	-0.01596186	No	
row_57	FBP1	NA	7788	0.14214347302913666	-0.014621259	No	
row_58	ATF3	NA	7833	0.1407148838043213	-0.0152716795	No	
row_59	IL6	NA	7852	0.1399361491203308	-0.014677103	No	
row_60	AKAP12	NA	7885	0.13842666149139404	-0.014773063	No	
row_61	TGFB3	NA	8069	0.13178510963916779	-0.022216227	No	
row_62	MT1E	NA	8415	0.11895336210727692	-0.037601445	No	
row_63	NDST2	NA	8497	0.11633773893117905	-0.040289875	No	
row_64	NDST1	NA	8620	0.11357191205024719	-0.0449833	No	
row_65	TPBG	NA	8732	0.10984063148498535	-0.049185537	No	
row_66	SULT2B1	NA	8762	0.10925707966089249	-0.049441684	No	
row_67	SCARB1	NA	8857	0.10551269352436066	-0.05286979	No	
row_68	NR3C1	NA	8903	0.10452639311552048	-0.05394652	No	
row_69	RORA	NA	9003	0.10124143958091736	-0.05766024	No	
row_70	DUSP1	NA	9381	0.09106118232011795	-0.07487921	No	
row_71	FOXO3	NA	9405	0.09042202681303024	-0.07504297	No	
row_72	SDC4	NA	9469	0.08835369348526001	-0.07715624	No	
row_73	BTG1	NA	9532	0.08658622950315475	-0.07923978	No	
row_74	GCNT2	NA	9615	0.08390441536903381	-0.08231529	No	
row_75	SLC2A1	NA	9617	0.08390441536903381	-0.081486806	No	
row_76	NOCT	NA	9626	0.08342675119638443	-0.0810007	No	
row_77	EXT1	NA	9730	0.08053739368915558	-0.08512353	No	
row_78	P4HA2	NA	9767	0.07904703915119171	-0.08603271	No	
row_79	PPARGC1A	NA	9778	0.0790155827999115	-0.08568909	No	
row_80	WSB1	NA	9833	0.07780999690294266	-0.08747875	No	
row_81	PKP1	NA	9878	0.07658980786800385	-0.088799186	No	
row_82	PCK1	NA	10258	0.06565313041210175	-0.10638002	No	
row_83	TIPARP	NA	10326	0.06366896629333496	-0.108944006	No	
row_84	PKLR	NA	10334	0.06357724964618683	-0.1086171	No	
row_85	KLF6	NA	10786	0.05166745185852051	-0.12981428	No	
row_86	BCAN	NA	10959	0.04672198370099068	-0.13761605	No	
row_87	BRS3	NA	11114	0.04288503900170326	-0.14459038	No	
row_88	BGN	NA	11218	0.040856070816516876	-0.14912783	No	
row_89	HMOX1	NA	11426	0.03534865751862526	-0.15873535	No	
row_90	MAP3K1	NA	11534	0.03284968435764313	-0.16354924	No	
row_91	DPYSL4	NA	11589	0.03181421011686325	-0.16581948	No	
row_92	SDC3	NA	11676	0.02986111305654049	-0.16965246	No	
row_93	PRKCA	NA	11916	0.025311963632702827	-0.18090717	No	
row_94	CCN2	NA	11950	0.024467991665005684	-0.18224202	No	
row_95	SDC2	NA	11988	0.023628192022442818	-0.18377845	No	
row_96	IRS2	NA	12005	0.02343376912176609	-0.18430476	No	
row_97	INHA	NA	12098	0.02198045328259468	-0.18850926	No	
row_98	LARGE1	NA	12209	0.019520333036780357	-0.19360702	No	
row_99	CITED2	NA	12336	0.01712401770055294	-0.19950096	No	
row_100	PRDX5	NA	12432	0.015376913361251354	-0.20391905	No	
row_101	CAVIN3	NA	12605	0.011821639724075794	-0.2120855	No	
row_102	ENO3	NA	12701	0.009969539009034634	-0.21656008	No	
row_103	LXN	NA	12776	0.008376218378543854	-0.22003917	No	
row_104	VHL	NA	12789	0.00812528282403946	-0.22053264	No	
row_105	GRHPR	NA	12792	0.008120110258460045	-0.22054419	No	
row_106	TPD52	NA	12968	0.0038093605544418097	-0.22893894	No	
row_107	ANGPTL4	NA	13246	-0.001050878781825304	-0.24227865	No	
row_108	GPC4	NA	13254	-0.0012687483103945851	-0.24260277	No	
row_109	ZFP36	NA	13271	-0.0014294650172814727	-0.243359	No	
row_110	BCL2	NA	13279	-0.0015347696607932448	-0.24368034	No	
