NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LTB	NA	2	2.8366858959198	0.033664882	No	
row_1	MYO1C	NA	97	1.7271451950073242	0.04969044	No	
row_2	SPP1	NA	341	1.1973841190338135	0.052229892	No	
row_3	HIPK2	NA	442	1.1058413982391357	0.060571734	No	
row_4	RABGAP1L	NA	680	0.9274303913116455	0.06018746	No	
row_5	ETFBKMT	NA	691	0.9227327108383179	0.07068756	No	
row_6	ETV4	NA	715	0.9149782657623291	0.08046883	No	
row_7	BCL2L1	NA	884	0.8417524695396423	0.08239031	No	
row_8	IL10RA	NA	1035	0.7896730899810791	0.08455947	No	
row_9	RHOH	NA	1204	0.7312817573547363	0.08516616	No	
row_10	GADD45B	NA	1366	0.6861884593963623	0.08557353	No	
row_11	SERPINC1	NA	1652	0.6200921535491943	0.07921806	No	
row_12	NRP1	NA	1707	0.6092678904533386	0.08386682	No	
row_13	CDC42SE2	NA	1746	0.5996590256690979	0.08917235	No	
row_14	PENK	NA	1766	0.5954219698905945	0.09534315	No	
row_15	SYT11	NA	1879	0.5749334096908569	0.09678796	No	
row_16	IL1RL1	NA	1897	0.5720640420913696	0.10277716	No	
row_17	TNFSF11	NA	1915	0.5703056454658508	0.108745426	No	
row_18	BMP2	NA	1940	0.5665690898895264	0.11433186	No	
row_19	EMP1	NA	1961	0.5622641444206238	0.12005983	No	
row_20	SELP	NA	2169	0.5346932411193848	0.11644718	No	
row_21	PHTF2	NA	2219	0.529212236404419	0.12038413	No	
row_22	NCS1	NA	2278	0.5214639902114868	0.1237951	No	
row_23	LRRC8C	NA	2298	0.5191248059272766	0.12905784	No	
row_24	PLPP1	NA	2375	0.5081242918968201	0.13144253	No	
row_25	F2RL2	NA	2428	0.5016608834266663	0.13490699	No	
row_26	RGS16	NA	2439	0.5003218054771423	0.1403797	No	
row_27	CD44	NA	2698	0.46570128202438354	0.13348798	No	
row_28	TGM2	NA	2973	0.4399808645248413	0.12551904	No	
row_29	PLIN2	NA	2998	0.4385017156600952	0.12958124	No	
row_30	CCNE1	NA	3033	0.4347848892211914	0.13311727	No	
row_31	IFITM3	NA	3038	0.43395400047302246	0.13808927	No	
row_32	APLP1	NA	3093	0.42660757899284363	0.14056407	No	
row_33	ABCB1	NA	3343	0.40081360936164856	0.13333385	No	
row_34	POU2F1	NA	3354	0.39952802658081055	0.13760693	No	
row_35	IFNGR1	NA	3395	0.39587563276290894	0.14039071	No	
row_36	GUCY1B1	NA	3411	0.39408284425735474	0.14435802	No	
row_37	RHOB	NA	3445	0.3897518813610077	0.14740628	No	
row_38	IRF6	NA	3759	0.36440005898475647	0.13665819	No	
row_39	SOCS2	NA	3780	0.36339861154556274	0.14001933	No	
row_40	P4HA1	NA	3870	0.35619503259658813	0.13996927	No	
row_41	CD86	NA	4056	0.33769553899765015	0.13507232	No	
row_42	PHLDA1	NA	4120	0.3328855633735657	0.13599792	No	
row_43	MAP3K8	NA	4451	0.30832603573799133	0.12376314	No	
row_44	CTLA4	NA	4583	0.2995468080043793	0.121014684	No	
row_45	ITGA6	NA	4714	0.2902219593524933	0.118203446	No	
row_46	SOCS1	NA	4738	0.28830185532569885	0.12052623	No	
row_47	SMPDL3A	NA	4767	0.28735798597335815	0.1225968	No	
row_48	NFKBIZ	NA	4983	0.2711033821105957	0.11546144	No	
row_49	CCND3	NA	5066	0.2661720812320709	0.11467733	No	
row_50	GABARAPL1	NA	5096	0.26492974162101746	0.11643278	No	
row_51	COL6A1	NA	5357	0.2507028579711914	0.106885836	No	
row_52	MAP6	NA	5538	0.24069744348526	0.10107542	No	
row_53	ALCAM	NA	5541	0.24064324796199799	0.10384308	No	
row_54	CDKN1C	NA	5759	0.22951705753803253	0.09611638	No	
row_55	AMACR	NA	6034	0.21551413834095	0.0854759	No	
row_56	IRF4	NA	6156	0.20841321349143982	0.08212476	No	
row_57	ADAM19	NA	6268	0.20335744321346283	0.079195395	No	
row_58	TNFRSF1B	NA	6495	0.1923397332429886	0.07059246	No	
row_59	NT5E	NA	6503	0.19182993471622467	0.0725382	No	
row_60	LRIG1	NA	6583	0.18800754845142365	0.07096838	No	
row_61	NCOA3	NA	6946	0.1736249029636383	0.055588186	No	
row_62	AHNAK	NA	7022	0.17120303213596344	0.054011155	No	
row_63	CCND2	NA	7298	0.16048257052898407	0.04266751	No	
row_64	MXD1	NA	7368	0.1575905680656433	0.04121764	No	
row_65	ENPP1	NA	7477	0.1534302681684494	0.037838645	No	
row_66	IL2RA	NA	7518	0.15207570791244507	0.037720796	No	
row_67	CSF1	NA	7567	0.15056882798671722	0.037199453	No	
row_68	GPR83	NA	7580	0.15006087720394135	0.038407084	No	
row_69	CXCL10	NA	7844	0.14033611118793488	0.027402008	No	
row_70	CD83	NA	7851	0.14014357328414917	0.028780779	No	
row_71	HOPX	NA	7864	0.13940586149692535	0.0298616	No	
row_72	TNFRSF9	NA	7915	0.1371559053659439	0.029084226	No	
row_73	WLS	NA	8005	0.13470108807086945	0.02639803	No	
row_74	COCH	NA	8075	0.13165463507175446	0.024639478	No	
row_75	XBP1	NA	8189	0.12735772132873535	0.0207092	No	
row_76	TWSG1	NA	8213	0.12661674618721008	0.021107662	No	
row_77	TNFRSF18	NA	8366	0.12080799043178558	0.015219824	No	
row_78	CTSZ	NA	8390	0.11983340233564377	0.015537554	No	
row_79	IGF2R	NA	8703	0.11116203665733337	0.0018236982	No	
row_80	IGF1R	NA	8780	0.10849636048078537	-5.478419E-4	No	
row_81	TNFRSF4	NA	8823	0.1068342998623848	-0.0013005302	No	
row_82	AHR	NA	8852	0.10576456040143967	-0.0013912189	No	
row_83	ITIH5	NA	8874	0.10533415526151657	-0.0011496645	No	
row_84	CASP3	NA	8919	0.10400260239839554	-0.0020324448	No	
row_85	RORA	NA	9003	0.10124143958091736	-0.0048276964	No	
row_86	CD79B	NA	9253	0.09488749504089355	-0.015698954	No	
row_87	SERPINB6	NA	9259	0.09458820521831512	-0.014814174	No	
row_88	TRAF1	NA	9366	0.09151890128850937	-0.018833626	No	
row_89	BMPR2	NA	9373	0.0912940502166748	-0.018036246	No	
row_90	HUWE1	NA	9506	0.08724028617143631	-0.023359694	No	
row_91	MAPKAPK2	NA	9642	0.0828712210059166	-0.028879726	No	
row_92	SNX9	NA	9787	0.07890933752059937	-0.034880668	No	
row_93	CKAP4	NA	9901	0.07577075809240341	-0.039424915	No	
row_94	CA2	NA	10166	0.0683121308684349	-0.05133539	No	
row_95	GALM	NA	10229	0.06656651198863983	-0.053531237	No	
row_96	GBP4	NA	10241	0.06642989814281464	-0.053270757	No	
row_97	SLC29A2	NA	10257	0.06571152806282043	-0.053211607	No	
row_98	SPRY4	NA	10484	0.05915968120098114	-0.0633996	No	
row_99	KLF6	NA	10786	0.05166745185852051	-0.07729139	No	
row_100	FLT3LG	NA	10798	0.05133330449461937	-0.07721058	No	
