NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	JUN	NA	0	5.9753289222717285	0.17274861	Yes	
row_1	LTB	NA	2	2.8366858959198	0.25471014	Yes	
row_2	DNTT	NA	54	1.9830220937728882	0.30959517	Yes	
row_3	SOCS3	NA	572	1.0022804737091064	0.31378832	Yes	
row_4	FAS	NA	821	0.8652697205543518	0.32691532	Yes	
row_5	CSF2RA	NA	1438	0.6643092036247253	0.31659192	Yes	
row_6	CCR1	NA	1541	0.6453567147254944	0.33035988	Yes	
row_7	OSMR	NA	2260	0.5235453844070435	0.31107745	Yes	
row_8	CSF3R	NA	2401	0.5044973492622375	0.31895152	Yes	
row_9	CD44	NA	2698	0.46570128202438354	0.31822595	Yes	
row_10	STAM2	NA	2767	0.4598064720630646	0.3282594	Yes	
row_11	PTPN2	NA	2932	0.4425479769706726	0.33319205	Yes	
row_12	CD36	NA	3057	0.4316295087337494	0.33972648	Yes	
row_13	IL13RA1	NA	3169	0.4191976487636566	0.3465247	Yes	
row_14	IFNGR1	NA	3395	0.39587563276290894	0.3471839	Yes	
row_15	STAT2	NA	3782	0.3631540834903717	0.33917937	Yes	
row_16	IL17RB	NA	4026	0.34022361040115356	0.33736682	Yes	
row_17	STAT1	NA	4193	0.3278939127922058	0.33888888	Yes	
row_18	MAP3K8	NA	4451	0.30832603573799133	0.33548304	Yes	
row_19	SOCS1	NA	4738	0.28830185532569885	0.33010817	Yes	
row_20	GRB2	NA	4781	0.28646010160446167	0.3363765	Yes	
row_21	PLA2G2A	NA	4788	0.28620389103889465	0.3443631	Yes	
row_22	CXCL9	NA	4871	0.279132604598999	0.34850213	Yes	
row_23	LEPR	NA	4906	0.2763516306877136	0.3548617	Yes	
row_24	IL6ST	NA	5398	0.2487325519323349	0.3385159	No	
row_25	IL1B	NA	5513	0.24219650030136108	0.34005314	No	
row_26	IL12RB1	NA	5691	0.2324981689453125	0.33829	No	
row_27	LTBR	NA	5708	0.23199033737182617	0.34422994	No	
row_28	PTPN11	NA	5895	0.22181369364261627	0.34172648	No	
row_29	STAT3	NA	6140	0.20923471450805664	0.33607903	No	
row_30	TNFRSF1B	NA	6495	0.1923397332429886	0.32467017	No	
row_31	A2M	NA	6562	0.18891829252243042	0.32696807	No	
row_32	IL10RB	NA	7307	0.16020727157592773	0.29593506	No	
row_33	IL2RA	NA	7518	0.15207570791244507	0.290265	No	
row_34	CSF1	NA	7567	0.15056882798671722	0.29231703	No	
row_35	CXCL3	NA	7639	0.1481127142906189	0.29319555	No	
row_36	CXCL10	NA	7844	0.14033611118793488	0.2874737	No	
row_37	IL6	NA	7852	0.1399361491203308	0.29118374	No	
row_38	PDGFC	NA	8196	0.1271861046552658	0.27841857	No	
row_39	CD9	NA	8244	0.1251981109380722	0.27978507	No	
row_40	CBL	NA	9220	0.0959031730890274	0.23581973	No	
row_41	PTPN1	NA	9307	0.09329982101917267	0.23439454	No	
row_42	CSF2RB	NA	9333	0.09239421039819717	0.23586726	No	
row_43	REG1A	NA	9704	0.08128505945205688	0.2204808	No	
row_44	CCL7	NA	9921	0.07521754503250122	0.2123011	No	
row_45	IL7	NA	9968	0.07395658642053604	0.21223414	No	
row_46	PIK3R5	NA	10254	0.06579041481018066	0.2004743	No	
row_47	CXCL11	NA	10353	0.06295042484998703	0.19759646	No	
row_48	CRLF2	NA	10622	0.055916957557201385	0.1863661	No	
row_49	INHBE	NA	11219	0.040856070816516876	0.15897721	No	
row_50	HMOX1	NA	11426	0.03534865751862526	0.15012425	No	
row_51	ITGB3	NA	11808	0.027599504217505455	0.13265842	No	
row_52	CNTFR	NA	12058	0.022443683817982674	0.12137113	No	
row_53	HAX1	NA	12527	0.013450847938656807	0.09932579	No	
row_54	IRF9	NA	12644	0.011110448278486729	0.09408638	No	
row_55	IL1R2	NA	12653	0.01088101975619793	0.09401746	No	
row_56	CSF2	NA	12870	0.0062157632783055305	0.08384291	No	
row_57	CXCL13	NA	13225	-8.089974871836603E-4	0.06689683	No	
row_58	IL1R1	NA	13439	-0.00444203894585371	0.056814816	No	
row_59	ACVRL1	NA	13889	-0.014658578671514988	0.035715185	No	
row_60	PF4	NA	14213	-0.021524077281355858	0.020854013	No	
row_61	TNFRSF12A	NA	14373	-0.024215450510382652	0.013932212	No	
row_62	TNF	NA	14712	-0.03163309022784233	-0.0013557487	No	
row_63	IFNGR2	NA	15011	-0.04146327078342438	-0.014442062	No	
row_64	IL3RA	NA	15232	-0.04885980486869812	-0.023575505	No	
