NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC4A4	NA	122	1.6298357248306274	0.017945686	No	
row_1	HBEGF	NA	146	1.5503487586975098	0.039500937	No	
row_2	RASGRP1	NA	223	1.3636153936386108	0.05577196	No	
row_3	CCL17	NA	361	1.1786166429519653	0.06639853	No	
row_4	KIF1B	NA	476	1.0686122179031372	0.07652555	No	
row_5	BTG2	NA	593	0.9896204471588135	0.08540142	No	
row_6	ITGB8	NA	690	0.923736035823822	0.09427812	No	
row_7	GPC3	NA	751	0.8974291086196899	0.10450535	No	
row_8	PTAFR	NA	847	0.8529742956161499	0.11239581	No	
row_9	CD40	NA	996	0.8031492829322815	0.11700344	No	
row_10	IL10RA	NA	1035	0.7896730899810791	0.12671578	No	
row_11	CALCRL	NA	1417	0.6684558391571045	0.118124396	No	
row_12	IL1A	NA	1597	0.6331057548522949	0.11875212	No	
row_13	SGMS2	NA	1653	0.61984783411026	0.12516251	No	
row_14	HRH1	NA	1712	0.60750812292099	0.13124794	No	
row_15	EREG	NA	1887	0.5737455487251282	0.13124889	No	
row_16	CXCR6	NA	1893	0.5727438926696777	0.13938056	No	
row_17	NFKBIA	NA	2054	0.5488705039024353	0.13969265	No	
row_18	OSMR	NA	2260	0.5235453844070435	0.13746563	No	
row_19	TNFAIP6	NA	2289	0.5199477672576904	0.14371696	No	
row_20	PLAUR	NA	2318	0.5154783129692078	0.14990297	No	
row_21	MMP14	NA	2326	0.5144058465957642	0.15708543	No	
row_22	KCNMB2	NA	2338	0.5127208232879639	0.16405047	No	
row_23	CSF3R	NA	2401	0.5044973492622375	0.16843723	No	
row_24	RGS16	NA	2439	0.5003218054771423	0.17396788	No	
row_25	ACVR2A	NA	2444	0.49947255849838257	0.18107665	No	
row_26	CD69	NA	2493	0.49227195978164673	0.18595946	No	
row_27	P2RY2	NA	2587	0.4801678955554962	0.18849644	No	
row_28	IRAK2	NA	2884	0.4462747275829315	0.18075387	No	
row_29	RNF144B	NA	3096	0.42586198449134827	0.17680968	No	
row_30	BEST1	NA	3171	0.4187244176864624	0.1793642	No	
row_31	PSEN1	NA	3331	0.4022791385650635	0.17758153	No	
row_32	OPRK1	NA	3506	0.3844306766986847	0.17481498	No	
row_33	MEFV	NA	3787	0.36284953355789185	0.16662404	No	
row_34	SELENOS	NA	3881	0.3548276722431183	0.16732873	No	
row_35	SERPINE1	NA	3894	0.35342898964881897	0.17191696	No	
row_36	EDN1	NA	4075	0.3360848128795624	0.1681545	No	
row_37	CCL20	NA	4123	0.3328487277030945	0.17075495	No	
row_38	GABBR1	NA	4129	0.33256828784942627	0.17537563	No	
row_39	CYBB	NA	4146	0.3310645520687103	0.17944413	No	
row_40	ABI1	NA	4215	0.32569435238838196	0.18092789	No	
row_41	APLNR	NA	4322	0.31689104437828064	0.18045144	No	
row_42	PTGIR	NA	4365	0.3135634660720825	0.18301097	No	
