NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PARP14	NA	606	0.97554612159729	-0.0025968924	No	
row_1	RNF31	NA	907	0.831495463848114	0.0055736923	No	
row_2	CNP	NA	994	0.8031492829322815	0.023238543	No	
row_3	HERC6	NA	1107	0.7641955614089966	0.038599644	No	
row_4	CD47	NA	1935	0.5675922632217407	0.014335996	No	
row_5	TXNIP	NA	2364	0.5093569755554199	0.007628203	No	
row_6	NUB1	NA	2480	0.4937143921852112	0.0155072985	No	
row_7	SLC25A28	NA	2525	0.488436222076416	0.026648311	No	
row_8	IFITM3	NA	3038	0.43395400047302246	0.013866259	No	
row_9	B2M	NA	3208	0.414569228887558	0.017008351	No	
row_10	IFI44	NA	3329	0.4025505483150482	0.022174384	No	
row_11	CASP8	NA	3717	0.36681485176086426	0.013565772	No	
row_12	STAT2	NA	3782	0.3631540834903717	0.020348705	No	
row_13	PSMA3	NA	3902	0.35249584913253784	0.024204722	No	
row_14	EPSTI1	NA	4250	0.3225669264793396	0.016314039	No	
row_15	IFIT3	NA	5092	0.2650395631790161	-0.016829262	No	
row_16	IFITM2	NA	5210	0.2577465772628784	-0.015447865	No	
row_17	RIPK2	NA	6058	0.21415340900421143	-0.05025946	No	
row_18	NCOA7	NA	6131	0.20951911807060242	-0.048028298	No	
row_19	TRIM14	NA	6153	0.2085617631673813	-0.043377187	No	
row_20	TENT5A	NA	6260	0.20351886749267578	-0.042939432	No	
row_21	IFIT2	NA	6373	0.19815200567245483	-0.042935032	No	
row_22	TAP1	NA	6390	0.19742383062839508	-0.038346294	No	
row_23	TRIM5	NA	6731	0.1829637736082077	-0.04968868	No	
row_24	IFIH1	NA	7235	0.16269837319850922	-0.06939823	No	
row_25	ELF1	NA	7299	0.1604548841714859	-0.068066545	No	
row_26	HLA-C	NA	7457	0.15445247292518616	-0.07140588	No	
row_27	CD74	NA	7491	0.15332186222076416	-0.06882893	No	
row_28	CSF1	NA	7567	0.15056882798671722	-0.068340965	No	
row_29	CXCL10	NA	7844	0.14033611118793488	-0.077770434	No	
row_30	RSAD2	NA	8972	0.10217678546905518	-0.12904856	No	
row_31	BATF2	NA	9571	0.08513658493757248	-0.15541849	No	
row_32	GBP2	NA	9965	0.07399899512529373	-0.17225891	No	
row_33	IL7	NA	9968	0.07395658642053604	-0.1703484	No	
row_34	RTP4	NA	10043	0.07166250795125961	-0.1719532	No	
row_35	GBP4	NA	10241	0.06642989814281464	-0.17959896	No	
row_36	CXCL11	NA	10353	0.06295042484998703	-0.1832146	No	
row_37	SAMD9L	NA	10457	0.05965718626976013	-0.18653591	No	
row_38	CMTR1	NA	11246	0.04001762345433235	-0.2232422	No	
row_39	LPAR6	NA	11601	0.031616006046533585	-0.23936206	No	
row_40	TRAFD1	NA	11628	0.030785484239459038	-0.2397738	No	
row_41	HELZ2	NA	11720	0.02889237366616726	-0.24335425	No	
row_42	IL15	NA	12216	0.01937018893659115	-0.2665686	No	
row_43	C1S	NA	12239	0.018950190395116806	-0.2671096	No	
row_44	BST2	NA	12297	0.018122229725122452	-0.26935163	No	
row_45	PSMB8	NA	12454	0.015220814384520054	-0.27642033	No	
row_46	LAMP3	NA	12634	0.01117960549890995	-0.28470176	No	
row_47	IRF9	NA	12644	0.011110448278486729	-0.28483197	No	
row_48	OAS1	NA	12883	0.0055676959455013275	-0.29609522	No	
row_49	SP110	NA	12901	0.0050686015747487545	-0.29677302	No	
row_50	PROCR	NA	12938	0.0041297185234725475	-0.29838753	No	
row_51	IRF2	NA	13245	-0.001045553362928331	-0.3130347	No	
row_52	OASL	NA	13308	-0.0020206060726195574	-0.31595337	No	
row_53	PSME1	NA	13535	-0.007051112130284309	-0.32660088	No	
row_54	IFI35	NA	13995	-0.01671404018998146	-0.34816077	No	
row_55	TMEM140	NA	14545	-0.027962638065218925	-0.37373182	No	
row_56	NMI	NA	14614	-0.02939978614449501	-0.37619543	No	
row_57	PARP9	NA	14960	-0.03963242843747139	-0.39166617	No	
row_58	EIF2AK2	NA	15974	-0.08080729097127914	-0.43805668	No	
row_59	IFI44L	NA	16030	-0.08283647894859314	-0.43844712	No	
row_60	CCRL2	NA	16329	-0.09648789465427399	-0.45012128	No	
row_61	DHX58	NA	17369	-0.15987911820411682	-0.49561352	No	
row_62	PLSCR1	NA	17653	-0.18194884061813354	-0.50424975	Yes	
row_63	DDX60	NA	17668	-0.18302613496780396	-0.4999557	Yes	
row_64	CASP1	NA	17680	-0.1839459091424942	-0.49549282	Yes	
row_65	TRIM25	NA	17889	-0.20403556525707245	-0.49993291	Yes	
row_66	OGFR	NA	17984	-0.2124597132205963	-0.49867707	Yes	
row_67	MX1	NA	18186	-0.23467858135700226	-0.5019501	Yes	
row_68	PSME2	NA	18297	-0.24704231321811676	-0.5005234	Yes	
row_69	CMPK2	NA	18389	-0.25752273201942444	-0.4979011	Yes	
row_70	IRF7	NA	18610	-0.29052892327308655	-0.5005702	Yes	
row_71	MVB12A	NA	18653	-0.2956800162792206	-0.4945627	Yes	
row_72	IFITM1	NA	18843	-0.3275473117828369	-0.49474066	Yes	
row_73	IFI27	NA	19034	-0.36415544152259827	-0.49397343	Yes	
row_74	GMPR	NA	19177	-0.3915468454360962	-0.49016106	Yes	
row_75	IFI30	NA	19203	-0.39834505319595337	-0.48055297	Yes	
row_76	TDRD7	NA	19467	-0.46581360697746277	-0.4805288	Yes	
row_77	UBA7	NA	19493	-0.4708346426486969	-0.4689541	Yes	
row_78	PSMB9	NA	19510	-0.4771532416343689	-0.45677632	Yes	
row_79	UBE2L6	NA	19721	-0.5411186218261719	-0.4521673	Yes	
row_80	IL4R	NA	19912	-0.6201785802841187	-0.4444542	Yes	
row_81	USP18	NA	20017	-0.6674327254295349	-0.43133458	Yes	
row_82	SELL	NA	20034	-0.6800428628921509	-0.41365245	Yes	
row_83	TRIM26	NA	20061	-0.6915393471717834	-0.39613798	Yes	
row_84	ISG20	NA	20166	-0.7538262605667114	-0.38067454	Yes	
row_85	SAMD9	NA	20167	-0.7560718059539795	-0.36016238	Yes	
row_86	ISG15	NA	20216	-0.7890190482139587	-0.34105843	Yes	
row_87	IRF1	NA	20220	-0.7904290556907654	-0.31975806	Yes	
row_88	WARS1	NA	20237	-0.8009931445121765	-0.29879454	Yes	
row_89	PARP12	NA	20462	-1.001400113105774	-0.28236955	Yes	
row_90	LGALS3BP	NA	20485	-1.0289554595947266	-0.25550923	Yes	
row_91	TRIM21	NA	20618	-1.1907421350479126	-0.22953513	Yes	
row_92	ADAR	NA	20627	-1.2119054794311523	-0.19703995	Yes	
row_93	MOV10	NA	20696	-1.3228569030761719	-0.16441222	Yes	
row_94	LAP3	NA	20833	-1.7406632900238037	-0.12371068	Yes	
row_95	PNPT1	NA	20864	-2.014735221862793	-0.070489906	Yes	
row_96	LY6E	NA	20929	-2.7432007789611816	8.634334E-4	Yes	
