NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TNFAIP3	NA	4	2.8138701915740967	0.03677337	No	
row_1	LATS2	NA	423	1.1257160902023315	0.031415522	No	
row_2	SOCS3	NA	572	1.0022804737091064	0.037449386	No	
row_3	PARP14	NA	606	0.97554612159729	0.048674744	No	
row_4	FAS	NA	821	0.8652697205543518	0.04972765	No	
row_5	RNF31	NA	907	0.831495463848114	0.05655433	No	
row_6	CD40	NA	996	0.8031492829322815	0.06286403	No	
row_7	IL10RA	NA	1035	0.7896730899810791	0.07140656	No	
row_8	HERC6	NA	1107	0.7641955614089966	0.07802387	No	
row_9	DDX58	NA	1182	0.739311158657074	0.084169686	No	
row_10	MARCHF1	NA	1632	0.6246509552001953	0.070735164	No	
row_11	NFKBIA	NA	2054	0.5488705039024353	0.05765463	No	
row_12	BANK1	NA	2155	0.53607577085495	0.059877384	No	
row_13	SELP	NA	2169	0.5346932411193848	0.06627515	No	
row_14	TNFAIP6	NA	2289	0.5199477672576904	0.06737027	No	
row_15	TXNIP	NA	2364	0.5093569755554199	0.07049515	No	
row_16	CD69	NA	2493	0.49227195978164673	0.07079292	No	
row_17	SLC25A28	NA	2525	0.488436222076416	0.075715445	No	
row_18	CFB	NA	2856	0.44838687777519226	0.065700814	No	
row_19	ZBP1	NA	2876	0.44641026854515076	0.07064961	No	
row_20	PTPN2	NA	2932	0.4425479769706726	0.07381256	No	
row_21	SSPN	NA	2946	0.44154274463653564	0.07898659	No	
row_22	GBP6	NA	2994	0.4391268491744995	0.082490176	No	
row_23	IFITM3	NA	3038	0.43395400047302246	0.0861186	No	
row_24	JAK2	NA	3044	0.4332467317581177	0.09156923	No	
row_25	METTL7B	NA	3130	0.4224112033843994	0.09302171	No	
row_26	B2M	NA	3208	0.414569228887558	0.09475676	No	
row_27	XCL1	NA	3245	0.41071903705596924	0.09841732	No	
row_28	LYSMD2	NA	3287	0.4066541790962219	0.10178349	No	
row_29	IFI44	NA	3329	0.4025505483150482	0.10509575	No	
row_30	CASP8	NA	3717	0.36681485176086426	0.09126224	No	
row_31	STAT2	NA	3782	0.3631540834903717	0.092948414	No	
row_32	PSMA3	NA	3902	0.35249584913253784	0.0918437	No	
row_33	CD86	NA	4056	0.33769553899765015	0.08890584	No	
row_34	STAT1	NA	4193	0.3278939127922058	0.08665858	No	
row_35	EPSTI1	NA	4250	0.3225669264793396	0.08819713	No	
row_36	IDO1	NA	4251	0.32256025075912476	0.09243464	No	
row_37	IFNAR2	NA	4482	0.3059012293815613	0.085367896	No	
row_38	VAMP8	NA	4497	0.3040902316570282	0.088688	No	
row_39	NUP93	NA	4641	0.29441550374031067	0.08566354	No	
row_40	SOCS1	NA	4738	0.28830185532569885	0.08482405	No	
row_41	CXCL9	NA	4871	0.279132604598999	0.082128994	No	
row_42	SLAMF7	NA	4900	0.2770765423774719	0.08441945	No	
row_43	MT2A	NA	5050	0.2676723003387451	0.08075448	No	
row_44	IFIT3	NA	5092	0.2650395631790161	0.08226024	No	
row_45	VAMP5	NA	5175	0.2604312598705292	0.081729375	No	
row_46	HLA-DQA1	NA	5191	0.2591421604156494	0.084410794	No	
row_47	IFITM2	NA	5210	0.2577465772628784	0.08692929	No	
row_48	IFIT1	NA	5536	0.24097219109535217	0.07443081	No	
row_49	SAMHD1	NA	5695	0.23244968056678772	0.06986934	No	
row_50	RBCK1	NA	5742	0.23038630187511444	0.070678875	No	
row_51	PDE4B	NA	5949	0.2191278636455536	0.06362891	No	
row_52	XAF1	NA	5954	0.218990758061409	0.066313036	No	
row_53	RIPK2	NA	6058	0.21415340900421143	0.06416206	No	
row_54	STAT3	NA	6140	0.20923471450805664	0.06300681	No	
