NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TNFAIP3	NA	4	2.8138701915740967	0.041987497	Yes	
row_1	HBEGF	NA	146	1.5503487586975098	0.0584316	Yes	
row_2	ALDH1A2	NA	157	1.523078203201294	0.08078077	Yes	
row_3	SPP1	NA	341	1.1973841190338135	0.08990959	Yes	
row_4	TSPAN13	NA	453	1.0956884622573853	0.10098419	Yes	
row_5	BIRC3	NA	485	1.0583651065826416	0.115355104	Yes	
row_6	MPZL2	NA	494	1.0488805770874023	0.1306924	Yes	
row_7	ZNF277	NA	513	1.0379568338394165	0.14538394	Yes	
row_8	RABGAP1L	NA	680	0.9274303913116455	0.15128548	Yes	
row_9	ETV4	NA	715	0.9149782657623291	0.16336241	Yes	
row_10	SERPINA3	NA	839	0.8589266538619995	0.17030956	Yes	
row_11	CXCR4	NA	842	0.8565343022346497	0.18305272	Yes	
row_12	HDAC9	NA	953	0.8167749047279358	0.18999457	Yes	
row_13	AVL9	NA	1011	0.7991064190864563	0.19922604	Yes	
row_14	IL10RA	NA	1035	0.7896730899810791	0.2099548	Yes	
row_15	CSF2RA	NA	1438	0.6643092036247253	0.20053752	Yes	
row_16	SATB1	NA	1449	0.6630268096923828	0.2099944	Yes	
row_17	MAFB	NA	1496	0.6538441777229309	0.21757853	Yes	
row_18	NRP1	NA	1707	0.6092678904533386	0.21659008	Yes	
row_19	ETV1	NA	1721	0.6057826280593872	0.22504428	Yes	
row_20	EREG	NA	1887	0.5737455487251282	0.22569223	Yes	
row_21	SOX9	NA	1936	0.5672563910484314	0.23188199	Yes	
row_22	BMP2	NA	1940	0.5665690898895264	0.24023035	Yes	
row_23	EMP1	NA	1961	0.5622641444206238	0.24769482	Yes	
row_24	TOR1AIP2	NA	2061	0.5478061437606812	0.25113496	Yes	
row_25	PLAUR	NA	2318	0.5154783129692078	0.24652351	Yes	
row_26	RGS16	NA	2439	0.5003218054771423	0.24823971	Yes	
row_27	STRN	NA	2446	0.49902570247650146	0.255431	Yes	
row_28	EVI5	NA	2507	0.49070683121681213	0.2598949	Yes	
row_29	CCSER2	NA	2515	0.4896179437637329	0.26689696	Yes	
row_30	ID2	NA	2668	0.46933671832084656	0.26660636	Yes	
row_31	CAB39L	NA	2738	0.4621521234512329	0.27020848	Yes	
row_32	PRKG2	NA	2787	0.4564491808414459	0.27473724	Yes	
row_33	VWA5A	NA	2790	0.45561978220939636	0.28147063	Yes	
row_34	H2BC3	NA	2828	0.4517538845539093	0.28645918	Yes	
row_35	CFB	NA	2856	0.44838687777519226	0.29187924	Yes	
row_36	LY96	NA	2874	0.4464508593082428	0.29775223	Yes	
row_37	KLF4	NA	3106	0.42453503608703613	0.29298246	Yes	
row_38	EPHB2	NA	3213	0.41358286142349243	0.2940732	Yes	
row_39	GLRX	NA	3243	0.4109031856060028	0.29883498	Yes	
row_40	ANKH	NA	3251	0.409939706325531	0.30464265	Yes	
row_41	AMMECR1	NA	3312	0.40425676107406616	0.30781066	Yes	
row_42	ABCB1	NA	3343	0.40081360936164856	0.31237298	Yes	
row_43	FGF9	NA	3379	0.3967737555503845	0.31663376	Yes	
row_44	NR1H4	NA	3398	0.3955608010292053	0.32169572	Yes	
row_45	SEMA3B	NA	3463	0.387373149394989	0.32441786	Yes	
row_46	PIGR	NA	3469	0.3872623145580292	0.32998198	Yes	
row_47	F13A1	NA	3662	0.37091660499572754	0.32628816	Yes	
row_48	MYCN	NA	3744	0.3655981123447418	0.32786456	Yes	
row_49	SNAP25	NA	3762	0.3643381893634796	0.33250666	Yes	
row_50	WDR33	NA	3904	0.3518122434616089	0.33098453	Yes	
row_51	ALDH1A3	NA	3934	0.3485700786113739	0.33481193	Yes	
row_52	TSPAN1	NA	4024	0.3402511179447174	0.33562276	Yes	
row_53	ADGRL4	NA	4041	0.3385802209377289	0.339927	Yes	
row_54	CCL20	NA	4123	0.3328487277030945	0.34101242	Yes	
row_55	PTBP2	NA	4231	0.3244209885597229	0.34071842	Yes	
row_56	JUP	NA	4242	0.3233674168586731	0.34508377	Yes	
row_57	RELN	NA	4315	0.3172842264175415	0.34636968	Yes	
row_58	IGFBP3	NA	4396	0.31131571531295776	0.34718055	Yes	
row_59	KIF5C	NA	4573	0.30001068115234375	0.34319502	Yes	
row_60	TPH1	NA	4628	0.2956155240535736	0.34502366	Yes	
row_61	CROT	NA	4768	0.28720468282699585	0.34262946	Yes	
row_62	DCBLD2	NA	4924	0.27482226490974426	0.3392785	Yes	
row_63	LAT2	NA	4943	0.2730144262313843	0.34250346	Yes	
row_64	USH1C	NA	4946	0.2725934088230133	0.34649327	Yes	
row_65	PRRX1	NA	5061	0.26691934466362	0.3449999	Yes	
row_66	MMD	NA	5065	0.2661720812320709	0.34884527	Yes	
row_67	PLEK2	NA	5262	0.25483018159866333	0.34321854	No	
row_68	ANXA10	NA	5424	0.24764427542686462	0.33917096	No	
row_69	IL1B	NA	5513	0.24219650030136108	0.33856016	No	
