NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BIRC5	NA	21	2.2870256900787354	0.027140673	Yes	
row_1	NEK2	NA	37	2.093432903289795	0.05218743	Yes	
row_2	KIF23	NA	58	1.9621713161468506	0.07537742	Yes	
row_3	NUSAP1	NA	77	1.823655366897583	0.09695869	Yes	
row_4	BUB1	NA	106	1.687174677848816	0.116377965	Yes	
row_5	CCNB2	NA	107	1.6838237047195435	0.13710545	Yes	
row_6	TTK	NA	142	1.5547624826431274	0.1546056	Yes	
row_7	AURKA	NA	185	1.4332332611083984	0.17022419	Yes	
row_8	PRC1	NA	199	1.4078001976013184	0.18692735	Yes	
row_9	MARCKS	NA	213	1.3721375465393066	0.20319152	Yes	
row_10	APC	NA	249	1.3212144374847412	0.21776854	Yes	
row_11	CDK1	NA	305	1.2379765510559082	0.23035702	Yes	
row_12	KIF20B	NA	372	1.1700519323349	0.24157922	Yes	
row_13	SEPTIN9	NA	430	1.1160049438476562	0.25256985	Yes	
row_14	KIF1B	NA	476	1.0686122179031372	0.26355547	Yes	
row_15	TOP2A	NA	484	1.0583651065826416	0.27624634	Yes	
row_16	EPB41L2	NA	520	1.0315076112747192	0.28725713	Yes	
row_17	PPP4R2	NA	613	0.973721444606781	0.29480946	Yes	
row_18	CCDC88A	NA	618	0.9692491292953491	0.30654794	Yes	
row_19	ALMS1	NA	637	0.9549658298492432	0.31743583	Yes	
row_20	PLK1	NA	733	0.9070835709571838	0.3240233	Yes	
row_21	ARHGEF12	NA	762	0.8933836817741394	0.33367118	Yes	
row_22	OPHN1	NA	909	0.8305529356002808	0.33685863	Yes	
row_23	CLIP1	NA	939	0.8203976154327393	0.34555987	Yes	
row_24	SORBS2	NA	991	0.8043785691261292	0.35300365	Yes	
row_25	NEDD9	NA	1081	0.7746574282646179	0.35825014	Yes	
row_26	TRIO	NA	1179	0.7402054667472839	0.36268696	Yes	
row_27	KIF2C	NA	1187	0.7369341254234314	0.3714211	Yes	
row_28	ECT2	NA	1233	0.7227389216423035	0.37814906	Yes	
row_29	KIF11	NA	1244	0.719404399394989	0.38652283	Yes	
row_30	FARP1	NA	1280	0.7092951536178589	0.39356726	Yes	
row_31	TPX2	NA	1319	0.6999484896659851	0.40035206	Yes	
row_32	FBXO5	NA	1355	0.6900830864906311	0.40715998	Yes	
row_33	SSH2	NA	1548	0.6438729166984558	0.40583247	Yes	
row_34	PIF1	NA	1562	0.6409906148910522	0.41309637	Yes	
row_35	NF1	NA	1584	0.6357342004776001	0.41991	Yes	
row_36	ARHGAP29	NA	1587	0.6350565552711487	0.42763105	Yes	
row_37	CENPE	NA	1617	0.6276475787162781	0.43395957	Yes	
row_38	MID1	NA	1638	0.6240750551223755	0.4406779	Yes	
row_39	CEP57	NA	1719	0.6063653230667114	0.44428653	Yes	
row_40	AKAP13	NA	1728	0.6035611033439636	0.45133066	Yes	
row_41	CYTH2	NA	1983	0.5585223436355591	0.4459644	Yes	
row_42	ARHGEF7	NA	2203	0.5314525961875916	0.44195172	Yes	
row_43	NUMA1	NA	2561	0.48344334959983826	0.43069714	Yes	
row_44	NDC80	NA	2603	0.4778633117675781	0.43460354	Yes	
row_45	CDC27	NA	2624	0.4762834310531616	0.4395026	Yes	
row_46	RANBP9	NA	2705	0.46562331914901733	0.44137868	Yes	
row_47	NCK1	NA	2796	0.4550749957561493	0.44264302	Yes	
row_48	KIF22	NA	2913	0.44404202699661255	0.44251844	Yes	
row_49	KIF4A	NA	3114	0.4235500693321228	0.43809322	Yes	
row_50	ANLN	NA	3250	0.40994054079055786	0.43663317	Yes	
row_51	RICTOR	NA	3283	0.4067123234272003	0.44009745	Yes	
row_52	RABGAP1	NA	3308	0.4043159782886505	0.4439178	Yes	
row_53	DLGAP5	NA	3340	0.40094488859176636	0.4473593	Yes	
row_54	ESPL1	NA	3388	0.3962714970111847	0.44997215	Yes	
