NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HMGCS1	NA	18	2.38143253326416	0.022282995	No	
row_1	BUB1	NA	106	1.687174677848816	0.0344913	No	
row_2	IDI1	NA	175	1.460959553718567	0.04541626	No	
row_3	AURKA	NA	185	1.4332332611083984	0.05891533	No	
row_4	CCNG1	NA	339	1.19875168800354	0.06319451	No	
row_5	ELOVL5	NA	374	1.1681174039840698	0.07291139	No	
row_6	CYP51A1	NA	405	1.1350727081298828	0.08249981	No	
row_7	DAPP1	NA	455	1.0919667482376099	0.09075344	No	
row_8	BTG2	NA	593	0.9896204471588135	0.093770765	No	
row_9	INSIG1	NA	678	0.9304239749908447	0.09876708	No	
row_10	PLK1	NA	733	0.9070835709571838	0.10498243	No	
row_11	CXCR4	NA	842	0.8565343022346497	0.10810371	No	
row_12	STARD4	NA	1013	0.7984753847122192	0.10767234	No	
row_13	CCNF	NA	1080	0.7749715447425842	0.112025015	No	
row_14	SYTL2	NA	1223	0.727474570274353	0.11225296	No	
row_15	ABCF2	NA	1274	0.7116379141807556	0.11676112	No	
row_16	PPIA	NA	1403	0.6725794076919556	0.11713017	No	
row_17	EBP	NA	1444	0.6638338565826416	0.12165558	No	
row_18	FKBP2	NA	1454	0.662385880947113	0.12766103	No	
row_19	ATP6V1D	NA	1463	0.6599881649017334	0.13369139	No	
row_20	MTHFD2L	NA	1539	0.6453567147254944	0.13635026	No	
row_21	TCEA1	NA	1689	0.612493634223938	0.13512306	No	
row_22	SEC11A	NA	2271	0.5227254629135132	0.11220192	No	
row_23	SQLE	NA	2286	0.5199980735778809	0.1165822	No	
row_24	HMGCR	NA	2303	0.5175880789756775	0.12084265	No	
row_25	SLC37A4	NA	2330	0.5136479735374451	0.12458283	No	
row_26	PSPH	NA	2350	0.5104405879974365	0.12862921	No	
row_27	QDPR	NA	2585	0.48034602403640747	0.12202059	No	
row_28	ACSL3	NA	2868	0.4470890462398529	0.11277519	No	
row_29	GLA	NA	2984	0.4397938549518585	0.11150784	No	
row_30	TES	NA	3039	0.43367427587509155	0.11312105	No	
row_31	SERP1	NA	3087	0.4271154999732971	0.11500787	No	
row_32	SKAP2	NA	3192	0.41626662015914917	0.114041984	No	
row_33	GLRX	NA	3243	0.4109031856060028	0.11562661	No	
row_34	STC1	NA	3766	0.3643092215061188	0.09400911	No	
row_35	MAP2K3	NA	3796	0.3623300790786743	0.096133694	No	
row_36	P4HA1	NA	3870	0.35619503259658813	0.09607795	No	
row_37	NFYC	NA	3891	0.35364383459091187	0.09855187	No	
row_38	PSMA3	NA	3902	0.35249584913253784	0.1014966	No	
row_39	TFRC	NA	3910	0.35150957107543945	0.104576334	No	
row_40	PSMC6	NA	4036	0.3390878736972809	0.10184803	No	
row_41	RAB1A	NA	4110	0.3335024416446686	0.10157168	No	
row_42	PDAP1	NA	4328	0.316615492105484	0.09419075	No	
row_43	SC5D	NA	4662	0.29320818185806274	0.080991365	No	
row_44	IGFBP5	NA	4682	0.2921627461910248	0.082915805	No	
row_45	CYB5B	NA	4688	0.291798859834671	0.085511476	No	
row_46	ARPC5L	NA	4771	0.2870714068412781	0.08434998	No	
row_47	RDH11	NA	5517	0.2420503795146942	0.050795946	No	
row_48	CACYBP	NA	5781	0.22801943123340607	0.040336665	No	
row_49	SQSTM1	NA	5944	0.21922366321086884	0.034659814	No	
row_50	DHFR	NA	6175	0.20788346230983734	0.0255953	No	
row_51	LDLR	NA	6181	0.20783385634422302	0.027374722	No	
row_52	PLOD2	NA	6229	0.20503060519695282	0.0271026	No	
row_53	ACTR2	NA	6339	0.19952629506587982	0.023788732	No	
row_54	HSP90B1	NA	6385	0.19755996763706207	0.023540381	No	
row_55	UCHL5	NA	6479	0.19277603924274445	0.02093205	No	
row_56	IFRD1	NA	6705	0.18370644748210907	0.011873491	No	
row_57	CDC25A	NA	6853	0.17758747935295105	0.006514847	No	
row_58	ME1	NA	6919	0.17469145357608795	0.0050802375	No	
row_59	HPRT1	NA	7029	0.17099887132644653	0.0014890451	No	
row_60	GSK3B	NA	7883	0.13858063519001007	-0.038276173	No	
row_61	RIT1	NA	8026	0.13382121920585632	-0.043819293	No	
row_62	HSPD1	NA	8029	0.13375362753868103	-0.042615432	No	
row_63	FADS2	NA	8030	0.13355271518230438	-0.04131713	No	
row_64	XBP1	NA	8189	0.12735772132873535	-0.047694243	No	
row_65	GCLC	NA	8207	0.12689782679080963	-0.04727999	No	
row_66	CD9	NA	8244	0.1251981109380722	-0.047798015	No	
row_67	NAMPT	NA	8388	0.11994051933288574	-0.05352427	No	
row_68	TM7SF2	NA	8436	0.11822886019945145	-0.054640215	No	
row_69	ACTR3	NA	8467	0.11725117266178131	-0.054946307	No	
row_70	HSPA4	NA	8950	0.1027613952755928	-0.07717849	No	
row_71	EGLN3	NA	9018	0.10077795386314392	-0.079428025	No	
row_72	PSMD14	NA	9112	0.09874580800533295	-0.08295045	No	
row_73	PSMA4	NA	9258	0.09460753202438354	-0.08901937	No	
row_74	TRIB3	NA	9326	0.09271319210529327	-0.09134731	No	
row_75	SLC2A1	NA	9617	0.08390441536903381	-0.1045089	No	
row_76	GTF2H1	NA	9998	0.07308182865381241	-0.12211347	No	
row_77	EDEM1	NA	10096	0.06976832449436188	-0.12611039	No	
row_78	SLA	NA	10118	0.06942388415336609	-0.12644765	No	
row_79	COPS5	NA	10136	0.06923779100179672	-0.12659392	No	
row_80	POLR3G	NA	10388	0.06159738078713417	-0.13809267	No	
row_81	GGA2	NA	10426	0.060745224356651306	-0.13928545	No	
row_82	ADIPOR2	NA	11142	0.04243949055671692	-0.17333403	No	
row_83	CALR	NA	11529	0.03300049155950546	-0.19161743	No	
row_84	IDH1	NA	11743	0.028493696823716164	-0.20160648	No	
row_85	UFM1	NA	11762	0.028210807591676712	-0.2021998	No	
row_86	FADS1	NA	11927	0.02493467554450035	-0.20986177	No	
row_87	UBE2D3	NA	12290	0.018122229725122452	-0.22713307	No	
row_88	NUPR1	NA	12738	0.009203130379319191	-0.24858785	No	
