NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCNA2	NA	92	1.7476638555526733	0.013798296	No	
row_1	XPO1	NA	149	1.5390422344207764	0.027155261	No	
row_2	FAM120A	NA	215	1.3697516918182373	0.03831233	No	
row_3	CDC20	NA	277	1.2672441005706787	0.04859278	No	
row_4	RPS10	NA	794	0.8764365911483765	0.032866318	No	
row_5	G3BP1	NA	1028	0.7934141755104065	0.029913591	No	
row_6	HNRNPR	NA	1099	0.7660540342330933	0.034531612	No	
row_7	PPIA	NA	1403	0.6725794076919556	0.026944462	No	
row_8	GSPT1	NA	1526	0.6474606394767761	0.027818995	No	
row_9	TFDP1	NA	1659	0.6190351247787476	0.027915005	No	
row_10	SRSF3	NA	1686	0.6136530637741089	0.03306379	No	
row_11	BUB3	NA	1698	0.6105612516403198	0.038903285	No	
row_12	UBE2E1	NA	2327	0.5140480995178223	0.013998102	No	
row_13	SRSF1	NA	2462	0.4958445131778717	0.012712534	No	
row_14	HNRNPD	NA	2486	0.4932793378829956	0.016750118	No	
row_15	UBE2L3	NA	2877	0.44629767537117004	0.0026091144	No	
row_16	HNRNPU	NA	3001	0.43779563903808594	0.0012481242	No	
row_17	SSBP1	NA	3754	0.3648666441440582	-0.03118987	No	
row_18	HNRNPC	NA	3868	0.3564393222332001	-0.032917634	No	
row_19	PSMC6	NA	4036	0.3390878736972809	-0.037429076	No	
row_20	MAD2L1	NA	4054	0.33774334192276	-0.034724936	No	
row_21	USP1	NA	4247	0.3229932188987732	-0.04060922	No	
row_22	CLNS1A	NA	4490	0.3053552806377411	-0.049087383	No	
row_23	EIF4E	NA	4735	0.28874513506889343	-0.057835225	No	
row_24	COX5A	NA	4803	0.28483691811561584	-0.0580929	No	
row_25	RPS3	NA	5233	0.2566213011741638	-0.07609239	No	
row_26	DUT	NA	5418	0.24775287508964539	-0.08237605	No	
row_27	VDAC3	NA	5522	0.24181720614433289	-0.084817626	No	
row_28	KPNA2	NA	5587	0.23829396069049835	-0.085416265	No	
row_29	EIF4G2	NA	5658	0.2342551350593567	-0.086346224	No	
row_30	NHP2	NA	6363	0.19874604046344757	-0.11820379	No	
row_31	PRDX3	NA	6395	0.19710426032543182	-0.11764163	No	
row_32	PRPS2	NA	6578	0.18814410269260406	-0.12445075	No	
row_33	IFRD1	NA	6705	0.18370644748210907	-0.12860711	No	
row_34	PCNA	NA	6737	0.18284296989440918	-0.12819372	No	
row_35	SNRPG	NA	6830	0.1785242259502411	-0.13076544	No	
row_36	XRCC6	NA	6889	0.17609092593193054	-0.13172382	No	
row_37	HPRT1	NA	7029	0.17099887132644653	-0.13663933	No	
row_38	DEK	NA	7066	0.16976723074913025	-0.13660334	No	
row_39	MRPL9	NA	7221	0.16315853595733643	-0.1423236	No	
row_40	KPNB1	NA	7442	0.1546727418899536	-0.15131341	No	
row_41	RPL14	NA	7854	0.13986605405807495	-0.1696634	No	
row_42	HSPD1	NA	8029	0.13375362753868103	-0.17665437	No	
row_43	CBX3	NA	8093	0.1313294917345047	-0.1783207	No	
row_44	CAD	NA	8111	0.13071326911449432	-0.1777764	No	
row_45	CCT4	NA	8298	0.1237298771739006	-0.18545032	No	
row_46	SERBP1	NA	8607	0.11362846940755844	-0.19910969	No	
row_47	RANBP1	NA	8696	0.11133111268281937	-0.20218961	No	
row_48	HDGF	NA	9019	0.10077795386314392	-0.2166578	No	
row_49	PABPC1	NA	9033	0.10040532052516937	-0.2162369	No	
row_50	PSMD14	NA	9112	0.09874580800533295	-0.21896613	No	
row_51	PSMA4	NA	9258	0.09460753202438354	-0.22496776	No	
row_52	RPLP0	NA	9351	0.09178215265274048	-0.22844441	No	
row_53	PTGES3	NA	9432	0.09013818204402924	-0.23135984	No	
row_54	PSMA6	NA	9736	0.08044882118701935	-0.24512438	No	
row_55	COPS5	NA	10136	0.06923779100179672	-0.26363283	No	
row_56	LSM2	NA	10262	0.06552718579769135	-0.2689739	No	
row_57	SNRPD3	NA	10298	0.06468874216079712	-0.26998594	No	
row_58	NAP1L1	NA	10355	0.06292834877967834	-0.2720285	No	
row_59	EIF1AX	NA	10367	0.06226746737957001	-0.27190906	No	
row_60	SNRPB2	NA	10419	0.060807161033153534	-0.27373275	No	
row_61	SRSF7	NA	10554	0.057370055466890335	-0.2795927	No	
row_62	GLO1	NA	10867	0.0495201051235199	-0.2941137	No	
row_63	CDK2	NA	10916	0.0483085997402668	-0.29592317	No	
row_64	CDC45	NA	10923	0.04794275388121605	-0.2957122	No	
row_65	MRPL23	NA	11386	0.036323823034763336	-0.31760046	No	
row_66	SET	NA	11402	0.03594907745718956	-0.3179484	No	
row_67	EXOSC7	NA	11536	0.03284968435764313	-0.32401595	No	
row_68	RPL18	NA	11592	0.031782541424036026	-0.32633522	No	
row_69	ACP1	NA	11735	0.028575066477060318	-0.33288115	No	
row_70	VBP1	NA	11970	0.02397129498422146	-0.34390926	No	
row_71	PSMA7	NA	12178	0.020287849009037018	-0.35367447	No	
row_72	HNRNPA2B1	NA	12251	0.018715957179665565	-0.35694945	No	
row_73	HNRNPA3	NA	12295	0.018122229725122452	-0.35883287	No	
row_74	CYC1	NA	12452	0.015266021713614464	-0.3661924	No	
