NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MYO1C	NA	97	1.7271451950073242	0.02487298	Yes	
row_1	HBEGF	NA	146	1.5503487586975098	0.049082987	Yes	
row_2	IGF1	NA	198	1.416330099105835	0.070855595	Yes	
row_3	SORBS1	NA	230	1.3473416566848755	0.0924119	Yes	
row_4	DAPK2	NA	342	1.1969667673110962	0.10753978	Yes	
row_5	FST	NA	363	1.1782861948013306	0.12673405	Yes	
row_6	PDE4DIP	NA	718	0.9136582612991333	0.12530309	Yes	
row_7	ACTN2	NA	740	0.9056748151779175	0.1397853	Yes	
row_8	EPHB3	NA	873	0.8461151123046875	0.14789864	Yes	
row_9	ACHE	NA	959	0.8151254653930664	0.15774709	Yes	
row_10	GABARAPL2	NA	1084	0.7741682529449463	0.16501513	Yes	
row_11	MEF2A	NA	1237	0.7208808064460754	0.17002201	Yes	
row_12	ITGB1	NA	1276	0.71098792552948	0.18035415	Yes	
row_13	MYH11	NA	1316	0.7010030150413513	0.19046725	Yes	
row_14	GADD45B	NA	1366	0.6861884593963623	0.19984494	Yes	
row_15	ERBB3	NA	1378	0.682409405708313	0.21098949	Yes	
row_16	TPM3	NA	1513	0.6497694849967957	0.21564734	Yes	
row_17	NOS1	NA	1772	0.5939348340034485	0.21337348	Yes	
row_18	CAMK2B	NA	1823	0.5840907096862793	0.22095628	Yes	
row_19	ADAM12	NA	1883	0.5742204189300537	0.22793645	Yes	
row_20	SLC6A8	NA	2381	0.5073057413101196	0.21266136	Yes	
row_21	NAV2	NA	2491	0.4930201768875122	0.21584246	Yes	
row_22	SPDEF	NA	2575	0.48179006576538086	0.22008458	Yes	
row_23	MYL1	NA	2611	0.4776964783668518	0.22657013	Yes	
row_24	NCAM1	NA	2643	0.4724161922931671	0.23315814	Yes	
row_25	PSEN2	NA	2764	0.4598064720630646	0.23524085	Yes	
row_26	HDAC5	NA	2793	0.4552769958972931	0.24168023	Yes	
row_27	SSPN	NA	2946	0.44154274463653564	0.24190818	Yes	
row_28	CD36	NA	3057	0.4316295087337494	0.24399081	Yes	
row_29	ITGB5	NA	3177	0.41813161969184875	0.24540874	Yes	
row_30	SCHIP1	NA	3325	0.40276291966438293	0.24521422	Yes	
row_31	DTNA	NA	3605	0.3742859661579132	0.23817046	Yes	
row_32	SIRT2	NA	3670	0.37034866213798523	0.24142177	Yes	
row_33	CLU	NA	3689	0.36924463510513306	0.2468713	Yes	
row_34	FXYD1	NA	3775	0.3638734519481659	0.24899969	Yes	
row_35	FDPS	NA	3806	0.3614130914211273	0.25373685	Yes	
row_36	MYH2	NA	3915	0.35043710470199585	0.25452682	Yes	
row_37	MYLK	NA	4042	0.3385802209377289	0.2542464	Yes	
row_38	CASQ1	NA	4078	0.3360501825809479	0.25830868	Yes	
row_39	APLNR	NA	4322	0.31689104437828064	0.2520181	Yes	
row_40	IGFBP3	NA	4396	0.31131571531295776	0.2538257	Yes	
row_41	MYH7	NA	4524	0.3029755651950836	0.25288793	Yes	
row_42	APP	NA	4751	0.28778401017189026	0.24691877	Yes	
row_43	AGRN	NA	4772	0.2870714068412781	0.25086606	Yes	
