NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSEN2	NA	2764	0.4598064720630646	-0.092578046	No	
row_1	MAML2	NA	3566	0.3780277669429779	-0.09834212	No	
row_2	FZD7	NA	3947	0.34629058837890625	-0.08670928	No	
row_3	JAG1	NA	4492	0.3049568831920624	-0.08647438	No	
row_4	CCND1	NA	4927	0.2745518684387207	-0.08359692	No	
row_5	TCF7L2	NA	5368	0.24993108212947845	-0.08312511	No	
row_6	WNT5A	NA	5404	0.2486473023891449	-0.06340061	No	
row_7	DLL1	NA	5593	0.23805473744869232	-0.051902656	No	
row_8	RBX1	NA	5820	0.22532619535923004	-0.04331687	No	
row_9	APH1A	NA	6044	0.21472316980361938	-0.03550012	No	
row_10	PPARD	NA	6115	0.21024416387081146	-0.020753844	No	
row_11	ST3GAL6	NA	6791	0.18018850684165955	-0.037519295	No	
row_12	LFNG	NA	7005	0.17153355479240417	-0.03294121	No	
row_13	FZD1	NA	8473	0.1171649619936943	-0.09299603	No	
row_14	PSENEN	NA	10354	0.06294112652540207	-0.17746285	No	
row_15	WNT2	NA	10765	0.052189603447914124	-0.19257379	No	
row_16	SKP1	NA	11061	0.04419130086898804	-0.20287484	No	
row_17	PRKCA	NA	11916	0.025311963632702827	-0.24152656	No	
row_18	NOTCH1	NA	14783	-0.033348724246025085	-0.37568095	No	
row_19	SAP30	NA	15142	-0.04532291740179062	-0.38889667	No	
row_20	DTX4	NA	15164	-0.046318914741277695	-0.38591462	No	
row_21	CUL1	NA	16011	-0.08201450854539871	-0.4193042	No	
row_22	HEYL	NA	17482	-0.16783110797405243	-0.47514227	Yes	
row_23	DTX2	NA	17619	-0.17951232194900513	-0.46619615	Yes	
row_24	HES1	NA	17674	-0.18322011828422546	-0.45301053	Yes	
row_25	NOTCH2	NA	17854	-0.20221346616744995	-0.44416666	Yes	
row_26	FZD5	NA	18176	-0.23356123268604279	-0.43941417	Yes	
row_27	FBXW11	NA	18597	-0.28767862915992737	-0.4347377	Yes	
row_28	NOTCH3	NA	18679	-0.29959455132484436	-0.41282812	Yes	
row_29	ARRB1	NA	19532	-0.4826345145702362	-0.41202837	Yes	
row_30	KAT2A	NA	20810	-1.6096222400665283	-0.33456275	Yes	
row_31	DTX1	NA	20945	-3.9632411003112793	9.5559924E-5	Yes	
