NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDUFS8	NA	203	1.3915289640426636	0.010918185	No	
row_1	PHYH	NA	253	1.312058448791504	0.02807613	No	
row_2	COX5B	NA	471	1.0800714492797852	0.03368603	No	
row_3	NDUFA5	NA	501	1.0457016229629517	0.047845285	No	
row_4	NDUFA2	NA	609	0.9753879904747009	0.057199266	No	
row_5	SLC25A20	NA	925	0.8257521390914917	0.054302532	No	
row_6	OGDH	NA	985	0.8067427277565002	0.06346094	No	
row_7	ALDH6A1	NA	1102	0.7649551630020142	0.069250554	No	
row_8	AFG3L2	NA	1155	0.74824458360672	0.077876054	No	
row_9	NDUFC2	NA	1263	0.714665949344635	0.08335127	No	
row_10	MPC1	NA	1332	0.6973892450332642	0.09044907	No	
row_11	ATP6V1D	NA	1463	0.6599881649017334	0.09400236	No	
row_12	CYB5A	NA	1782	0.5921988487243652	0.08748647	No	
row_13	TIMM17A	NA	1895	0.5727438926696777	0.090609334	No	
row_14	NDUFB1	NA	2114	0.539573073387146	0.088130035	No	
row_15	SDHD	NA	2193	0.5325215458869934	0.09229314	No	
row_16	IDH3A	NA	2269	0.5228259563446045	0.0964566	No	
row_17	MGST3	NA	2276	0.5218986868858337	0.103931725	No	
row_18	ATP5PO	NA	2470	0.4951530992984772	0.10199647	No	
row_19	ATP6V1C1	NA	2528	0.4877832233905792	0.1065061	No	
row_20	ATP6V1H	NA	2614	0.4772832691669464	0.109510064	No	
row_21	UQCR11	NA	2631	0.4748461842536926	0.115803234	No	
row_22	COX6C	NA	2718	0.46416378021240234	0.11856383	No	
row_23	HCCS	NA	2819	0.45272189378738403	0.120479465	No	
row_24	NNT	NA	2858	0.44837501645088196	0.12531853	No	
row_25	COX7C	NA	3442	0.3899019956588745	0.10302137	No	
row_26	MRPS11	NA	3482	0.3858972191810608	0.10688276	No	
row_27	LRPPRC	NA	3615	0.3734801709651947	0.106077276	No	
row_28	COX6A1	NA	3641	0.3716350197792053	0.11040121	No	
row_29	NDUFS4	NA	3726	0.3662915527820587	0.111802146	No	
row_30	NDUFA4	NA	3828	0.36051779985427856	0.11229787	No	
row_31	COX17	NA	3898	0.35317879915237427	0.114226654	No	
row_32	NDUFB8	NA	4119	0.3330039978027344	0.10857784	No	
row_33	UQCRQ	NA	4366	0.3134654462337494	0.10138527	No	
row_34	UQCRB	NA	4512	0.30375680327415466	0.09891598	No	
row_35	ATP5MG	NA	4691	0.2917088568210602	0.09467701	No	
row_36	COX7B	NA	4775	0.2870714068412781	0.09494758	No	
row_37	COX5A	NA	4803	0.28483691811561584	0.09788383	No	
row_38	UQCRFS1	NA	4954	0.27218127250671387	0.09470381	No	
row_39	NDUFB7	NA	4982	0.271153062582016	0.09743649	No	
row_40	ATP6V0B	NA	5011	0.2703315019607544	0.10010875	No	
row_41	ATP6V1E1	NA	5133	0.262532114982605	0.098182835	No	
row_42	NDUFC1	NA	5365	0.2501099407672882	0.09077066	No	
row_43	VDAC3	NA	5522	0.24181720614433289	0.08684974	No	
row_44	MAOB	NA	5581	0.23901353776454926	0.08761024	No	
row_45	PDHA1	NA	5763	0.22915519773960114	0.082296066	No	
row_46	MRPL35	NA	5773	0.22835779190063477	0.085259594	No	
row_47	MRPS15	NA	5784	0.2280118316411972	0.088169776	No	
row_48	COX4I1	NA	5785	0.2280118316411972	0.091561906	No	
row_49	NDUFA6	NA	5878	0.22279928624629974	0.090442546	No	
row_50	PRDX3	NA	6395	0.19710426032543182	0.0685062	No	
row_51	SLC25A5	NA	6726	0.18315349519252777	0.055326596	No	
row_52	PDK4	NA	6825	0.1787281036376953	0.05326242	No	
row_53	ATP6V1F	NA	7083	0.16924554109573364	0.04339415	No	
row_54	COX7A2	NA	7139	0.1668141484260559	0.043225113	No	
row_55	ETFA	NA	7465	0.15422804653644562	0.02985616	No	
row_56	ISCU	NA	7652	0.14772659540176392	0.023089603	No	
row_57	NDUFA7	NA	7663	0.14727282524108887	0.024798632	No	
row_58	NDUFB4	NA	7791	0.14205403625965118	0.020791193	No	
row_59	COX11	NA	7987	0.13530637323856354	0.013406104	No	
row_60	ATP5MC2	NA	7996	0.13510839641094208	0.015030553	No	
row_61	ACAT1	NA	8019	0.1340295672416687	0.01596422	No	
row_62	COX8A	NA	8038	0.1332644373178482	0.017079284	No	
row_63	ECHS1	NA	8192	0.1272886097431183	0.0115991095	No	
row_64	NDUFS2	NA	8286	0.1239665076136589	0.008961217	No	
row_65	COX15	NA	8342	0.12139818072319031	0.008116528	No	
