NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	JUN	NA	0	5.9753289222717285	0.09171721	Yes	
row_1	TOB1	NA	5	2.799623727798462	0.13449673	Yes	
row_2	ZNF365	NA	19	2.3344147205352783	0.16970183	Yes	
row_3	HBEGF	NA	146	1.5503487586975098	0.18742575	Yes	
row_4	CCNG1	NA	339	1.19875168800354	0.19657187	Yes	
row_5	BTG2	NA	593	0.9896204471588135	0.19956791	Yes	
row_6	FAS	NA	821	0.8652697205543518	0.2019084	Yes	
row_7	ALOX15B	NA	889	0.8395817875862122	0.21156618	Yes	
row_8	IL1A	NA	1597	0.6331057548522949	0.18720835	Yes	
row_9	CCP110	NA	1761	0.5964195132255554	0.1885068	Yes	
row_10	GM2A	NA	1805	0.5873400568962097	0.19544958	Yes	
row_11	BMP2	NA	1940	0.5665690898895264	0.19768758	Yes	
row_12	MDM2	NA	1941	0.5665525794029236	0.20638376	Yes	
row_13	TP63	NA	2002	0.5553122758865356	0.21201558	Yes	
row_14	ST14	NA	2024	0.5525858998298645	0.21948525	Yes	
row_15	ANKRA2	NA	2244	0.5262787938117981	0.21700804	Yes	
row_16	GLS2	NA	2355	0.5104405879974365	0.21954124	Yes	
row_17	TXNIP	NA	2364	0.5093569755554199	0.22697394	Yes	
row_18	RGS16	NA	2439	0.5003218054771423	0.23108692	Yes	
row_19	PRMT2	NA	2441	0.5001383423805237	0.23871551	Yes	
row_20	VWA5A	NA	2790	0.45561978220939636	0.22893627	Yes	
row_21	GPX2	NA	2835	0.4512132406234741	0.23374139	Yes	
row_22	PERP	NA	2896	0.4447658956050873	0.2376764	Yes	
row_23	TGFA	NA	2920	0.4431653916835785	0.24337015	Yes	
row_24	RPS27L	NA	3095	0.4260081648826599	0.24152273	Yes	
row_25	KLF4	NA	3106	0.42453503608703613	0.24755707	Yes	
row_26	RAP2B	NA	3140	0.4217015504837036	0.2524394	Yes	
row_27	H1-2	NA	3271	0.4079889953136444	0.25243607	No	
row_28	POLH	NA	3583	0.37581661343574524	0.24321522	No	
row_29	TCHH	NA	3585	0.3757088780403137	0.2489339	No	
row_30	S100A4	NA	3798	0.36199551820755005	0.24427243	No	
row_31	PPM1D	NA	3819	0.3605501055717468	0.24884267	No	
row_32	FOS	NA	3969	0.34463420510292053	0.24695116	No	
row_33	TSC22D1	NA	4191	0.3283015489578247	0.24133873	No	
row_34	CYFIP2	NA	4269	0.32103532552719116	0.2425552	No	
row_35	IER3	NA	4474	0.3069759011268616	0.2374348	No	
row_36	VAMP8	NA	4497	0.3040902316570282	0.24104203	No	
row_37	TM4SF1	NA	4504	0.3039156496524811	0.24541774	No	
row_38	SOCS1	NA	4738	0.28830185532569885	0.23861298	No	
row_39	APP	NA	4751	0.28778401017189026	0.2424519	No	
row_40	KLK8	NA	4873	0.27881699800491333	0.24089967	No	
row_41	CDKN2AIP	NA	5014	0.27028289437294006	0.23830068	No	
row_42	CCND3	NA	5066	0.2661720812320709	0.23992817	No	
row_43	IER5	NA	5168	0.2606245279312134	0.23906064	No	
row_44	HEXIM1	NA	5213	0.2575317323207855	0.24089289	No	
row_45	SERPINB5	NA	5247	0.2556014358997345	0.2432257	No	
row_46	CLCA2	NA	5332	0.25174975395202637	0.24304129	No	
row_47	RRAD	NA	5370	0.24990500509738922	0.24509385	No	
row_48	ABCC5	NA	5604	0.23750998079776764	0.23750947	No	
row_49	CGRRF1	NA	5615	0.23675328493118286	0.2406615	No	
row_50	ZBTB16	NA	5629	0.2359805405139923	0.24365707	No	
row_51	VDR	NA	5806	0.226005420088768	0.23864336	No	
row_52	RPL36	NA	6209	0.20609162747859955	0.22243136	No	
row_53	MXD4	NA	6371	0.19824954867362976	0.21771458	No	
row_54	TAP1	NA	6390	0.19742383062839508	0.21987735	No	
row_55	H2AJ	NA	6519	0.1909918189048767	0.21663967	No	
row_56	TAX1BP3	NA	6539	0.19016018509864807	0.21864274	No	
row_57	KRT17	NA	6599	0.1877526044845581	0.21868096	No	
row_58	EPS8L2	NA	6602	0.1876145303249359	0.22146434	No	
row_59	ITGB4	NA	6693	0.18392761051654816	0.21994972	No	
row_60	PCNA	NA	6737	0.18284296989440918	0.22068375	No	
row_61	RAD51C	NA	7181	0.16553814709186554	0.2018732	No	
row_62	NHLH2	NA	7203	0.16418561339378357	0.20338118	No	
row_63	IP6K2	NA	7241	0.16265077888965607	0.20409445	No	
row_64	CCND2	NA	7298	0.16048257052898407	0.2038587	No	
row_65	ABHD4	NA	7338	0.159345805644989	0.20442484	No	
row_66	CTSF	NA	7365	0.15776632726192474	0.20559332	No	
row_67	MXD1	NA	7368	0.1575905680656433	0.20791583	No	
row_68	SDC1	NA	7376	0.15730403363704681	0.20999296	No	
row_69	PTPN14	NA	7384	0.15708614885807037	0.21206674	No	
row_70	TPD52L1	NA	7486	0.15342944860458374	0.20955384	No	
row_71	F2R	NA	7529	0.15202100574970245	0.20986296	No	
row_72	PLXNB2	NA	7577	0.15018539130687714	0.20990293	No	
row_73	ISCU	NA	7652	0.14772659540176392	0.20860383	No	
row_74	ATF3	NA	7833	0.1407148838043213	0.20208816	No	
row_75	DCXR	NA	7871	0.1392497569322586	0.20244226	No	
row_76	PLK2	NA	7905	0.13792011141777039	0.20296872	No	
row_77	H2AW	NA	8020	0.1340295672416687	0.19953148	No	
row_78	PVT1	NA	8055	0.13236862421035767	0.19992453	No	
row_79	OSGIN1	NA	8601	0.11405734717845917	0.17540763	No	
row_80	SERTAD3	NA	8681	0.11175698786973953	0.17331544	No	
row_81	RAB40C	NA	8912	0.10426681488752365	0.16383046	No	
row_82	IRAG2	NA	8976	0.10214041918516159	0.1623618	No	
row_83	HINT1	NA	9079	0.09933219105005264	0.15897036	No	
row_84	BLCAP	NA	9303	0.09339606761932373	0.1496559	No	
row_85	TRIB3	NA	9326	0.09271319210529327	0.15001863	No	
row_86	FOXO3	NA	9405	0.09042202681303024	0.14764714	No	
