NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IDI1	NA	175	1.460959553718567	0.037305992	No	
row_1	CADM1	NA	187	1.4315149784088135	0.08155887	No	
row_2	ELOVL5	NA	374	1.1681174039840698	0.10917646	No	
row_3	TOP2A	NA	484	1.0583651065826416	0.13705488	No	
row_4	ACOT8	NA	587	0.9917933344841003	0.16318664	No	
row_5	BCL10	NA	1309	0.7021129727363586	0.15055981	No	
row_6	CLN8	NA	1518	0.6485226154327393	0.16086799	No	
row_7	ATXN1	NA	2159	0.5350512862205505	0.14690118	No	
row_8	PEX13	NA	2861	0.4481392204761505	0.12728907	No	
row_9	ESR2	NA	2899	0.44463610649108887	0.13942307	No	
row_10	ABCB1	NA	3343	0.40081360936164856	0.13070819	No	
row_11	HSD17B11	NA	3703	0.36815640330314636	0.12500167	No	
row_12	FDPS	NA	3806	0.3614130914211273	0.13141388	No	
row_13	SIAH1	NA	4142	0.3314017355442047	0.12570901	No	
row_14	FABP6	NA	4196	0.3277131915092468	0.13341783	No	
row_15	YWHAH	NA	4657	0.2933087944984436	0.1205244	No	
row_16	EHHADH	NA	4819	0.2829650640487671	0.12165206	No	
row_17	CTBP1	NA	5119	0.26377102732658386	0.11555868	No	
row_18	RDH11	NA	5517	0.2420503795146942	0.10408424	No	
row_19	ABCC5	NA	5604	0.23750998079776764	0.10738813	No	
row_20	ABCB9	NA	5903	0.22106695175170898	0.10000686	No	
row_21	CACNA1B	NA	5960	0.21880359947681427	0.104164846	No	
row_22	DIO1	NA	6178	0.20786942541599274	0.10025674	No	
row_23	MLYCD	NA	6579	0.18814410269260406	0.08695208	No	
row_24	ABCD2	NA	6609	0.18731750547885895	0.09142046	No	
row_25	PEX14	NA	6639	0.18638552725315094	0.09585968	No	
row_26	SLC27A2	NA	6676	0.1843559741973877	0.099899575	No	
row_27	HAO2	NA	7125	0.1674308329820633	0.083644144	No	
row_28	SLC25A17	NA	7430	0.1553810089826584	0.073920235	No	
row_29	UGT2B17	NA	7512	0.15244148671627045	0.0748029	No	
row_30	HSD17B4	NA	7704	0.14553508162498474	0.07019221	No	
row_31	SCP2	NA	7763	0.142911896109581	0.07188021	No	
row_32	SEMA3C	NA	7920	0.13697776198387146	0.06868097	No	
row_33	ALB	NA	8133	0.12962546944618225	0.06256512	No	
row_34	ACOX1	NA	8190	0.1273212879896164	0.063861355	No	
row_35	CDK7	NA	8389	0.11994051933288574	0.05811419	No	
row_36	PEX2	NA	8479	0.1170416921377182	0.05750567	No	
row_37	SULT2B1	NA	8762	0.10925707966089249	0.047394376	No	
row_38	CRABP1	NA	8826	0.10675279796123505	0.04771136	No	
row_39	PABPC1	NA	9033	0.10040532052516937	0.040969297	No	
row_40	NR1I2	NA	9105	0.09894009679555893	0.040658083	No	
row_41	PEX11B	NA	9609	0.08406119048595428	0.019156035	No	
row_42	ABCB4	NA	10089	0.0700293779373169	-0.0016335426	No	
row_43	CRAT	NA	10343	0.06337644159793854	-0.011788788	No	
row_44	SLC23A2	NA	10546	0.057796891778707504	-0.019671826	No	
row_45	DLG4	NA	10641	0.055284831672906876	-0.0224521	No	
row_46	TSPO	NA	11033	0.04493577033281326	-0.039804816	No	
row_47	RXRG	NA	11680	0.029720071703195572	-0.069867246	No	
row_48	IDH1	NA	11743	0.028493696823716164	-0.07195038	No	
row_49	HSD3B7	NA	11800	0.027646493166685104	-0.07377217	No	
row_50	LONP2	NA	11820	0.02750471793115139	-0.0738233	No	
row_51	FADS1	NA	11927	0.02493467554450035	-0.078128695	No	
row_52	SOD2	NA	12187	0.02018073946237564	-0.08992304	No	
row_53	IDH2	NA	12385	0.016226710751652718	-0.0988666	No	
row_54	PEX11A	NA	12418	0.01582331582903862	-0.099906825	No	
row_55	CAT	NA	12429	0.015416520647704601	-0.09990432	No	
row_56	PRDX5	NA	12432	0.015376913361251354	-0.09951925	No	
row_57	ALDH1A1	NA	12561	0.012609090656042099	-0.10526567	No	
row_58	GNPAT	NA	12736	0.009327687323093414	-0.11332161	No	
row_59	HMGCL	NA	13148	7.52563530113548E-4	-0.13301598	No	
row_60	ABCC8	NA	13636	-0.009275455959141254	-0.15608986	No	
row_61	VPS4B	NA	13668	-0.009969539009034634	-0.15726523	No	
row_62	CLN6	NA	14152	-0.02018073946237564	-0.17980607	No	
row_63	ITGB1BP1	NA	14543	-0.027909860014915466	-0.19764341	No	
row_64	ECH1	NA	14643	-0.030286505818367004	-0.20144556	No	
row_65	SMARCC1	NA	14692	-0.031162355095148087	-0.20277357	No	
row_66	SLC25A4	NA	15467	-0.05697525292634964	-0.23812425	No	
row_67	ABCD3	NA	15482	-0.05730992555618286	-0.23700315	No	
row_68	CEL	NA	15485	-0.057421330362558365	-0.23530285	No	
row_69	STS	NA	16210	-0.09052843600511551	-0.26720515	No	
row_70	PEX6	NA	16357	-0.0972796231508255	-0.27116647	No	
row_71	SOD1	NA	16377	-0.09844214469194412	-0.26899853	No	
row_72	ACSL4	NA	16584	-0.1084865927696228	-0.2754878	No	
row_73	CNBP	NA	16599	-0.10943111032247543	-0.27273625	No	
row_74	TTR	NA	16824	-0.12115497142076492	-0.27969277	No	
row_75	NUDT19	NA	16861	-0.12357530742883682	-0.2775542	No	
row_76	SERPINA6	NA	16873	-0.12386307865381241	-0.27420726	No	
row_77	EPHX2	NA	16995	-0.13144207000732422	-0.2759005	No	
row_78	DHRS3	NA	17056	-0.13580144941806793	-0.27453092	No	
row_79	DHCR24	NA	17222	-0.14884543418884277	-0.27779067	No	
row_80	SCGB1A1	NA	17259	-0.1513044387102127	-0.27478468	No	
row_81	ERCC3	NA	17628	-0.17995406687259674	-0.28681034	No	
row_82	PEX5	NA	17784	-0.19459465146064758	-0.28815922	No	
row_83	RETSAT	NA	17825	-0.1990870088338852	-0.2838504	No	
row_84	FIS1	NA	17833	-0.199392169713974	-0.27794886	No	
row_85	GSTK1	NA	18568	-0.28268784284591675	-0.3043198	Yes	
row_86	ISOC1	NA	18606	-0.2898736298084259	-0.29702708	Yes	
row_87	ECI2	NA	18608	-0.29023608565330505	-0.28799587	Yes	
row_88	ERCC1	NA	18634	-0.29417771100997925	-0.27999282	Yes	
row_89	ACSL5	NA	19387	-0.44404202699661255	-0.30217984	Yes	
row_90	ALDH9A1	NA	19463	-0.4648893177509308	-0.29123533	Yes	
row_91	PRDX1	NA	19565	-0.49328020215034485	-0.28065008	Yes	
row_92	ACAA1	NA	19698	-0.5352119207382202	-0.27024037	Yes	
row_93	MVP	NA	19761	-0.5586775541305542	-0.2557383	Yes	
row_94	MSH2	NA	19902	-0.6171833872795105	-0.24314815	Yes	
row_95	CRABP2	NA	20169	-0.7570806741714478	-0.23222664	Yes	
row_96	HRAS	NA	20178	-0.7628446221351624	-0.20874716	Yes	
row_97	ABCD1	NA	20212	-0.7865578532218933	-0.18572527	Yes	
row_98	HSD11B2	NA	20271	-0.8305529356002808	-0.16252652	Yes	
row_99	IDE	NA	20384	-0.9285489320755005	-0.13885292	Yes	
row_100	ACSL1	NA	20386	-0.9303142428398132	-0.10979884	Yes	
row_101	SLC35B2	NA	20429	-0.9676311612129211	-0.0815444	Yes	
row_102	SLC25A19	NA	20601	-1.1735448837280273	-0.05303741	Yes	
row_103	CTPS1	NA	20902	-2.2245688438415527	0.0021588535	Yes	
