NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NEK2	NA	37	2.093432903289795	0.04589721	Yes	
row_1	CDKN3	NA	94	1.7423330545425415	0.08288573	Yes	
row_2	BUB1	NA	106	1.687174677848816	0.1207802	Yes	
row_3	CCNB2	NA	107	1.6838237047195435	0.15912688	Yes	
row_4	TTK	NA	142	1.5547624826431274	0.19290078	Yes	
row_5	AURKA	NA	185	1.4332332611083984	0.22352265	Yes	
row_6	PRKAR2A	NA	232	1.3454523086547852	0.25195324	Yes	
row_7	ACRV1	NA	260	1.2971305847167969	0.28019628	Yes	
row_8	CDK1	NA	305	1.2379765510559082	0.30627537	Yes	
row_9	NCAPH	NA	477	1.0656001567840576	0.32232687	Yes	
row_10	SPATA6	NA	656	0.941712498664856	0.33522066	Yes	
row_11	MLLT10	NA	820	0.8653111457824707	0.34709525	Yes	
row_12	CHFR	NA	880	0.8426505923271179	0.36345065	Yes	
row_13	KIF2C	NA	1187	0.7369341254234314	0.3655309	Yes	
row_14	NPHP1	NA	1249	0.7185157537460327	0.37896323	Yes	
row_15	NOS1	NA	1772	0.5939348340034485	0.36740875	Yes	
row_16	TEKT2	NA	1784	0.5916180610656738	0.3803535	Yes	
row_17	PACRG	NA	1965	0.5613429546356201	0.38448885	Yes	
row_18	TLE4	NA	2140	0.5377065539360046	0.38837418	Yes	
row_19	MLF1	NA	2351	0.5104405879974365	0.38990888	Yes	
row_20	ACRBP	NA	2753	0.46087557077407837	0.38113788	Yes	
row_21	STAM2	NA	2767	0.4598064720630646	0.39098468	Yes	
row_22	CRISP2	NA	2927	0.44310447573661804	0.3934363	Yes	
row_23	HTR5A	NA	3425	0.3918403685092926	0.3784806	Yes	
row_24	DBF4	NA	3656	0.3711329698562622	0.37588185	Yes	
row_25	RPL39L	NA	3872	0.3560684621334076	0.3736607	Yes	
row_26	GAD1	NA	3964	0.3452269732952118	0.37715048	Yes	
row_27	MAST2	NA	4112	0.33339938521385193	0.3776803	Yes	
row_28	COIL	NA	4298	0.3189760744571686	0.37605584	Yes	
row_29	SEPTIN4	NA	4481	0.3059012293815613	0.37427777	Yes	
row_30	GFI1	NA	4543	0.3021340072154999	0.3782276	Yes	
row_31	YBX2	NA	4668	0.292544424533844	0.37893206	Yes	
row_32	ELOVL3	NA	4685	0.2921627461910248	0.38481688	Yes	
row_33	SYCP1	NA	4743	0.2881453335285187	0.3886403	Yes	
row_34	CAMK4	NA	4744	0.2881453335285187	0.3952024	Yes	
row_35	ADAD1	NA	5199	0.25838518142700195	0.37927347	No	
row_36	IP6K1	NA	5382	0.24960610270500183	0.37621334	No	
row_37	SLC2A5	NA	5484	0.24439753592014313	0.37692642	No	
row_38	ODF1	NA	5497	0.24352119863033295	0.38189572	No	
row_39	VDAC3	NA	5522	0.24181720614433289	0.38624963	No	
row_40	GMCL1	NA	5914	0.22067123651504517	0.37248877	No	
row_41	ZNRF4	NA	6159	0.2083655744791031	0.36551055	No	
row_42	DCC	NA	6195	0.2071830779314041	0.3685472	No	
row_43	NPY5R	NA	6329	0.199966698884964	0.36671093	No	
row_44	NEFH	NA	6378	0.19800347089767456	0.36891392	No	
row_45	BRAF	NA	6760	0.18150556087493896	0.35474157	No	
row_46	CHRM4	NA	6938	0.173816978931427	0.3501957	No	
row_47	PHKG2	NA	7498	0.15295998752117157	0.32682094	No	
row_48	SIRT1	NA	7702	0.14557263255119324	0.32038262	No	
row_49	TULP2	NA	7909	0.13725844025611877	0.31361085	No	
row_50	GSG1	NA	9028	0.10059671103954315	0.26218536	No	
row_51	IL13RA2	NA	9151	0.09754738956689835	0.25854513	No	
row_52	AGFG1	NA	9179	0.09687111526727676	0.25945398	No	
row_53	H1-6	NA	9386	0.09098494797945023	0.25162837	No	
row_54	NAA11	NA	9601	0.08444785326719284	0.2432695	No	
row_55	PGS1	NA	9729	0.08055603504180908	0.2390021	No	
row_56	NF2	NA	9903	0.0755544900894165	0.23241062	No	
row_57	HSPA1L	NA	9933	0.07493513822555542	0.23272382	No	
row_58	SCG5	NA	10035	0.07185783237218857	0.22950754	No	
row_59	DMC1	NA	10177	0.06803690642118454	0.22428237	No	
row_60	PIAS2	NA	10421	0.06077870354056358	0.21399112	No	
row_61	ADCYAP1	NA	10663	0.054707322269678116	0.2036577	No	
row_62	PRM2	NA	10814	0.05101294815540314	0.1976124	No	
row_63	ARL4A	NA	11066	0.044096559286117554	0.18655688	No	
row_64	ALOX15	NA	11128	0.042746104300022125	0.1845995	No	
row_65	GPR182	NA	11143	0.042418770492076874	0.18489286	No	
row_66	ZC2HC1C	NA	11190	0.0415516197681427	0.18362899	No	
