NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SMURF1	NA	136	1.5799330472946167	0.07114784	Yes	
row_1	APC	NA	249	1.3212144374847412	0.13072778	Yes	
row_2	HIPK2	NA	442	1.1058413982391357	0.17589287	Yes	
row_3	TRIM33	NA	1357	0.6898148059844971	0.16605404	Yes	
row_4	SKIL	NA	1706	0.6093697547912598	0.17935029	Yes	
row_5	BMP2	NA	1940	0.5665690898895264	0.19604677	Yes	
row_6	CTNNB1	NA	2237	0.5270353555679321	0.20778486	Yes	
row_7	BCAR3	NA	2249	0.5253043174743652	0.23307815	Yes	
row_8	PPM1A	NA	2459	0.49617287516593933	0.24746318	Yes	
row_9	SKI	NA	2498	0.4918636381626129	0.26982057	Yes	
row_10	ID2	NA	2668	0.46933671832084656	0.28480095	Yes	
row_11	THBS1	NA	2697	0.46625465154647827	0.30637822	Yes	
row_12	FNTA	NA	3293	0.4063178598880768	0.29787248	No	
row_13	RAB31	NA	3540	0.37964433431625366	0.30475903	No	
row_14	SERPINE1	NA	3894	0.35342898964881897	0.30523598	No	
row_15	ARID4B	NA	4300	0.3187958896160126	0.30152187	No	
row_16	SPTBN1	NA	5084	0.26549476385116577	0.2770966	No	
row_17	SMAD3	NA	5252	0.25535717606544495	0.2816552	No	
row_18	NOG	NA	5726	0.2308165431022644	0.27036223	No	
row_19	CDKN1C	NA	5759	0.22951705753803253	0.2801119	No	
row_20	SMAD7	NA	6170	0.20802664756774902	0.27071398	No	
row_21	TJP1	NA	6225	0.20542901754379272	0.27822673	No	
row_22	WWTR1	NA	6226	0.20535479485988617	0.28832033	No	
row_23	NCOR2	NA	6342	0.19949322938919067	0.29262188	No	
row_24	CDK9	NA	6840	0.17808982729911804	0.2775886	No	
row_25	SMAD6	NA	7335	0.15944215655326843	0.26178235	No	
row_26	ENG	NA	7654	0.14760500192642212	0.25381777	No	
row_27	SLC20A1	NA	8283	0.1239665076136589	0.22985448	No	
row_28	BMPR2	NA	9373	0.0912940502166748	0.18222155	No	
row_29	TGIF1	NA	10341	0.06344332545995712	0.13905868	No	
row_30	CDH1	NA	11369	0.036982547491788864	0.09172358	No	
row_31	XIAP	NA	11621	0.031055588275194168	0.081237	No	
row_32	TGFBR1	NA	11835	0.02720893919467926	0.072380066	No	
row_33	BMPR1A	NA	11915	0.025330310687422752	0.06984411	No	
row_34	LEFTY2	NA	12259	0.018636837601661682	0.054343954	No	
row_35	UBE2D3	NA	12290	0.018122229725122452	0.05379888	No	
row_36	LTBP2	NA	12984	0.0034695665817707777	0.020801999	No	
row_37	RHOA	NA	13046	0.002387342508882284	0.017999843	No	
row_38	MAP3K7	NA	14102	-0.018749216571450233	-0.03157156	No	
row_39	SMAD1	NA	14118	-0.0192527174949646	-0.031343162	No	
row_40	PMEPA1	NA	14407	-0.024918120354413986	-0.04390225	No	
row_41	IFNGR2	NA	15011	-0.04146327078342438	-0.070724204	No	
row_42	PPP1R15A	NA	15586	-0.06284411251544952	-0.095107295	No	
row_43	SMURF2	NA	15966	-0.08071571588516235	-0.10927913	No	
row_44	ACVR1	NA	18026	-0.21873068809509277	-0.19707312	No	
row_45	TGFB1	NA	18394	-0.2580091953277588	-0.2019563	No	
row_46	FURIN	NA	18524	-0.27499711513519287	-0.19461367	No	
row_47	FKBP1A	NA	18785	-0.3152303993701935	-0.19156322	No	
row_48	HDAC1	NA	19140	-0.3848961591720581	-0.18958746	No	
row_49	JUNB	NA	19751	-0.5545661449432373	-0.1915244	No	
row_50	PPP1CA	NA	20086	-0.7021129727363586	-0.17299959	No	
row_51	ID3	NA	20159	-0.7468605041503906	-0.13973586	No	
row_52	KLF10	NA	20613	-1.185991883277893	-0.10312285	No	
row_53	ID1	NA	20917	-2.4222872257232666	0.001435655	No	
