NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	JUN	NA	0	5.9753289222717285	0.07603998	Yes	
row_1	TNFAIP3	NA	4	2.8138701915740967	0.11170373	Yes	
row_2	HBEGF	NA	146	1.5503487586975098	0.1246371	Yes	
row_3	TANK	NA	211	1.372822642326355	0.13902253	Yes	
row_4	MARCKS	NA	213	1.3721375465393066	0.15643568	Yes	
row_5	EGR1	NA	315	1.2277356386184692	0.16719149	Yes	
row_6	NR4A3	NA	373	1.1700519323349	0.17933391	Yes	
row_7	BIRC3	NA	485	1.0583651065826416	0.18745239	Yes	
row_8	SOCS3	NA	572	1.0022804737091064	0.19606209	Yes	
row_9	BTG2	NA	593	0.9896204471588135	0.2076917	Yes	
row_10	DNAJB4	NA	848	0.852839469909668	0.20630251	Yes	
row_11	CXCL2	NA	1104	0.7646682858467102	0.20374307	Yes	
row_12	DDX58	NA	1182	0.739311158657074	0.20944008	Yes	
row_13	GADD45B	NA	1366	0.6861884593963623	0.20935215	Yes	
row_14	IL1A	NA	1597	0.6331057548522949	0.20632343	Yes	
row_15	PLEK	NA	1710	0.6087009310722351	0.20867144	Yes	
row_16	KYNU	NA	1752	0.5980050563812256	0.21430536	Yes	
row_17	B4GALT1	NA	1921	0.5703056454658508	0.2134657	Yes	
row_18	BMP2	NA	1940	0.5665690898895264	0.21980812	Yes	
row_19	REL	NA	1981	0.5585223436355591	0.22498778	Yes	
row_20	SERPINB2	NA	1990	0.5568511486053467	0.2316885	Yes	
row_21	NFKBIA	NA	2054	0.5488705039024353	0.2356368	Yes	
row_22	NFKB2	NA	2284	0.5200337767601013	0.23121735	Yes	
row_23	TNFAIP6	NA	2289	0.5199477672576904	0.23764125	Yes	
row_24	PLAUR	NA	2318	0.5154783129692078	0.24285151	Yes	
row_25	CD69	NA	2493	0.49227195978164673	0.24072964	Yes	
row_26	GEM	NA	2662	0.469875305891037	0.23861195	Yes	
row_27	ID2	NA	2668	0.46933671832084656	0.24434358	Yes	
row_28	CD44	NA	2698	0.46570128202438354	0.2488722	Yes	
row_29	CFLAR	NA	2776	0.4578733742237091	0.25098774	Yes	
row_30	ZBTB10	NA	2952	0.4412800371646881	0.24816878	Yes	
row_31	NFAT5	NA	3077	0.4289492070674896	0.24765097	Yes	
row_32	KLF4	NA	3106	0.42453503608703613	0.25170392	Yes	
row_33	BTG3	NA	3109	0.42436569929122925	0.25700787	Yes	
row_34	ACKR3	NA	3126	0.42242878675460815	0.2616124	Yes	
row_35	CCL4	NA	3232	0.41171711683273315	0.26179102	Yes	
row_36	RHOB	NA	3445	0.3897518813610077	0.25653303	Yes	
row_37	TNIP1	NA	3660	0.3709985017776489	0.25093997	Yes	
row_38	MAP2K3	NA	3796	0.3623300790786743	0.24904421	Yes	
row_39	SERPINE1	NA	3894	0.35342898964881897	0.24886668	Yes	
row_40	CCNL1	NA	3940	0.348136305809021	0.25112805	Yes	
row_41	FOS	NA	3969	0.34463420510292053	0.25416422	Yes	
row_42	BCL3	NA	3990	0.34280911087989807	0.25756276	Yes	
row_43	KLF9	NA	3993	0.34280550479888916	0.26182878	Yes	
row_44	EDN1	NA	4075	0.3360848128795624	0.26220167	Yes	
row_45	PHLDA1	NA	4120	0.3328855633735657	0.26431718	Yes	
row_46	CCL20	NA	4123	0.3328487277030945	0.26845652	Yes	
row_47	TSC22D1	NA	4191	0.3283015489578247	0.26940513	Yes	
row_48	IL23A	NA	4197	0.32757559418678284	0.27333274	Yes	
row_49	BCL6	NA	4230	0.32445037364959717	0.2759193	Yes	
row_50	BIRC2	NA	4446	0.3084494173526764	0.26948205	Yes	
row_51	MAP3K8	NA	4451	0.30832603573799133	0.2732129	Yes	
row_52	IER3	NA	4474	0.3069759011268616	0.27605906	Yes	
row_53	JAG1	NA	4492	0.3049568831920624	0.27912048	Yes	
row_54	RCAN1	NA	4674	0.29247331619262695	0.27411866	No	
row_55	CCND1	NA	4927	0.2745518684387207	0.26546675	No	
row_56	FOSL2	NA	4930	0.27440980076789856	0.2688624	No	
row_57	AREG	NA	4957	0.2720716893672943	0.27107155	No	
row_58	IER5	NA	5168	0.2606245279312134	0.26426673	No	
row_59	SMAD3	NA	5252	0.25535717606544495	0.26351592	No	
row_60	IL6ST	NA	5398	0.2487325519323349	0.25969258	No	
row_61	IL1B	NA	5513	0.24219650030136108	0.2572802	No	
row_62	TRIB1	NA	5756	0.22965285181999207	0.2485389	No	
row_63	SQSTM1	NA	5944	0.21922366321086884	0.24231574	No	
row_64	PDE4B	NA	5949	0.2191278636455536	0.2449115	No	
row_65	RIPK2	NA	6058	0.21415340900421143	0.24243142	No	
row_66	LDLR	NA	6181	0.20783385634422302	0.23919615	No	
row_67	IFIT2	NA	6373	0.19815200567245483	0.23251207	No	
row_68	TAP1	NA	6390	0.19742383062839508	0.23425326	No	
row_69	TNC	NA	6417	0.19632048904895782	0.23549843	No	
row_70	OLR1	NA	6476	0.1928011178970337	0.2351565	No	
row_71	ABCA1	NA	6777	0.1807793229818344	0.22299781	No	
row_72	CXCL6	NA	6854	0.17737199366092682	0.22159198	No	
row_73	IFIH1	NA	7235	0.16269837319850922	0.2053474	No	
row_74	EGR2	NA	7350	0.15852099657058716	0.20187019	No	
row_75	MXD1	NA	7368	0.1575905680656433	0.20305628	No	
row_76	FOSL1	NA	7407	0.15635620057582855	0.20321451	No	
row_77	INHBA	NA	7444	0.15464869141578674	0.2034474	No	
row_78	EIF1	NA	7475	0.1534879356622696	0.20395471	No	
row_79	CCL5	NA	7494	0.15326975286006927	0.20503762	No	
row_80	CSF1	NA	7567	0.15056882798671722	0.20348349	No	
row_81	PLAU	NA	7586	0.14978228509426117	0.20452201	No	
row_82	CXCL3	NA	7639	0.1481127142906189	0.20390059	No	
row_83	ATF3	NA	7833	0.1407148838043213	0.19638917	No	
row_84	CXCL10	NA	7844	0.14033611118793488	0.19769306	No	
row_85	CD83	NA	7851	0.14014357328414917	0.1991873	No	
row_86	IL6	NA	7852	0.1399361491203308	0.20096809	No	
row_87	PLK2	NA	7905	0.13792011141777039	0.20021693	No	
row_88	TNFRSF9	NA	7915	0.1371559053659439	0.20152856	No	
row_89	PER1	NA	8068	0.13195954263210297	0.19588183	No	
row_90	NAMPT	NA	8388	0.11994051933288574	0.18203317	No	
row_91	SGK1	NA	8816	0.10715245455503464	0.16281646	No	
row_92	CEBPD	NA	9097	0.09900069236755371	0.15058103	No	
row_93	KLF2	NA	9226	0.09575445204973221	0.1456303	No	
row_94	TRAF1	NA	9366	0.09151890128850937	0.1400955	No	
row_95	DUSP1	NA	9381	0.09106118232011795	0.14057955	No	
row_96	SDC4	NA	9469	0.08835369348526001	0.13751073	No	
row_97	BTG1	NA	9532	0.08658622950315475	0.13562435	No	
row_98	CCL2	NA	9656	0.08274253457784653	0.13074903	No	
row_99	TIPARP	NA	10326	0.06366896629333496	0.09931518	No	
row_100	TGIF1	NA	10341	0.06344332545995712	0.09944778	No	
row_101	CXCL11	NA	10353	0.06295042484998703	0.09971869	No	
row_102	IL12B	NA	10489	0.05914514884352684	0.0939647	No	
row_103	MSC	NA	10754	0.05242174491286278	0.08190768	No	
row_104	KLF6	NA	10786	0.05166745185852051	0.081071064	No	
row_105	PDLIM5	NA	10792	0.05151071771979332	0.081485584	No	
row_106	KDM6B	NA	11019	0.045201677829027176	0.07116819	No	
row_107	CD80	NA	11046	0.044529907405376434	0.07048173	No	
row_108	PLPP3	NA	11078	0.043823033571243286	0.06954529	No	
row_109	NINJ1	NA	11098	0.04323418065905571	0.06917972	No	
row_110	PTPRE	NA	11297	0.03890373557806015	0.060131706	No	
row_111	ICAM1	NA	11370	0.03696642816066742	0.057131916	No	
row_112	NR4A1	NA	11437	0.03516044095158577	0.054398328	No	
row_113	SERPINB8	NA	11455	0.034792788326740265	0.05402173	No	
row_114	EHD1	NA	11489	0.0341610424220562	0.052865937	No	
row_115	MCL1	NA	11706	0.029205551370978355	0.042826954	No	
row_116	TNFAIP8	NA	11904	0.025499379262328148	0.03365656	No	
row_117	IRS2	NA	12005	0.02343376912176609	0.02913503	No	
row_118	TNFSF9	NA	12029	0.022960657253861427	0.028318679	No	
row_119	SOD2	NA	12187	0.02018073946237564	0.021008497	No	
row_120	RNF19B	NA	12420	0.015737764537334442	0.01002697	No	
row_121	ZC3H12A	NA	12507	0.013852511532604694	0.0060582743	No	
row_122	PTGS2	NA	12640	0.011110448278486729	-1.6239684E-4	No	
row_123	CSF2	NA	12870	0.0062157632783055305	-0.011120506	No	
row_124	FOSB	NA	12898	0.0050686015747487545	-0.012357335	No	
row_125	SNN	NA	13071	0.0018908552592620254	-0.020623228	No	
row_126	LITAF	NA	13083	0.0015026902547106147	-0.021134276	No	
row_127	CLCF1	NA	13123	0.0010419987374916673	-0.023000715	No	
row_128	ZFP36	NA	13271	-0.0014294650172814727	-0.030067544	No	
row_129	SPHK1	NA	13297	-0.0018908552592620254	-0.031248419	No	
row_130	PTX3	NA	13361	-0.003053162945434451	-0.034246	No	
row_131	SLC2A6	NA	13363	-0.0030686543323099613	-0.034255147	No	
row_132	IL18	NA	13405	-0.003875960363075137	-0.03618192	No	
row_133	NFKBIE	NA	13911	-0.014974848367273808	-0.06033105	No	
row_134	MAFF	NA	13925	-0.015266021713614464	-0.060763344	No	
row_135	PANX1	NA	13983	-0.01650714874267578	-0.063300535	No	
row_136	CCN1	NA	14097	-0.01870545744895935	-0.068508804	No	
row_137	ICOSLG	NA	14167	-0.020601719617843628	-0.07157225	No	
row_138	PMEPA1	NA	14407	-0.024918120354413986	-0.08277434	No	
row_139	SAT1	NA	14595	-0.029028713703155518	-0.09141784	No	
row_140	GFPT2	NA	14673	-0.03084363043308258	-0.09473654	No	
row_141	TNF	NA	14712	-0.03163309022784233	-0.09616549	No	
row_142	LIF	NA	15002	-0.041118089109659195	-0.10957129	No	
row_143	IFNGR2	NA	15011	-0.04146327078342438	-0.10942922	No	
row_144	PHLDA2	NA	15244	-0.049336519092321396	-0.11998318	No	
row_145	NR4A2	NA	15524	-0.05866076052188873	-0.13268377	No	
