NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H2AX	NA	241	1.3307684659957886	0.014306877	No	
row_1	NFYB	NA	344	1.192467212677002	0.032596245	No	
row_2	CKS1B	NA	380	1.1592609882354736	0.053455736	No	
row_3	TARS1	NA	473	1.0738822221755981	0.06991944	No	
row_4	CNOT4	NA	1860	0.5776315927505493	0.01462757	No	
row_5	SPCS3	NA	1881	0.5742480754852295	0.024832675	No	
row_6	SEC11A	NA	2271	0.5227254629135132	0.016325448	No	
row_7	SERP1	NA	3087	0.4271154999732971	-0.014487073	No	
row_8	KDELR3	NA	3437	0.3903059959411621	-0.023649067	No	
row_9	EXOSC1	NA	3476	0.38658687472343445	-0.017956564	No	
row_10	NFYA	NA	3913	0.35071390867233276	-0.032064006	No	
row_11	SHC1	NA	4538	0.30231454968452454	-0.05613575	No	
row_12	ZBTB17	NA	4655	0.2933502197265625	-0.055999737	No	
row_13	EIF4E	NA	4735	0.28874513506889343	-0.0541774	No	
row_14	CNOT2	NA	5032	0.26890885829925537	-0.063155904	No	
row_15	EIF4A2	NA	5251	0.255364328622818	-0.06865405	No	
row_16	DCP2	NA	5458	0.24619950354099274	-0.07375444	No	
row_17	IFIT1	NA	5536	0.24097219109535217	-0.072764955	No	
row_18	EXOSC2	NA	5856	0.2237396240234375	-0.08372559	No	
row_19	FKBP14	NA	5956	0.2189139723777771	-0.08422089	No	
row_20	NHP2	NA	6363	0.19874604046344757	-0.099843144	No	
row_21	HSP90B1	NA	6385	0.19755996763706207	-0.097009934	No	
row_22	GOSR2	NA	6865	0.17711640894412994	-0.11655644	No	
row_23	STC2	NA	7065	0.16979117691516876	-0.12280645	No	
row_24	EIF2AK3	NA	7090	0.16896075010299683	-0.12067328	No	
row_25	ATF3	NA	7833	0.1407148838043213	-0.15355054	No	
row_26	XBP1	NA	8189	0.12735772132873535	-0.16811296	No	
row_27	KIF5B	NA	8238	0.12557139992713928	-0.1679753	No	
row_28	LSM1	NA	9020	0.10077795386314392	-0.2035009	No	
row_29	CCL2	NA	9656	0.08274253457784653	-0.2323697	No	
row_30	DDX10	NA	9706	0.08114927262067795	-0.23314375	No	
row_31	POP4	NA	9813	0.07834147661924362	-0.23670816	No	
row_32	EDEM1	NA	10096	0.06976832449436188	-0.24888659	No	
row_33	YWHAZ	NA	10329	0.06364273279905319	-0.2587843	No	
row_34	FUS	NA	10441	0.060151223093271255	-0.26294234	No	
