NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RASGRP1	NA	223	1.3636153936386108	0.010955787	No	
row_1	H2AX	NA	241	1.3307684659957886	0.031297904	No	
row_2	PTPRD	NA	443	1.1051419973373413	0.039202046	No	
row_3	TARS1	NA	473	1.0738822221755981	0.054882355	No	
row_4	BTG2	NA	593	0.9896204471588135	0.064893864	No	
row_5	CNP	NA	994	0.8031492829322815	0.058424275	No	
row_6	CLTB	NA	1063	0.7794861197471619	0.06754765	No	
row_7	CXCL2	NA	1104	0.7646682858467102	0.07778222	No	
row_8	FGF18	NA	1114	0.7617381811141968	0.0894613	No	
row_9	UROD	NA	1158	0.7458779215812683	0.09925279	No	
row_10	PPP1R2	NA	1264	0.7145898938179016	0.10556459	No	
row_11	CYB5R1	NA	1353	0.6908929347991943	0.11231729	No	
row_12	RET	NA	1619	0.6276475787162781	0.109550655	No	
row_13	PLCL1	NA	1872	0.5760387182235718	0.106588714	No	
row_14	BMP2	NA	1940	0.5665690898895264	0.112374716	No	
row_15	NFKBIA	NA	2054	0.5488705039024353	0.1156667	No	
row_16	MAPK8IP2	NA	2165	0.5349016785621643	0.11888087	No	
row_17	MMP14	NA	2326	0.5144058465957642	0.11936414	No	
row_18	MSX1	NA	2359	0.5099409222602844	0.12593323	No	
row_19	SLC6A8	NA	2381	0.5073057413101196	0.13298953	No	
row_20	ATP6V1C1	NA	2528	0.4877832233905792	0.13372289	No	
row_21	GAL	NA	2760	0.46002888679504395	0.12992644	No	
row_22	NTRK3	NA	2848	0.4500851631164551	0.1328983	No	
row_23	RAB27A	NA	2974	0.43990087509155273	0.1338804	No	
row_24	HNRNPU	NA	3001	0.43779563903808594	0.13959096	No	
row_25	CCNE1	NA	3033	0.4347848892211914	0.14501312	No	
row_26	BTG3	NA	3109	0.42436569929122925	0.14815323	No	
row_27	COL2A1	NA	3160	0.42014697194099426	0.15242876	No	
row_28	PDLIM3	NA	3217	0.4129474461078644	0.1563012	No	
row_29	ABCB1	NA	3343	0.40081360936164856	0.15666181	No	
row_30	RHOB	NA	3445	0.3897518813610077	0.15800093	No	
row_31	FMO1	NA	3548	0.37900152802467346	0.15912102	No	
row_32	TCHH	NA	3585	0.3757088780403137	0.16336337	No	
row_33	SHOX2	NA	3721	0.36659517884254456	0.16269888	No	
row_34	LHX2	NA	3824	0.36051779985427856	0.16352507	No	
row_35	TFRC	NA	3910	0.35150957107543945	0.16502573	No	
row_36	GGH	NA	3943	0.3477715253829956	0.16901626	No	
row_37	FOS	NA	3969	0.34463420510292053	0.17329359	No	
row_38	PSMC3	NA	4059	0.33739790320396423	0.17437747	No	
row_39	AP2S1	NA	4082	0.335835725069046	0.1786592	No	
row_40	CDC5L	NA	4096	0.33492040634155273	0.1833593	No	
row_41	PDAP1	NA	4328	0.316615492105484	0.17728251	No	
row_42	APOM	NA	4425	0.3099532425403595	0.17759329	No	
row_43	CDO1	NA	4459	0.3073784410953522	0.18089345	No	
row_44	CYB5B	NA	4688	0.291798859834671	0.17456637	No	
row_45	TACR3	NA	4912	0.2759319245815277	0.16822751	No	
row_46	CCND3	NA	5066	0.2661720812320709	0.16510046	No	
row_47	OLFM1	NA	5156	0.2614050805568695	0.164976	No	
row_48	DNAJB1	NA	5173	0.26048123836517334	0.16834818	No	
row_49	RRAD	NA	5370	0.24990500509738922	0.16289416	No	
row_50	IL6ST	NA	5398	0.2487325519323349	0.16555043	No	
row_51	CDKN1C	NA	5759	0.22951705753803253	0.15188383	No	
row_52	SULT1A1	NA	5816	0.22559618949890137	0.15277731	No	
row_53	AQP3	NA	5921	0.22037771344184875	0.151279	No	
row_54	SQSTM1	NA	5944	0.21922366321086884	0.15370657	No	
row_55	TAP1	NA	6390	0.19742383062839508	0.13544117	No	
row_56	LYN	NA	6682	0.18414776027202606	0.12437209	No	
row_57	ATP6V1F	NA	7083	0.16924554109573364	0.10782314	No	
row_58	NAT1	NA	7810	0.1413947492837906	0.07515075	No	
row_59	ATF3	NA	7833	0.1407148838043213	0.07632998	No	
row_60	IL6	NA	7852	0.1399361491203308	0.07768922	No	
row_61	HLA-F	NA	7917	0.13704584538936615	0.07678991	No	
row_62	HSPA13	NA	8076	0.13161693513393402	0.07128287	No	
row_63	RXRB	NA	8589	0.11457148939371109	0.048477385	No	
row_64	KLHDC3	NA	8741	0.1096031591296196	0.042957015	No	
row_65	CASP3	NA	8919	0.10400260239839554	0.036096998	No	
row_66	DGAT1	NA	8923	0.10388769954442978	0.037604555	No	
row_67	BCL2L11	NA	8985	0.10180846601724625	0.036289256	No	
row_68	NPTXR	NA	9035	0.1003953292965889	0.035528682	No	
row_69	BTG1	NA	9532	0.08658622950315475	0.013047818	No	
row_70	STK25	NA	10156	0.0685577467083931	-0.015828414	No	
row_71	CA2	NA	10166	0.0683121308684349	-0.015175121	No	
row_72	DLG4	NA	10641	0.055284831672906876	-0.03709549	No	
row_73	KCNH2	NA	10757	0.05236251652240753	-0.041794408	No	
row_74	CDK2	NA	10916	0.0483085997402668	-0.048626088	No	
row_75	HTR7	NA	11200	0.04141715168952942	-0.06157985	No	
row_76	ICAM1	NA	11370	0.03696642816066742	-0.06912097	No	
row_77	MRPL23	NA	11386	0.036323823034763336	-0.06926491	No	
row_78	MAOA	NA	11401	0.03598600998520851	-0.06936612	No	
row_79	FEN1	NA	11415	0.03556244447827339	-0.06942596	No	
row_80	HMOX1	NA	11426	0.03534865751862526	-0.0693449	No	
row_81	NR4A1	NA	11437	0.03516044095158577	-0.06926683	No	
row_82	C4BPB	NA	11617	0.031139302998781204	-0.07738162	No	
row_83	PARP2	NA	11868	0.02629508450627327	-0.08898853	No	
row_84	NUP58	NA	11880	0.025939634069800377	-0.089105174	No	
row_85	CYP1A1	NA	12114	0.02186540700495243	-0.09996481	No	
row_86	NKX2-5	NA	12149	0.021208321675658226	-0.101262994	No	
row_87	SOD2	NA	12187	0.02018073946237564	-0.10272181	No	
