NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	58	-0.8341895	-2.7589588	0.0	0.0	0.0	1819	tags=62%, list=9%, signal=68%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	200	-0.6119684	-2.3736677	0.0	0.0	0.0	2298	tags=36%, list=11%, signal=39%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	113	-0.5781408	-2.1265845	0.0	0.0	0.0	1283	tags=22%, list=6%, signal=23%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	200	-0.49615654	-1.9636433	0.0	0.0	0.0	1746	tags=31%, list=8%, signal=33%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	200	-0.4745721	-1.8459673	0.0	9.757576E-4	0.002	1704	tags=22%, list=8%, signal=24%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	97	-0.509186	-1.7982951	0.0	0.0012020201	0.003	3296	tags=36%, list=16%, signal=43%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	200	-0.45255336	-1.7496972	0.0	0.0012525254	0.004	1883	tags=23%, list=9%, signal=25%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	150	-0.44030127	-1.6685206	0.0	0.003184887	0.011	2560	tags=28%, list=12%, signal=32%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	199	-0.40673277	-1.6026194	0.0	0.00638481	0.025	1450	tags=17%, list=7%, signal=18%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	200	-0.4073794	-1.5842125	0.0	0.0076116435	0.033	1932	tags=20%, list=9%, signal=22%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	200	-0.38935217	-1.5445169	0.0	0.010479073	0.048	3252	tags=29%, list=16%, signal=34%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	199	-0.37943506	-1.4950185	0.0	0.01764961	0.086	2084	tags=22%, list=10%, signal=24%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	156	-0.37695393	-1.445179	0.00456621	0.0285848	0.144	1979	tags=21%, list=9%, signal=23%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	32	-0.4895853	-1.4252646	0.06344411	0.033344734	0.181	3467	tags=31%, list=17%, signal=37%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	158	-0.36185506	-1.3619379	0.0045871558	0.05256021	0.297	1913	tags=19%, list=9%, signal=21%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	49	-0.42231297	-1.3288811	0.07692308	0.06358839	0.364	2698	tags=33%, list=13%, signal=37%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	200	-0.31116793	-1.2215477	0.05970149	0.14268605	0.653	3137	tags=26%, list=15%, signal=30%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	200	-0.30679464	-1.2085975	0.046632126	0.15087084	0.694	2442	tags=18%, list=12%, signal=20%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	104	-0.31607035	-1.1382068	0.15810277	0.24697433	0.861	1562	tags=14%, list=7%, signal=16%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	96	-0.312976	-1.1140778	0.22592592	0.28134418	0.911	1778	tags=16%, list=8%, signal=17%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT		200	-0.27947706	-1.1101671	0.17171717	0.27624923	0.92	1955	tags=16%, list=9%, signal=17%	
