NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	200	0.50621384	1.744104	0.0	0.0024343275	0.004	2624	tags=31%, list=13%, signal=35%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	199	0.463222	1.621985	0.0	0.010965249	0.037	4286	tags=34%, list=20%, signal=43%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	161	0.44006738	1.4803321	0.00390625	0.052322432	0.236	3445	tags=28%, list=16%, signal=33%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	200	0.41059086	1.4159396	0.0037546933	0.08537918	0.44	4072	tags=26%, list=19%, signal=33%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	135	0.3952024	1.3187793	0.0489418	0.19388528	0.82	4744	tags=26%, list=23%, signal=33%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	199	0.37529367	1.3102529	0.029962547	0.17649586	0.847	3910	tags=32%, list=19%, signal=39%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	100	0.38520068	1.2273594	0.12448133	0.3242756	0.986	3392	tags=28%, list=16%, signal=33%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	200	0.34884527	1.2045844	0.11028501	0.3414497	0.992	5065	tags=34%, list=24%, signal=44%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	200	0.33454788	1.1589278	0.16688567	0.43184814	0.998	5085	tags=31%, list=24%, signal=40%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	87	0.3548617	1.119722	0.26956522	0.5062263	1.0	4906	tags=28%, list=23%, signal=36%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	36	0.39164016	1.0792483	0.31609195	0.60183316	1.0	4840	tags=36%, list=23%, signal=47%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	200	0.30524465	1.0569273	0.32998747	0.62581646	1.0	4437	tags=28%, list=21%, signal=35%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	200	0.2867649	1.004063	0.45241037	0.766051	1.0	5024	tags=27%, list=24%, signal=35%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	200	0.27912048	0.97807914	0.5225335	0.8048279	1.0	4492	tags=27%, list=21%, signal=34%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	74	0.31184724	0.96853036	0.53409094	0.7844497	1.0	3851	tags=31%, list=18%, signal=38%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	112	0.2925766	0.95099497	0.5882353	0.7932861	1.0	3703	tags=18%, list=18%, signal=22%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	200	0.26206157	0.91298354	0.6993865	0.8619572	1.0	5290	tags=26%, list=25%, signal=34%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	200	0.262046	0.90922856	0.703939	0.8248711	1.0	4612	tags=28%, list=22%, signal=35%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	54	0.30637822	0.88802725	0.66096866	0.83522683	1.0	2697	tags=22%, list=13%, signal=25%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	200	0.2524394	0.8859749	0.78731346	0.79902315	1.0	3140	tags=14%, list=15%, signal=16%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN		199	0.22156994	0.77656287	0.9618227	0.9699326	1.0	4668	tags=24%, list=22%, signal=31%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		138	0.21478471	0.7132222	0.97463286	0.9757997	1.0	4238	tags=20%, list=20%, signal=25%	
